Depth,Age,Cupressaceae,Pinus,Ephedra,Betula sp.,Sum AP (%),Apiaceae,Asteraceae ,Artemisia,Centaurea,Brassicaceae cf.,Caryophallaceae,Chenopodiaceae,Cistaceae,Cyperaceae,Gentianaceae,Plantago rhizoxylon,Poaceae,Calligonum,Pollen sum,Nymphaeaceae,Indeterminated,Undeterminable
1.5,3,0,0,0,0,0,0,0,82,0,0,0,139,0,9,0,0,36,0,302,0,15,4
5.5,19.5,0,0,2,0,0.909090909,3,0,84,0,0,0,111,0,12,0,0,48,0,301,0,12,4
10.5,67,0,0,2,0,0.909090909,2,0,64,0,0,0,87,0,9,0,0,41,0,220,0,12,3
11.5,76,1,0,0,0,0.45045045,0,0,76,0,0,0,52,1,13,0,0,57,0,222,0,14,8
12.5,87,0,0,0,0,0,0,0,84,0,0,0,97,0,8,0,0,29,0,238,0,11,9
14.5,102,0,0,0,0,0,0,0,74,0,3,0,107,0,0,1,10,16,37,274,2,15,9
15.5,112,0,0,6,16,10.3286385,0,0,65,8,0,0,77,0,16,0,0,14,0,213,0,8,3
17.5,171.5,0,0,9,12,6,0,0,96,11,0,0,99,0,21,0,0,30,0,300,0,10,3
19.5,218.5,0,0,2,9,8,0,10,102,0,0,0,99,0,16,0,4,32,0,291,0,5,4
21.5,245.5,0,0,2,14,6.015037594,0,9,95,0,0,0,88,0,15,0,4,30,0,266,0,5,4
23.5,269.5,0,0,2,15,8.4,0,0,73,0,0,0,73,0,21,0,5,39,0,303,0,5,5
26.5,275.5,0,0,10,15,6,0,0,84,0,0,0,66,0,19,0,0,33,0,300,0,10,12
29.5,289.5,0,0,10,15,5,0,0,81,0,0,0,63,0,18,0,0,48,0,299,0,10,4
31.5,315,0,0,6,10,8,0,0,64,0,0,0,64,0,29,0,0,42,0,321,0,10,13
35.5,366,0,0,8,12,7,0,0,51,12,0,0,75,0,27,0,0,54,0,300,0,4,5
37.5,391.5,0,0,7,10,8.333333333,0,0,61,9,0,0,65,0,14,0,0,19,3,204,0,7,9
40.5,429.5,0,0,7,14,7,0,0,69,0,0,0,60,0,24,0,0,42,0,302,0,10,6
46.5,506,0,0,6,15,6,0,0,90,0,0,0,72,0,18,0,4,57,0,300,0,0,4
51.5,569.5,0,6,7,13,8.441558442,0,0,106,0,0,2,87,0,25,0,4,42,0,308,0,10,6
55.5,620.5,0,0,7,15,6.7,0,0,72,0,0,2,72,0,18,0,0,51,0,302,0,7,20
60.5,684.5,0,5,9,19,9.880239521,0,0,111,0,0,4,92,0,27,0,5,46,0,334,0,11,5
63.5,722.5,0,3,9,12,8,0,0,66,0,0,3,101,0,21,0,39,37,0,298,0,7,6
70.5,811.5,0,3,3,10,6.08365019,0,0,69,0,0,2,106,0,19,0,8,33,0,263,0,4,6
74.5,862.5,0,6,4,14,7.8,0,11,83,9,0,3,147,0,6,0,9,6,6,300,0,4,7
81.5,951.5,0,4,3,10,8.333333333,3,0,56,3,0,0,92,0,7,0,4,11,4,204,0,4,3
91.5,1032.5,0,3,3,18,8,0,12,108,6,0,3,138,0,3,0,3,9,12,301,0,6,6
95.5,1046.5,0,5,6,16,10.88709677,3,0,64,3,0,1,111,0,9,0,3,12,5,248,0,6,4
100.5,1064,0,6,6,21,11,0,9,86,12,0,9,128,0,9,0,6,6,9,298,0,7,3
105.5,1081,0,5,9,24,12.54125413,5,0,74,4,0,2,125,0,12,0,6,14,9,303,0,7,7
110.5,1098.5,0,7,5,10,8.979591837,5,0,57,3,0,0,94,0,9,0,3,34,9,245,0,5,4
120.5,1144,0,6,6,9,7.835820896,8,0,59,5,0,0,96,0,11,0,8,38,11,268,0,4,7
131.5,1664,0,3,4,11,6.338028169,6,0,62,2,0,0,114,0,8,0,8,47,9,284,0,6,4
135.5,1857,0,0,0,14,5.017921147,6,0,59,6,0,0,110,0,4,0,1,50,10,279,0,11,8
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
