"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Pseudoschizaea","Corylus","Ephedra undiff.","Apiaceae","Vitis","Alnus","Trifolium-type","Helianthemum","Lavandula","Asplenium","Plantago lanceolata-type","Ostrya","Mercurialis","Rumex acetosella","Aster-type","Asphodelus","Unknown (trilete)","Unknown (monolete)","Ophioglossum","Pteridium","Brassicaceae","Phillyrea","Dinoflagellata","Fraxinus","Cistus","Myrtus","Artemisia","Cichorioideae","Selaginella denticulata","Cyperaceae","Quercus cerris-type","Ruppia","Sporormiella","Amaranthaceae","Juniperus","Pistacia","Poaceae","Quercus robur-type","Eucalyptus","Olea","Quercus ilex-type","Erica","Isoëtes","Pinus","Lycopodium spike","Geranium","Ulmus","Myriophyllum alterniflorum","Mentha","Stachys","Arbutus","Verbascum","Lamiaceae","Papaver","Plantago maritima","Carlina","Poaceae (Cerealia) undiff.","Plantago coronopus","Lythrum","Juglans","Viburnum","Rosaceae","Sparganium","Linaria","Rhinanthus","Draba-type","Filago-type","Genista","Cannabis-type","Polypodium","Anogramma leptophylla","Achillea","Botrychium","Ephedra cf. E. fragilis","Anthoceros laevis","Urtica","Limonium","Teucrium","Hypericum","Thymelaea","Galium","Ranunculus","Alchemilla","Spergula-type","Sinapis","Veronica","Lotus","Plantago major","Osmunda","Salix","Liliaceae","Potamogeton","Sorbus","Pinus halepensis","Rumex acetosa","Betula","Cupressaceae","Euphorbia","Rumex obtusifolius","Solanum nigrum","Fagus","Tamarix","Fabaceae","Hedera","Anthoceros punctatus","Allium","Caryophyllaceae","Radiola","Acer","Rubiaceae","Echium","Juncaceae","Prunella","Serratula-type","Senecio-type","Phlomis","Buxus","Matthiola","Oenanthe","Athyrium filix-femina","Riccia","Spirogyra","Polygonum aviculare","Apium","Centaurea montana-type","Jasione","Globularia","Hedwigia","Gentiana","Cardamine","Dipsacus","Rhus","Ziziphus","Castanea","Fraxinus ornus","Rubus","Bituminaria bituminosa","Lycopodium annotinum","Morus","Ephedra distachya","Picea","Tilia","Scrophularia-type","Linum catharticum","Sedum","Malva","Abies","Delitschia","Ericaceae","Carduus","Linum","Prunus","Coronilla","Viola","Saxifraga","Silene","Sagina","Anchusa","Centaurium","Smilax","Bupleurum","Chamaerops","Pteris","Centaurea jacea","Thalictrum","Undetermined diatom","Falcaria","Arctium","Taxus"
-76,NA,NA,0,"20848, 3","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","3","3","4","4","4","4","5","5","5","7","7","10","10","11","13","19","20","22","23","33","40","44","85","95","285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
103,NA,NA,12,"20848, 3","1","","1","","1","1","3","","2","","","5","","","9","5","2","1","","4","1","1","7","3","3","14","5","6","5","5","9","15","21","6","8","11","44","34","13","","16","72","88","49","7","417","1","1","1","1","1","1","1","2","2","2","2","5","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
282,NA,NA,24,"20848, 3","1","2","","","5","1","3","","1","2","","4","1","","10","5","","","1","2","2","4","7","6","7","","4","7","5","3","9","15","17","1","12","21","37","23","25","","22","84","83","44","3","260","","","","","","","","","","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
518,NA,NA,40,"20848, 3","1","","","","3","","3","","","","1","2","6","","12","2","","1","1","1","2","2","4","5","2","18","6","4","5","5","1","32","39","2","3","22","24","29","11","","37","86","85","32","4","358","","","1","1","","","","3","","","","2","","","","","","","","","","1","","","1","","1","","","2","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
748,NA,NA,56,"20848, 3","1","2","","","1","","5","1","","1","","3","3","","5","3","","","","2","","2","8","2","6","19","8","4","7","6","3","24","43","2","13","20","31","26","25","","39","79","70","28","4","276","","","","","","2","","","","3","","3","","","","","1","","","","","1","","","","","","","","1","","","1","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
971,NA,NA,72,"20848, 3","1","","","","1","","11","","","","","7","1","","2","","2","1","","","1","2","7","7","2","13","9","7","2","","5","52","15","1","7","25","32","15","18","","41","88","73","49","5","250","","","","","","","","","","2","","1","1","","","","","","","","","","","","","1","","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1185,NA,NA,88,"20848, 3","1","2","1","","","","9","","","","","5","2","","7","3","5","","","1","2","5","4","6","","14","16","5","3","1","8","42","13","8","15","12","29","29","17","","28","73","57","55","2","316","","","1","1","","","","3","","1","","4","","","1","","","1","","","","","1","","1","","3","","","3","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1386,NA,NA,104,"20848, 3","1","3","2","","2","","8","","","","","4","1","","5","4","","","1","3","1","1","4","10","1","12","36","5","8","3","9","39","20","","26","16","15","34","13","","25","77","53","51","1","251","","1","","1","","","","","","1","","","","","","","","","","","","1","","","","","","","","1","","","","","3","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1574,NA,NA,120,"20848, 3","1","","2","","1","","10","","","","","3","2","","6","1","","","","3","4","1","4","3","3","13","21","2","6","1","9","54","13","1","20","5","13","32","8","","22","98","70","54","6","248","","","","2","","","","","","4","","2","","","","","","","","","","","","","2","1","","2","","1","","","","","","","","","","","","","","","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1746,NA,NA,136,"20848, 3","1","2","1","1","3","","5","","","","","6","5","","2","3","1","","1","5","3","4","6","7","2","20","57","3","6","4","4","36","18","2","16","12","20","28","7","","24","60","71","35","5","264","","","","","","1","","2","","1","2","","1","","","","","1","","","","1","","","1","1","2","","","1","","","","1","","","","","","","","","1","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
