"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Platanus","Fabaceae","Pinus","Knautia","Indeterminable (unidentified)","Triletes (psilate)","Sample quantity","Ericaceae","Apiaceae","Poaceae (Cerealia)","Myriophyllum verticillatum","Fontanesia phillyreoides","Artemisia","Cedrus","Typha/Sparganium","Brassicaceae","Pistacia","Pinaceae","Cyperaceae","Asteroideae","Olea","Quercus ilex","Plantago lanceolata","Rumex","Indeterminable (unknown)","Isoëtes","Cichorioideae","Quercus suber","Poaceae","Amaranthaceae","Lycopodium spike","Betula","Fraxinus","Juglans","Lamiaceae","Plantago","Ligustrum","Myrtaceae","Urticaceae/Moraceae","Cannabaceae","Polygonum aviculare/Bistorta officinalis","Asphodelus","Ruppia","Geranium","Persicaria maculosa","Ophioglossum","Anthoceros","Typha latifolia","Alnus","Dipsacoideae","Caryophyllaceae","Euphorbia","Myrica","Viburnum","Ranunculus acris-type","Cistus","Calligonum","Corylus","Indeterminable","Plantago major","Rubiaceae","Mercurialis annua","Unknown (trilete, non-psilate)","Rhus","Ephedra fragilis-type","Lonicera","Malvaceae","Ulmus","Convolvulus","Thalictrum","Thymelaeaceae","Castanea","Acer","Ranunculaceae","Riccia"
70,NA,NA,7,"1","1","1","1","1","1","1.5, 37987","2","2","2","2","2","3","3","4","4","5","7","10","12","12","12","13","15","20","23","34","55","58","90","326, 20848","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
150,NA,NA,15,"","","4","","1","1","1.5, 27952","2","1","3","","","","2","2","3","1","8","86","13","16","8","11","7","14","9","19","19","86","31","738, 37168","1","1","1","1","1","1","1","1","1","1","2","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
450,NA,NA,45,"","","3","1","","","1.5, 29884","7","","4","19","","1","1","3","8","3","10","26","12","16","20","12","6","18","13","15","80","51","24","383, 20848","2","","","","","","","","","","1","","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","",""
550,NA,NA,55,"","2","3","","1","","1, 5888","6","2","1","","","4","2","1","3","2","11","20","30","19","14","9","6","23","12","34","35","48","28","2525, 37168","","1","","","4","","","1","","1","","64","1","","","","","","","1","1","1","1","1","1","1","2","3","","","","","","","","","","","","","","","",""
1015,NA,NA,76.5,"","","","","2","","2, 101950","2","3","6","2","1","1","2","2","3","7","9","7","14","30","23","13","15","13","30","22","45","64","100","173, 20848","","","","","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","",""
4062,NA,NA,117,"2","1","2","","","","1.5, 16300","","","5","2","1","1","4","1","10","4","5","27","29","6","12","16","10","28","59","41","45","80","42","848, 20848","","","","","3","","","","","","1","","","","1","","","","","","","","","","1","","","2","","","","1","","","","","","","","","","","",""
4526,NA,NA,143,"","","1","2","","1","1.5, 84362","3","","4","","1","2","1","1","4","4","16","35","22","19","10","20","3","14","13","10","70","57","13","228, 37168","","","","","1","","","","","","","11","","","","","1","","1","","","","","","2","","","","","","","","1","2","","","","","","","","","",""
5027,NA,NA,171,"","","2","","1","","1.5, 74252","3","3","4","4","2","6","3","2","12","6","8","39","11","39","23","31","18","41","25","30","74","59","42","211, 20848","","","","","1","","","","","","1","","","","","","1","1","","","","","","","","","","1","","","2","","","2","1","1","1","1","","","","","",""
5564,NA,NA,201,"","","","2","1","","2, 103787","6","1","6","","","1","6","5","10","10","13","38","10","24","21","25","16","25","20","11","96","70","36","184, 20848","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","","1","1","","","",""
5850,NA,NA,217,"","1","1","","1","","1, 20082","3","2","","","","4","5","3","3","7","10","27","18","31","11","17","4","20","13","16","104","31","16","670, 37168","","","","","","","","","","","","6","","","","","","1","1","2","","","","","","","","","","","","","1","","","","","","","","1","1","1",""
6243,NA,NA,239,"","1","1","","","","1.5, 19833","4","1","2","","1","","2","2","","8","22","23","10","22","9","23","5","18","23","19","112","37","23","1071, 37168","","","","","","","","","","","","2","","","","","","","","","","","","","","","","6","","","","","1","","","","","","","1","","","","3"
