Depth,Sample,Chomotriletes minor,Chomotriletes circulus,Chomotriletes rubinus,Ovoidites,Ovoidites vangeelii,Schizosporis reticulatus,Lecaniella forma,Spirogyra,Sigmopollis laevigatoides,Chlorosarcina superba,Alternanthera nodiflora,Alternanthera sessilis,Lemna gibba,Inaperturopolenites,Inaperturopolenites dubius,Potamogeton pectinatus,Inaperturopollenites hiatus,Limnophyton obtusifolium,Echinochloa crus-galli,Proxapertites assamicus,Proxapertites cursus,Proxapertites operculatus,Retipollenites enigmata,Longapertites marginatus,Laevigatosporites haardtii,Laevigatosporites ovatus,Araucariacites sp.,Araucariacites australis,Aneilema johnstonii,Tiliacora funifera,Borassus aethiopum,Palmidites plicatus,Lygodium,Plantago major,Baissea multiflora,Graminidites boivinii,Graminidites sp.,Silene burchellii,Cymbopogon schoenanthus,Monolites alveolatus,Hyphaene thebaica,Hyparrhenia hirta,Classopollis sp.,Classopollis meyerianus,Evolvulus alsinoides,Desmodium dichotonum,Bracharia ramosa,Gynandropsis gynandra,Farsetia stenoptera,Farsetia hamihonni,Gelasinospora cf.,Leoisphaeridia sp.,Leiotriletes adriennis,Erica arborea,Cola hispida,Lasiosphon kraussianus,Pycnanthus dinklagei,Pinuspollenites,Polygalaceae cf,Maerua oblongifolia,Polygala abyssinica,Leoisphaeridia sp.,Kapurdipollenites gemmatus,Limnobiophyllum sp.,Pycnanthus dinklagei,Piptostigma mayumbense,Rhynchelytrum repens,Iodes ovalis,Aeschynomene indica,Dandotiaspora plicata,Baculatisporites sp.,Nevesisporites vallatus,Chlorosarcina superba,Hibiscus sp.,Mimosa oudica,Xylia evansii,Spinomonosulcites achinatus,Cephalomappa,Acacia sp.,Cicatricosisporites dorogensis,Abutilon ramosum,Pinuspollenites,Mauritidites crassibaculatus,Commelina africana,Chlorophytum floribundum,Typha domingensis,Suaeda sp,Borreria densiflora,Chenopodiaceae
20,KH 6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
100,KH 5,3,4,2,2,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,19,1,2,14,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,,,,1,,,,,,,
150,KH 4,2,1,1,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,KH 2,8,7,3,2,,,,,,,2,,3,,,,,,,,1,2,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,
360,KH 1,4,7,5,3,,,,3,,2,3,3,,,7,,,,,,,,,1,3,1,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
