"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cyperaceae","Apiaceae","Plantago lanceolata-type","Erica arborea-type","Liliaceae","Asphodelus albus-type","Malva sylvestris-type","Sordaria-type","Boraginaceae","Juniperus-type","Brassicaceae","Reseda lutea-type","Polypodiophyta (monolete)","Vitis","Cytisus-type","Convolvulus arvensis-type","Crataegus monogyna-type","Artemisia","Ephedra distachya-type","Abies","Amaranthaceae","Cardueae","Poaceae","Cichorioideae","Pinus sylvestris/P. nigra-type","Quercus ilex-type","Olea europaea","Acer","Lamiaceae","Salix","Glomus cf. G. fasciculatum","Polygonum aviculare-type"
54612,NA,NA,170,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,6,8,9,9,15,33,36,39,NA,NA,NA,NA,NA
64590,NA,NA,260,NA,NA,NA,1,3,3,NA,NA,NA,1,2,NA,1,NA,3,NA,2,1,2,1,4,NA,3,9,50,13,16,1,1,2,16,NA
107827,NA,NA,650,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,5,NA,NA,12,13,5,7,NA,2,NA,NA,NA
130000,NA,NA,850,NA,2,3,NA,3,NA,NA,NA,2,7,2,3,7,NA,3,3,NA,4,5,NA,3,3,5,6,27,19,28,NA,4,NA,5,2
