Sample Age (cal yr BP) [cal yr BP],Copepod Eggs,Foraminifera undiff.,Depth (cm) [cm],Pinus,Podocarpus,Prosopis,Quercus decidua,Syzygium,Tamarindus-type,Tamarix,Terminalia,Flacourtia,Juniperus,Limonium axillare,Maytenus,Morus,Myrica,Olea europaea-type,Rhizophora,Ziziphus,Acacia Groupe 3,Alnus,Anogeissus,Arthrocnemum glaucum-type,Avicennia,Betula,Calligonum,Cedrus,Combretum molle-type,Commiphora,Dodonaea,Ephedra distachya-type,Ericaceae,Salvadora,Combretum aculeatum-type,Ephedra fragilis-type,Polygala,Pulicaria-type,Reseda,Sesbania-type,Flaveria-type,Gnidia,Justicia-type,Papilionoidae undiff.,Phyllanthus,Rumex,Vernonia-type,Zygophyllum,Alchemilla,Amaranthaceae/Chenopodiaceae undiff.,Apiaceae undiff.,Artemisia,Asteraceae undiff.,Atriplex,Caesalpiniaceae undiff.,Caryophyllaceae undiff.,Cassia,Convolvulaceae undiff.,Conyza-type,Crotalaria,Cruciferae,Fagonia,Salsola,Suaeda,Cocculus pendulus,Pimpinella,Plantago amplexicaulis-type,Plantago ciliata,Polycarpaea,Polycarpon,Silene,Tribulus,Filago-type,Heliotropium,Justicia caerulea-type,Kohautia,Lotus,Matricaria-type,Vernonia perrottetii-type,Zaleya-type,Aaronsohnia-type,Achyranthes,Aerva/Cornulaca,Amaranthus,Ambrosia maritima,Anethum-type,Atractylis,Blepharis,Boerhavia-type,Calendula-type,Celosia,Centaurea,Cerastium,Chenopodium,Chrozophora verbascifolia,Cleome,Cressa-type,Dipterygium glaucum,Euphorbia hirta-type,Euphorbia hypericifolia-type,Euphorbia prostrata-type,Paronychia,Poaceae,Sclerocephalus,Convolvulus-type,Typha,Cyperaceae,Dinoflagellate undiff.,Phoenix,Ferns monolete,Ferns trilete,Indeterminable
10.9,2,9,1.5,1,0,25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,17,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,14,4,7,0,0,1,1,9,0,0,0,2,72,0,0,0,4,2,2,1,0,4,0,0,0,0,0,0,0,6,2,23,1,1,0,0,0,0,0,0,0,0,29,0,1,0,3,0,2,1,8,42,0,0,0,74,5,0,0,0,13
109.4,1,3,10.5,1,0,34,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,16,0,4,1,0,0,0,17,0,0,0,1,89,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,17,2,0,0,0,1,0,0,1,0,0,7,1,0,0,2,0,10,1,3,26,0,0,0,56,6,0,0,0,6
218.7,3,0,20.5,0,0,20,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,9,0,2,0,0,0,2,0,0,0,1,0,0,2,1,0,5,0,0,1,0,0,2,8,0,8,0,11,0,6,0,4,1,0,15,0,0,0,5,65,0,0,0,4,2,4,0,1,1,0,0,1,0,0,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,22,0,0,1,3,2,4,0,3,43,1,0,1,49,1,0,0,0,12
328.1,3,4,30.5,1,0,19,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,12,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,2,0,9,0,5,1,0,0,1,12,0,0,1,0,32,0,0,1,0,1,2,0,0,1,0,0,1,0,0,2,0,0,0,57,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,11,1,6,39,0,0,0,67,2,0,0,0,9
437.4,1,0,40.5,0,0,14,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,9,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,2,1,0,6,0,27,1,1,0,0,0,0,12,0,0,0,8,44,0,0,0,4,1,0,0,1,1,0,0,0,0,1,3,2,3,3,49,1,0,0,0,0,0,0,2,0,0,9,0,0,1,2,1,8,1,10,61,0,1,3,58,2,0,0,0,13
535.9,0,14,50.5,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,4,0,3,0,1,0,3,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,3,0,0,2,0,16,0,7,0,0,0,0,15,0,0,0,7,12,0,0,0,1,0,0,0,0,3,0,0,0,1,0,8,0,0,1,93,1,0,0,0,1,0,0,0,0,1,9,0,0,0,1,0,10,1,8,57,0,2,0,58,5,0,0,0,16
656.2,0,2,60.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,1,9,0,0,0,7,17,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,70,0,0,0,0,0,0,3,0,0,1,4,0,0,0,1,0,8,0,13,54,0,0,1,116,1,0,0,0,12
765.5,0,8,70.5,0,0,2,0,0,0,1,0,1,0,4,0,0,0,2,1,0,1,0,2,0,4,0,8,0,0,1,4,0,0,1,0,1,0,4,0,0,2,0,0,0,0,0,1,0,0,5,0,17,2,9,0,0,0,0,15,1,0,1,4,30,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,99,0,1,0,0,4,0,0,0,0,0,2,0,0,0,1,0,16,0,11,63,0,2,1,60,3,0,0,0,13
870.8,0,12,80.5,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,25,1,5,0,0,0,0,17,0,1,0,8,17,0,0,0,1,0,4,0,3,1,0,0,0,0,0,0,1,0,1,102,0,0,0,0,4,0,1,0,0,0,5,0,0,0,1,0,9,0,10,37,1,0,0,51,3,0,0,0,6
1070.3,0,21,100.5,1,0,3,0,0,0,1,0,0,0,7,0,0,0,1,0,0,2,0,0,0,9,0,1,0,0,0,1,1,0,0,0,1,0,6,0,0,1,0,0,0,0,0,3,0,0,2,0,33,0,4,0,0,0,1,24,0,0,0,4,33,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,115,0,0,0,0,1,0,0,2,0,0,2,0,0,0,3,2,9,0,5,72,0,0,0,57,6,0,0,1,7
1290.8,0,10,120.5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,9,3,15,0,5,0,0,0,0,7,0,0,0,8,16,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,119,0,0,1,0,0,0,0,4,0,1,4,0,0,0,3,0,9,1,12,57,0,0,0,30,1,0,0,0,10
