"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Crataegus-type","Nymphaea","Olea","Centaurea cyanus-type","Myriophyllum spicatum/M. verticillatum","Ostrya/Carpinus orientalis","Unknown","Sphagnum","Salix","Galium-type","Matricaria-type","Artemisia","Juniperus","Abies","Brassica-type","Quercus cerris-type","Amaranthaceae","Fabaceae","Apiaceae","Poaceae (Cerealia-type)","Polygonum aviculare-type","Butomus umbellatus","Asteroideae","Ranunculus repens-type","Centaurea solstitialis-type","Sparganium-type","Plantago lanceolata-type","Poaceae","Dryopteris-type","Cyperaceae","Cedrus","Cichorioideae","Pinus","Ephedra distachya-type","Ephedra fragilis-type","Liliaceae","Cirsium/Gundelia","Dipsacus-type","Ophioglossum","Vicia-type","Caltha","Ulmus","Alisma","Ranunculus asiaticus-type","Cheilanthes","Ranunculus sect. Batrachium-type","Pteridium","Juglans","Thymus/Mentha","Typha latifolia","Alnus","Convolvulus","Fraxinus ornus","Corylus","Malva","Linum","Senecio-type","Iris","Quercus coccifera-type","Ranunculus sceleratus-type","Betula","Helianthemum","Carpinus betulus","Cousinia","Hypericum perforatum-type","Botrychium","Isoëtes","Thalictrum","Prosopis","Rumex acetosa-type","Echinops","Filipendula","Centaurea scabiosa-type","Scabiosa columbaria-type","Acer","Sanguisorba-type","Noaea-type","Symphytum-type","Fagopyrum","Geranium","Vitis","Fraxinus excelsior","Myricaria germanica","Turgenia-type","Arceuthobium oxycedri","Malabaila","Castanea","Ericaceae","Phillyrea","Lysimachia","Mercurialis annua","Thelypteris palustris","Teucrium","Bunium-type","Sambucus","Capsella-type","Euphorbia","Potentilla-type","Persicaria maculosa-type","Ferula-type","Carthamus","Aesculus","Tilia","Trifolium-type","Knautia","Scrophularia/Verbascum","Polypodium","Acanthus","Nigella","Bryonia","Lycopodium clavatum","Carya","Anisosciadium-type","Lomelosia rotata-type","Lycopodium","Sisyrinchium","Campanula-type","Lotus-type","Rhus","Ranunculaceae","Rhinanthus-type","Spergularia-type","Viburnum-type","Datisca cannabina","Filago-type","Fagus","Hippophaë","Solanum dulcamara","Halothamnus-type","Lythrum","Epilobium","Pistacia","Eryngium-type","Styrax","Urtica pilulifera-type","Chardinia/Onopordum","Delphinium-type","Prunus-type","Nuphar","Persicaria amphibia","Anemone","Frankenia hirsuta-type","Nerium","Phlomis","Humulus/Cannabis","Menyanthes trifoliata","Fumaria","Echium-type","Equisetum"
66,563,-450,5,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,5,6,7,7,8,8,11,13,21,25,28,29,40,64,65,70,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,726,-231,20,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,4,NA,12,NA,2,6,1,1,5,9,9,31,NA,52,14,20,21,47,31,23,77,723,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
510,943,61,40,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,4,NA,16,1,2,4,3,8,2,11,9,20,NA,26,4,2,7,42,16,22,92,705,NA,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
764,1159,352,60,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,1,3,NA,19,1,1,4,NA,4,3,2,NA,15,NA,11,71,3,5,111,38,57,21,1024,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,1376,643,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,4,2,8,1,NA,7,NA,4,1,5,NA,19,401,4,5,148,128,22,16,444,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1272,1595,935,100,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,NA,8,NA,5,6,1,2,1,5,1,15,NA,8,108,1,7,296,142,11,102,256,NA,2,NA,1,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1399,1704,1081,110,2,NA,NA,NA,1,NA,1,NA,NA,NA,1,8,39,5,4,1,19,29,NA,NA,1,5,NA,15,NA,7,49,NA,4,176,76,6,104,155,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1590,1869,1299,125,5,NA,1,NA,NA,NA,1,1,NA,NA,1,13,14,5,6,2,7,28,2,2,5,7,NA,23,NA,18,39,3,16,171,68,12,162,217,1,NA,NA,8,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1780,2034,1517,140,2,NA,NA,NA,NA,1,NA,NA,NA,2,2,1,7,2,8,1,1,10,NA,2,NA,8,1,21,NA,7,25,1,8,56,96,15,91,251,NA,NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,3,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2034,2255,1808,160,12,NA,NA,NA,NA,NA,1,NA,NA,1,4,6,30,3,5,NA,2,13,NA,6,2,22,3,124,NA,8,73,9,34,109,164,30,90,380,NA,NA,NA,1,NA,NA,NA,1,NA,18,NA,NA,NA,NA,2,2,1,3,1,14,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,14,NA,1,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
