"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rhamnaceae","Vitis","Brassicaceae","Typha angustifolia","Caryophyllaceae undiff.","Myriophyllum undiff.","Solidago-type","cf. Euphorbia","Indeterminable (crumpled)","Potamogeton","Galium-type","Fraxinus ornus","Indeterminable (broken)","Unknown (trilete)","Abies","Salix","Ulmus","Acer","Juglans","Amaranthaceae","Apiaceae undiff.","Cupressaceae-type","Fraxinus excelsior-type","Unknown undiff.","Betula","Pinus undiff.","Rumex","Carpinus betulus","Phillyrea","Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae undiff.","Fagus","Ostrya","Alnus","Poaceae undiff.","Quercus undiff.","Potentilla-type","Rosaceae undiff.","Cedrus","Digitalis-type","Pteridium","Ericaceae","Typha latifolia","Hedera","Poaceae (Cerealia-type)","Humulus/Cannabis","Tilia","Ranunculus","Scilla-type","Achillea/Anthemis-type","Fabaceae undiff.","Asphodelus-type","Nymphaea","Centaurea solstitialis-type","Urtica-type","Pistacia","Quercus ilex","Cirsium","cf. Platanus","Poterium sanguisorba","Angiospermae undiff. (herbs)","Spermatophyta undiff. (trees/shrubs)","Polypodiophyta undiff.","Cladium","Asteraceae undiff.","Populus","Saxifragaceae","Ephedra fragilis-type","Menyanthes","Taxus","Thalictrum","Sambucus","Buxus","Filipendula","Viscum","Lonicera","Nuphar","Mentha-type","Cornaceae","Oxyria-type","Ilex","Hippophaë","cf. Centaurium","Primulaceae undiff.","Bryophyta undiff.","Boraginaceae undiff.","Ephedra distachya","Echium-type","Viburnum","Helianthemum","Centaurea cf. C. cyanus/montana-type","Serratula-type","Armeria","Allium-type","Bistorta officinalis-type","Equisetum","Indeterminable (degraded)","Clusiaceae/Hypericaceae cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae undiff.","Geranium","cf. Alchemilla","Papaveraceae","Indeterminable (concealed)","Helleborus foetidus","Valeriana","Dipsacoideae","Thymelaeaceae cf. Daphne","Epilobium","cf. Androsace","Larix","Polypodium","Euonymus europaeus","Persicaria amphibia","Calligonum-type","Dryopteris","Ceratophyllum","cf. Frangula/Bruckenthalia","Pedicularis","Pinus subg. Strobus","Lemnoideae","Celtis","Sanguisorba officinalis","Fritillaria-type","Centaurea scabiosa","Scrophulariaceae","Sorbus","Liliaceae","Consolida ambigua-type","Helleborus viridis","Prunus spinosa","Sphagnum","Linum","Anagallis tenella","Anagallis arvensis","Scutellaria-type","Fumana","Pterocarya","Anemone nemorosa-type","Marrubium-type","Agrostemma githago","cf. Chrysosplenium","cf. Samolus valerandi","Fraxinus undiff.","Myriophyllum spicatum-type","Veronica-type","cf. Mercurialis","Myriophyllum verticillatum","Vicia","Trifolium-type","Lithospermum","Viola palustris-type","Tamarix","Bupleurum-type","cf. Epilobium","Myriophyllum alterniflorum","Persicaria maculosa-type","cf. Sedum","cf. Callitriche","Lotus","cf. Mentha","cf. Myrica","cf. Trichomanes","Ononis","cf. Elatine","cf. Circaea","cf. Larix","cf. Sambucus","cf. Daphne","Persicaria undiff.","cf. Onobrychis-type","cf. Helianthemum","Rosaceae cf. Geum","cf. Rutaceae"
12854,NA,NA,817.3,"","","","","","","","","","","","","","","","","2","4","","","7","","","2","","","8","1","","","","","2","23","1","","2","8","","1","43","160","","","","","","","","","1","","2","","","","","","4","","","","","","","","11","62","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12889,NA,NA,818.5,"","","","2","","1","","1","2","1","","2","","1","1","","3","19","5","","8","5","2","20","","14","9","3","","","","","8","8","","","2","28","","3","54","232","","","","","","","","","2","","29","","","","","","3","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12946,NA,NA,820.4,"","","","","","","","","","","","","","","","","6","5","","","6","","4","2","","","9","","","","","","","26","","","","2","","1","52","124","","","","","","","","","2","","3","","","","","","","","","","","","","","8","58","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13033,NA,NA,823.2,"","","","","","","","","","","","","","","","","4","1","","","3","","3","2","","","10","2","","2","","","","40","","","","4","","1","32","187","","","","","","","","","3","","1","","","","","","","","","","","","","","8","41","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13051,NA,NA,823.8,"","","","","","","","","","","","","","","","","2","3","","","14","","2","4","","","14","2","","","","","1","19","","","","4","","1","71","147","","","","","","","","","1","","1","","","","","","1","","","","","","","","7","51","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13123,NA,NA,826.2,"","","","","1","","","","","","","","1","","","","5","8","","","5","","3","2","","","14","","","","","","4","26","","","","4","","3","45","192","","","","","","","","","","","6","","","","","","1","","","","","","","","7","41","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13157,NA,NA,827.3,"","","","","","","","","","","","","","","","","4","2","2","","9","","4","3","","","2","2","","","","","","30","","","","6","","2","50","154","","","","","","","","","2","","2","","","","","","2","","","","","","","","10","33","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13194,NA,NA,828.5,"1","","1","","","4","","1","","1","1","3","","2","","","4","6","5","","5","8","2","19","1","17","10","1","","","","","1","10","2","","1","12","3","1","54","230","","1","","","","","","","","","28","","","1","","","1","","","","","","","","","","","","","2","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13213,NA,NA,829.1,"","","","","","","","","","","","","","","","","7","8","1","","3","","","9","","","6","","","","","","","18","","","","2","","","27","147","","","","","","","","","","","10","","","","","","3","","","","","","","","5","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13302,NA,NA,831.7,"","","","","1","","","","","","","","","","","","1","6","2","","2","","1","6","","","8","","","6","","","5","5","1","","","9","","2","22","196","","","","","","","","","","","7","","","","","","3","","","","","","","","10","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13368,NA,NA,833.7,"","","","","","","","","","","","","","","","","","4","2","","2","","","13","","","6","","","","","","","14","","","","8","","","50","200","","","","","","","","","","","31","","","","","","2","","","","","","","","13","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13392,NA,NA,834.4,"","","","","","","","","","","","","","","","","5","9","2","","3","","","8","","","2","2","","1","","","","12","1","","","7","","","27","161","","","","","","","","","","","15","","","","","","1","","","","","","","","4","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13473,NA,NA,836.8,"","","","","","","","","","","","","2","","","","6","4","4","","4","","1","10","","","7","2","","","","","2","9","","","","9","","","29","184","","","","","","","","","2","","16","","","","","","1","","","","","","","","15","29","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13482,NA,NA,837.1,"","","","","","","","","","","","","","","","","11","3","1","","2","","1","6","","","5","3","","1","","","2","7","2","","1","7","2","","35","190","","","","","","","","","2","","29","","","","","","2","","","","","","","","9","24","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13528,NA,NA,838.5,"2","","","1","","3","","1","","1","","3","","4","","","6","4","4","","7","7","5","21","","53","11","7","","","","","4","16","","","10","15","","1","82","139","","","","","","","","1","","","4","","","","","","","","","","","1","","","","","","","","3","","","","","1","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13571,NA,NA,839.8,"","","","","","","","","","","","","3","","","","7","12","7","","2","","1","12","","","6","4","","1","","","","9","","","","9","","5","36","152","","","","","","","","","1","","19","","","","","","2","","","","","","","","9","29","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13578,NA,NA,840,"","","","","","","","","","","","","","","","","","5","6","","1","","3","5","","","16","","","","","","2","10","","","","15","","1","72","80","","","","","","","","","","","23","","","","","","","","","","","","","","14","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13661,NA,NA,842.5,"","","","","","","","","","","","","4","","","","4","6","5","","","","2","4","","","9","3","","8","","","4","14","1","","2","18","1","1","55","149","","","","","","","","","","","48","","","","","","","","","","","","","","9","37","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13684,NA,NA,843.2,"","","","","","","","","","","","","","","","","2","7","6","","5","","1","12","","","8","5","","","","","1","13","","","","14","","1","50","150","","","","","","","","","1","","24","","","","","","1","","","","","","","","17","19","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13751,NA,NA,845.2,"","","","","","","","","","","","","4","","","1","3","7","4","","4","","2","8","","","7","3","","","","","","8","1","","","13","","2","60","109","","","","","","","","1","","","29","","","","","","","","","","","","","","10","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13789,NA,NA,846.3,"","","","","","","","","","","","","","","","","3","5","2","","2","","3","","","","11","2","","","","","2","19","","","","6","","3","103","100","","","","","","18","","","3","","1","","","","","","","","","","","","","","22","31","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13862,NA,NA,848.5,"5","","","","","1","","2","","","","7","","","","","4","2","","","4","7","2","6","","24","15","3","","","","1","10","20","","","","10","6","5","142","79","","","","","","","1","","","","1","","1","","1","","","1","","","","","","","","","","","","5","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13895,NA,NA,849.8,"","","","","","","","","","","","","","","","","3","","2","","2","","1","1","","","12","5","","","","","4","22","","","","9","","1","117","83","","","","","","","","","11","","1","","","","","","2","","","","","","","","21","30","","","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13930,NA,NA,851.3,"","","","","","","","","","","","","1","","","","9","10","2","","5","","1","8","","","8","6","","","","","1","8","","","1","24","","","81","117","","","","","","","","","3","","10","","","","","","1","","","","","","","","15","67","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14000,NA,NA,854.2,"","","","","","","","","","","","","","","","","5","2","1","","1","","1","2","","","13","4","","","","","3","16","","","","6","","","119","87","","","","","","","","","3","","","","","","","","2","","","","","","","","22","45","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14020,NA,NA,855,"","","","","","","","","","","","","1","","","1","6","5","3","","4","","1","","","","9","3","","2","","","1","8","","","1","12","","2","94","162","","","","","","","","","2","","1","","","","","","","","","","","","","","12","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14105.8,NA,NA,858.49,"","","","","","","","","","","","","","","","","4","1","1","","5","","3","1","","","11","6","","","","","4","12","","","","10","","1","113","58","","","","","","","","","6","","","","","","","","","","","","","","","","28","46","","","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14106.2,NA,NA,858.5,"2","","","1","","2","","2","","2","","4","","2","","","3","","","","4","12","1","6","","97","11","13","","","","","5","17","","","2","4","1","","156","29","","1","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","1","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14109,NA,NA,858.7,"","","","","","","","","","","","","","","","","4","5","4","","8","","5","1","","","14","4","","","","","3","12","","","6","13","","1","96","100","","","","","","","","","6","","1","","","","","","","","","","","","","","12","54","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14159,NA,NA,861.1,"","","","","1","","","","","","","","","","","","4","","","","5","","4","","","","6","10","","","","","1","10","","","","3","","1","136","30","","","","","","","","","5","","","","","","","","","","","","","","","","16","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14199,NA,NA,863,"","","","","","","","","","","","","","","","","4","5","6","","5","","3","","","","24","5","","","","","2","33","1","","","11","","3","101","71","","","","","","","","","","","2","","","","","","","","","","","","","","19","40","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14238,NA,NA,864.9,"","","","","","","","","","","","","","","","","7","","1","","4","","6","","","","5","8","","","","","1","14","","","","4","","2","107","23","","","","","","","","","7","","","","","","","","","","","","","","","","20","54","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14289,NA,NA,867.4,"","","","","","","","","","","","","","","","","3","","1","","1","","2","6","","","16","6","","","","","4","9","","","","4","","","97","63","","","","","","","","","4","","","","","","","","","","","","","","","","13","43","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14370,NA,NA,871.4,"","","","","1","","","","","","","","","","","","13","1","","","8","","3","","","","16","6","","","","","","17","","","","3","","1","145","23","","","","","","","","","13","","","","","","","","","","","","","","","","30","44","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14450,NA,NA,875.3,"","","","","","","","","","","","","","","","","5","","","","4","","5","","","","15","1","","","","","","18","2","","1","1","","","117","20","","","","","","","","","3","","","","","","","","","","","","","","","","20","72","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14501,NA,NA,877.8,"","","","","1","","","","","","","","","","","","14","","1","","8","","12","2","","","17","4","","","","","","27","","","","2","","","123","4","","","","","","","","","11","","","","","","","","","","","","","","","","22","73","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14504,NA,NA,877.9,"","","","","","","","","","","","","","","","","4","","","","5","","3","","","","12","5","","","","","","13","","","2","3","","1","128","24","","","","","","","","","3","","","","","","","","","","","","","","","","21","78","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14557,NA,NA,880.5,"1","","","2","1","3","","6","","","","3","","","","","2","","","","20","11","12","","","26","9","3","","","","","1","75","1","","6","4","","1","145","13","1","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","1","","5","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14580,NA,NA,881.4,"","","","","","","","","","","","","","","","","","","","","22","","23","","","","8","3","","","","","","54","","","","","","","116","18","","","","","","","","","","","1","","","","","","","","","","","","","","36","44","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14647,NA,NA,884.1,"","","","","1","","","","","","","","","","","","9","","","","7","","7","","","","17","4","","","","","1","18","","","2","2","","","154","23","","","","","","","","","1","","","","","","","","","","","","","","","","18","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14712,NA,NA,886.7,"","","","","","","","","","","","","","","","","2","1","1","","20","","20","","","","19","4","","","","","","70","","","","1","","1","113","8","","","","","","","","","8","","","","","","","","","","","","","","","","29","31","","","7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14791,NA,NA,889.8,"","","","","","","","","","","","","","","","","1","","","","21","","25","","","","13","5","","","","","","65","1","","4","2","","1","100","11","","","","","","","","","3","","","","","","","","","","","","","","","","30","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14809,NA,NA,890.5,"1","","","2","1","4","","2","","10","","4","","","","","3","","","","27","8","43","","1","32","13","6","1","","","","1","82","1","","14","1","2","2","118","13","1","1","","1","","","","","1","","","1","","2","","","","2","","","","1","","","","","","","","","","","","","3","","","2","","","","","1","","","1","","","","1","3","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14844.1,NA,NA,891.82,"","","","","","","","","","","","","","","","","5","","","","18","","35","","","","15","1","","","","","","64","","","","","","2","100","10","","","","","","","","","4","","","","","","","","","","","","","","","","20","27","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14844.5,NA,NA,891.83,"","","","","","","","","","","","","","","","","5","","","","22","","32","1","","","15","3","","","","","","78","","","4","","","","92","7","","","","","","","","","2","","","","","","","","","","","","","","","","19","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14950,NA,NA,895.8,"","","","","2","","","","","","","","","","","","3","","","","15","","37","","","","16","1","","","","","","65","","","","2","","2","114","12","","","","","","1","","","7","","","","","","","","","","","","","","","","23","13","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15024,NA,NA,898.6,"","","","","2","","","","","","","","","","","","3","","","","16","","49","","","","13","1","","","","","","57","2","","","3","","1","103","8","","","","","","","","","9","","","","","","","","","","","","","","","","17","30","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15055,NA,NA,899.7,"","","","","","","","","","","","","","","","","4","","","","24","","41","","","","16","1","","","","","","66","","","","","","1","104","7","","","","","","","","","6","","","","","","","","","","","","","","","","18","20","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15075,NA,NA,900.5,"2","","","","","2","","2","","","","4","","","","1.5","1","1","","","24","7","85","3","","10","23","3","","","","","","83","1","2","6","3","1","","128","13","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","1","4","","","","","","","","","","","","","","1","","","","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15185,NA,NA,905.5,"","","","","1","","","","","","","","","","","","1","","","","39","","33","","","","20","4","","","","","","78","","","5","","","","123","9","","","","","","","","","4","","","","","","","","","","","","","","","","14","12","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15213,NA,NA,906.8,"","","","","","","","","","","","","","","","","3","","","","18","","35","","","","15","2","","","","","","64","","","","2","","","100","10","","","","","","","","","6","","","","","","","","","","","","","","","","30","26","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15296,NA,NA,910.5,"","","","2","","9","","1","","5","","7","","5","1","","5","","","","31","8","64","1","1","5","11","2","","","","","","83","2","","10","","","","126","6","","1","","","","","","","3","","","1","","3","","","","1","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","1","2","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15364,NA,NA,912.4,"","","","","","","","","","","","","","","","","2","1","","","25","","67","","","","14","1","","","","","","65","","","5","","","","92","5","","","","","","","","","7","","","","","","","","","","","","","","","","19","5","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15477,NA,NA,915.5,"","","","","1","","","","","","","","","","","","4","","","","25","","66","1","","","16","","","","","","","73","","","","1","","","85","3","","","","","","","","","7","","","","","","","","","","","","","","","","32","12","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15490,NA,NA,915.9,"","","","","","","","","","","","","","","","","","","","","37","","76","","","","5","4","","","","","","63","3","","10","1","","","59","2","","","","","","","","","1","","","","","","","","","","","","","","","","13","6","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15655,NA,NA,920.5,"","","","1","","2","","2","","4","","5","","","","","5","2","1","","44","3","22","","","11","15.5","2","","","","","1","118","2","","3","","2","2","132","3","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","","","","","","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15669,NA,NA,920.8,"","","","","","","","","","","","","","","","","","","","","17","","70","","","","10","","","","","","","57","2","","3","","","","70","2","","","","","","","","","7","","","","","","","","","","","","","","","","19","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
