"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rhamnaceae","Vitis","Brassicaceae","Typha angustifolia","Caryophyllaceae undiff.","Myriophyllum undiff.","Solidago-type","cf. Euphorbia","Indeterminable (crumpled)","Potamogeton","Galium-type","Fraxinus ornus","Indeterminable (broken)","Unknown (trilete)","Abies","Salix","Ulmus","Acer","Juglans","Amaranthaceae","Apiaceae undiff.","Cupressaceae-type","Fraxinus excelsior-type","Unknown undiff.","Betula","Pinus undiff.","Rumex","Carpinus betulus","Phillyrea","Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae undiff.","Fagus","Ostrya","Alnus","Poaceae undiff.","Quercus undiff.","Potentilla-type","Rosaceae undiff.","Cedrus","Digitalis-type","Pteridium","Ericaceae","Typha latifolia","Hedera","Poaceae (Cerealia-type)","Humulus/Cannabis","Tilia","Ranunculus","Scilla-type","Achillea/Anthemis-type","Fabaceae undiff.","Asphodelus-type","Nymphaea","Centaurea solstitialis-type","Urtica-type","Pistacia","Quercus ilex","Cirsium","cf. Platanus","Poterium sanguisorba","Angiospermae undiff. (herbs)","Spermatophyta undiff. (trees/shrubs)","Polypodiophyta undiff.","Cladium","Asteraceae undiff.","Populus","Saxifragaceae","Ephedra fragilis-type","Menyanthes","Taxus","Thalictrum","Sambucus","Buxus","Filipendula","Viscum","Lonicera","Nuphar","Mentha-type","Cornaceae","Oxyria-type","Ilex","Hippophaë","cf. Centaurium","Primulaceae undiff.","Bryophyta undiff.","Boraginaceae undiff.","Ephedra distachya","Echium-type","Viburnum","Helianthemum","Centaurea cf. C. cyanus/montana-type","Serratula-type","Armeria","Allium-type","Bistorta officinalis-type","Equisetum","Indeterminable (degraded)","Clusiaceae/Hypericaceae cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae undiff.","Geranium","cf. Alchemilla","Papaveraceae","Indeterminable (concealed)","Helleborus foetidus","Valeriana","Dipsacoideae","Thymelaeaceae cf. Daphne","Epilobium","cf. Androsace","Larix","Polypodium","Euonymus europaeus","Persicaria amphibia","Calligonum-type","Dryopteris","Ceratophyllum","cf. Frangula/Bruckenthalia","Pedicularis","Pinus subg. Strobus","Lemnoideae","Celtis","Sanguisorba officinalis","Fritillaria-type","Centaurea scabiosa","Scrophulariaceae","Sorbus","Liliaceae","Consolida ambigua-type","Helleborus viridis","Prunus spinosa","Sphagnum","Linum","Anagallis tenella","Anagallis arvensis","Scutellaria-type","Fumana","Pterocarya","Anemone nemorosa-type","Marrubium-type","Agrostemma githago","cf. Chrysosplenium","cf. Samolus valerandi","Fraxinus undiff.","Myriophyllum spicatum-type","Veronica-type","cf. Mercurialis","Myriophyllum verticillatum","Vicia","Trifolium-type","Lithospermum","Viola palustris-type","Tamarix","Bupleurum-type","cf. Epilobium","Myriophyllum alterniflorum","Persicaria maculosa-type","cf. Sedum","cf. Callitriche","Lotus","cf. Mentha","cf. Myrica","cf. Trichomanes","Ononis","cf. Elatine","cf. Circaea","cf. Larix","cf. Sambucus","cf. Daphne","Persicaria undiff.","cf. Onobrychis-type","cf. Helianthemum","Rosaceae cf. Geum","cf. Rutaceae"
914,NA,NA,60,"1","","3","1","2","","","1","1","1","","1","","","7","2","5","2","","1","2","4","1","","2","2","1","2","15","1","1","2","5","4","3","7","6","34","17","94","48","81","","1","","4","","2","","1","3","5","","","","1","","","1","","2","","","1","","1","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
938,NA,NA,64.4,"","","","","2","","","","","","6","","4","","","1","4","3","","3","","","1","","","","1","1","25","","4","","24","4","7","1","","24","35","78","50","195","","","","","1","","","1","4","2","1","","","","","","","","","2","20","","","","6","","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
941,NA,NA,65,"","","1","","","","2","","","1","1","","2","","","1","4","4","","1","2","","1","2","2","1","","","33","4","3","2","4","1","3","","1","47","54","87","9","165","1","1","","","8","2","","1","","4","1","","","","2","","2","","","","3","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
969,NA,NA,67.5,"","","","","1","","","","","","1","","1","","","1","6","6","1","5","","","","","","","4","1","29","1","1","","16","1","7","1","1","29","19","98","42","145","","","","","2","","","1","2","1","2","","","","","","","","","","14","","","","7","4","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1034,NA,NA,73.2,"","","1","","2","","","","","","3","","1","","","","8","3","","3","2","","1","","","","3","1","17","","8","","15","5","11","2","2","29","32","80","55","175","","","","","5","","2","","1","","1","","","","","","4","","","1","14","","","","7","3","4","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1110,NA,NA,80,"","","1","","2","","1","","","","","","2","","","1","1","4","","4","4","","","3","","","2","2","15","2","6","","11","4","5","3","6","27","32","43","87","85","","","","","1","2","3","","5","4","","","","","","","3","","","3","14","","","","6","1","9","","5","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1179,NA,NA,86.2,"","","1","","2","","5","","","","","","1","","","","1","3","1","3","4","","","2","","","3","","18","","4","","8","5","12","1","8","20","38","56","57","64","","","","","5","","2","2","5","6","","","","","","","4","","","1","15","","","","6","1","4","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1207,NA,NA,88.6,"","","","","4","","5","","","","4","","4","","","1","8","2","1","2","3","","1","1","","","1","1","27","1","4","","10","5","7","4","6","29","16","65","60","78","","","","","4","1","1","4","2","","","","","","","","3","","","2","13","","","","8","1","5","2","5","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1222,NA,NA,90,"1","","1","3","","2","","","1","","","","","1","","","5","2","","1","1","","","4","","4","","1","14","2","","1","4","1","5","8","2","27","31","69","13","163","","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1233,NA,NA,91.6,"","","1","","1","","5","","","","","","3","","","1","2","6","","3","","","1","","","","","1","17","","3","","7","2","6","1","1","36","27","67","54","81","","","","","5","2","1","","4","","","","","","","","2","","","5","11","","","","8","1","19","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1301,NA,NA,102.1,"","","","","2","","2","","","","","","","","","1","5","4","","3","2","","","3","","","","1","26","","2","","5","3","1","","1","71","35","71","32","126","","","","","2","1","","1","3","","","","","","","","5","","","2","19","","","","2","2","27","3","3","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1313,NA,NA,104,"","","","","1","","","1","","","","","2","","","","2","2","1","1","2","","1","","","2","2","2","16","1","1","","11","","4","3","","77","46","56","34","130","","","","","4","4","","","4","2","","1","","","","","1","1","","4","5","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1378,NA,NA,108.7,"","","3","","3","","4","","","","","","2","","","2","3","","1","2","4","","","","","","1","1","25","2","1","","3","1","9","","2","53","17","64","29","92","","","","","3","1","","1","2","1","","","","","","","2","","","3","8","","","","7","","22","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1440,NA,NA,113.3,"","","2","","2","","2","","","","","","5","","","1","2","3","1","1","2","","","2","","","4","","16","","3","","","4","2","1","1","48","25","62","26","101","","","","","2","1","2","5","7","","","","","","","","3","","","","12","","","","7","3","8","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1441,NA,NA,113.4,"","","2","","10","","2","","","","3","","3","","","1","2","4","2","7","","","","1","","","3","","29","","3","","5","2","3","3","2","70","22","36","45","120","","","","","5","","3","","5","","","","","","","","3","","","2","9","","","","6","2","11","","5","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1586,NA,NA,124,"","","","","","","","","","","1","","3","","","1","","2","1","1","1","2","","","4","1","","1","32","3","10","2","8","","3","","","69","47","45","23","85","","3","","","6","","","","3","1","","","","","","","1","","","4","15","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1752,NA,NA,134,"","","","","","1","","1","","","","","","","2","","","3","2","","2","","1","4","","3","","2","15","","3","","5","","2","3","2","87","29","33","22","124","","","","","","","","","1","","","","","1","1","","2","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1836,NA,NA,144.8,"","","","","1","","","","","","","","5","","","","","3","1","3","","","1","2","","","3","","73","","20","","13","1","7","1","","108","45","76","16","182","","","","","3","","","","5","1","1","","","","","","1","","","6","28","","","","2","1","2","3","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1909,NA,NA,154,"","","","","","","","","","2","","","4","","2","","","4","2","","","2","3","","1","1","","","67","8","4","","12","1","4","1","","48","68","47","7","95","","","","","","1","","","1","","","","","","","","1","","","8","13","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1946,NA,NA,159,"","","1","","","","","","","","","","8","","","1","","7","1","","","","2","","","","1","","68","3","11","","14","3","4","","","33","49","100","26","164","","","","","1","","","1","1","","","","","","","","3","","","6","14","","","","3","","2","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2104,NA,NA,180.4,"","","","","1","","","","","","","","3","","","1","1","8","2","1","3","","","1","","","3","5","53","","34","","11","","8","","1","45","52","119","28","239","","","","","1","1","","","1","","","","","","","","4","","","4","15","","","","6","","3","4","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2106,NA,NA,180.5,"","","","","","","","","2","","","","","","","","","3","","","","","9","3","","3","1","1","21","8","9","","10","2","2","","6","21","30","60","31","204","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2186,NA,NA,184,"","","","1","","","","","","5","","","3","","","","","2","1","2","1","1","1","1","3","2","","","39","3","1","1","16","2","6","","4","37","52","54","17","172","","1","","1","2","2","","","","1","","1","","","","","2","1","","1","9","","","1","","","","2","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2352,NA,NA,194,"","","","","1","","","","","3","","","1","","","","","3","2","3","2","1","1","1","","2","1","1","41","2","","2","9","","2","","4","15","37","100","19","124","","3","","","3","1","","","1","","","","","","","","1","1","","","20","","","","","","","2","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2394,NA,NA,199.1,"","","1","","9","","","","","","","","3","","","1","","2","","3","2","","2","2","","","2","2","41","","17","","9","","5","","","16","28","83","37","146","","","","","5","1","","1","3","","","","","","","","4","","","3","27","","","","3","2","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2520,NA,NA,214.9,"","","3","","5","","","","","","","","4","","","12","","5","","","1","","","1","","","1","2","88","","6","","66","4","2","","1","51","57","125","35","106","","","","","3","1","1","2","8","","1","","","","","","7","","","3","13","","","","10","1","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2565,NA,NA,220.5,"1","","1","2","","","","","","","","","","","","","3","3","","","","","","1","","4","","8","38","","6","","20","2","4","3","1","27","17","69","33","117","","","","","1","2","","2","","","","1","","1","","","2","","","","6","","","","","","","","","","","","","","","","","","","","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
