"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Caryophyllaceae","Ephedra fragilis","Ostrya","Asteraceae (echinate)","Daphne gnidium","Pistacia","Polygonum","Cyperaceae","Cedrus atlantica","Fraxinus","Amaranthaceae","Apiaceae","Olea","Cupressus","Quercus ilex/Q. coccifera","Quercus canariensis/Q. pyrenaica","Poaceae","Rumex","Brassicaceae","Helianthemum","Cistus","Cichorioideae","Erica","Plantago","Salix","Lamiaceae","Asphodelus","Scabiosa","Rhamnus","Centaurea","Betula"
43,NA,NA,5,1,1,1,2,2,2,3,3,5,5,8,10,13,15,17,43,89,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,15,NA,5,NA,16,8,NA,2,6,21,3,NA,15,8,NA,17,40,67,28,1,1,1,1,2,3,25,NA,NA,NA,NA,NA,NA,NA
207,NA,NA,25,6,NA,14,19,6,2,6,6,1,6,NA,14,10,6,16,69,87,81,23,NA,NA,1,2,1,NA,11,NA,NA,NA,NA,NA,NA
283,NA,NA,35,4,7,NA,11,NA,NA,9,10,33,4,NA,13,29,2,13,62,98,46,10,NA,1,7,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
357,NA,NA,45,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,1,2,8,14,17,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,NA,NA,55,NA,NA,NA,NA,NA,NA,3,1,2,1,NA,NA,5,NA,11,15,27,23,27,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA
556,NA,NA,75,NA,2,NA,NA,1,NA,1,NA,NA,2,NA,2,13,1,56,50,55,20,NA,14,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA
617,NA,NA,85,NA,4,NA,NA,1,NA,1,6,NA,4,NA,10,34,2,32,43,69,70,27,3,2,NA,3,NA,11,NA,NA,NA,NA,NA,NA,NA
675,NA,NA,95,NA,6,NA,NA,7,NA,NA,2,NA,3,NA,4,24,NA,87,51,80,21,20,18,NA,3,NA,1,3,2,NA,NA,NA,NA,NA,NA
730,NA,NA,105,1,4,NA,NA,2,NA,NA,NA,NA,5,NA,6,9,NA,20,25,40,69,18,NA,NA,1,NA,1,8,NA,NA,3,NA,NA,NA,NA
832,NA,NA,125,12,3,NA,NA,NA,NA,NA,16,NA,4,NA,16,14,NA,52,93,65,131,54,9,NA,31,1,1,13,NA,2,NA,NA,NA,NA,NA
880,NA,NA,135,12,5,NA,NA,7,NA,NA,5,NA,3,NA,8,25,NA,4,34,64,60,58,NA,NA,NA,3,NA,12,NA,NA,2,NA,NA,NA,NA
925,NA,NA,145,NA,7,NA,NA,4,1,NA,10,NA,5,12,9,11,NA,36,28,64,96,28,2,NA,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA
