"age_NA","ageolder_BP","ageyounger_BP","depth","Phillyrea angustifolia","Sphagnum","Apiaceae","Unknown (monolete)","Erica arborea","Cichorioideae","Quercus canariensis","Asteroideae","Quercus suber","Poaceae","Unknown","Ephedra","Caryophyllaceae","Myrtus communis","Amaranthaceae","Plantago coronopus-type","Cyperaceae","Alnus glutinosa","Arbutus unedo","Asphodelus","Pinus pinaster-type","Viburnum","Linaceae","Fabaceae","Cistus monspeliensis","Salix","Lythrum","Typha latifolia","Hypericum","Lamiaceae","Campanulaceae"
NA,NA,NA,5,6,NA,3,NA,22.5,3,18,15,67.5,15,169.5,1.5,NA,NA,3,NA,NA,NA,1.5,NA,NA,NA,NA,3,3,7.5,NA,NA,NA,NA,NA
NA,NA,NA,140,7.5,22.5,18,NA,130.5,36,12,22.5,21,52.5,345,7.5,NA,4.5,NA,NA,NA,1.5,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
NA,NA,NA,120,1.5,3,7.5,NA,78,24,15,6,28.5,24,205.5,NA,NA,6,3,NA,4.5,NA,NA,1.5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,3,42,6,NA,27,6,42,9,78,36,270,NA,9,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,55,13.5,13.5,NA,4.5,27,4.5,36,22.5,52.5,40.5,243,NA,13.5,NA,NA,NA,4.5,NA,3,NA,4.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,95,3,15,4.5,NA,37.5,12,28.5,6,30,46.5,193.5,NA,1.5,NA,3,1.5,NA,1.5,NA,1.5,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,105,6,25.5,12,NA,54,30,19.5,13.5,28.5,36,253.5,NA,3,18,NA,1.5,NA,1.5,NA,NA,3,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA
NA,NA,NA,20,21,4.5,NA,NA,22.5,NA,22.5,19.5,33,30,183,1.5,NA,3,NA,4.5,12,1.5,NA,NA,1.5,NA,NA,NA,NA,4.5,1.5,NA,NA,NA,NA
NA,NA,NA,15,15,15,7.5,NA,27,NA,34.5,49.5,51,19.5,247.5,NA,NA,6,1.5,1.5,9,NA,NA,1.5,NA,NA,NA,NA,NA,4.5,NA,NA,4.5,NA,NA
NA,NA,NA,75,NA,18,9,13.5,16.5,4.5,18,21,33,43.5,199.5,NA,6,NA,NA,NA,3,1.5,NA,3,NA,NA,NA,1.5,NA,NA,NA,4.5,3,NA,NA
NA,NA,NA,35,3,9,4.5,NA,4.5,9,13.5,18,36,31.5,196.5,NA,9,4.5,NA,9,13.5,NA,NA,NA,NA,4.5,NA,NA,4.5,NA,NA,NA,22.5,NA,NA
NA,NA,NA,110,4.5,19.5,18,NA,63,25.5,30,12,40.5,45,274.5,NA,1.5,NA,1.5,1.5,6,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA
NA,NA,NA,25,6,22.5,NA,NA,9,3,16.5,21,30,48,184.5,1.5,NA,NA,NA,1.5,9,1.5,3,NA,NA,4.5,NA,NA,1.5,3,NA,NA,3,NA,NA
NA,NA,NA,30,10.5,36,3,NA,3,9,12,18,45,45,258,NA,9,9,NA,9,21,NA,NA,NA,NA,12,1.5,NA,NA,NA,NA,NA,9,6,NA
NA,NA,NA,10,6,4.5,NA,NA,43.5,1.5,27,25.5,34.5,10.5,186,NA,1.5,4.5,4.5,3,NA,1.5,NA,1.5,3,NA,NA,1.5,NA,6,NA,NA,6,NA,NA
NA,NA,NA,40,6,15,NA,NA,9,9,24,21,57,45,261,NA,18,NA,3,6,15,3,1.5,NA,NA,15,NA,NA,6,NA,NA,NA,3,4.5,NA
NA,NA,NA,0,13.5,3,4.5,NA,30,4.5,22.5,18,90,24,240,NA,NA,4.5,1.5,3,NA,NA,NA,NA,1.5,NA,NA,3,3,7.5,3,NA,1.5,NA,1.5
NA,NA,NA,45,6,10.5,4.5,NA,9,12,12,28.5,24,64.5,249,1.5,15,3,NA,1.5,9,NA,NA,3,NA,4.5,NA,NA,NA,NA,NA,28.5,6,6,NA
