"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Brassicaceae","Lamiaceae","Quercus ilex-type","Vitis","Centaurea-type","Artemisia","Unknown (trilete)","Ericaceae","Unknown (monolete)","Plantago","Poaceae","Olea","Apiaceae","Cyperaceae","Pseudoschizaea","Poaceae (Cerealia-type)","Asteroideae","Sparganium-type","Pinus","Amaranthaceae","Cichorioideae","Fabaceae","Monocotyledoneae","Ephedra","Cistus","Tilia","Urticaceae","Lygeum-type","Betula","Malvaceae","Alnus","Ulmus","Juniperus","Corylus","Buxus","Epilobium","Rubiaceae","Quercus robur-type","Euphorbia","Carpinus","Phillyrea","Pistacia","Ranunculaceae","Cannabaceae","Caryophyllaceae","Geraniaceae","Rhamnus","Helianthemum","Polygonum","Tamarix","Scabiosa","Coriaria myrtifolia","Potamogeton","Myriophyllum","Thymelaea"
538,4070,-3368,100,1,1,1,3,3,4,5,6,8,10,15,16,26,29,34,36,44,47,56,164,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
976,4078,-2452,125,NA,2,1,NA,2,1,16,7,38,3,9,4,40,21,35,NA,41,6,17,111,232,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1413,4093,-1538,150,NA,1,NA,NA,NA,NA,15,13,16,6,4,NA,26,13,32,NA,51,NA,25,135,364,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,4120,-625,175,NA,NA,NA,NA,NA,1,17,3,25,NA,21,1,46,37,54,1,45,1,19,111,255,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2288,4163,288,200,NA,NA,NA,NA,NA,6,6,3,12,1,19,NA,57,129,17,NA,42,6,24,79,165,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2988,4277,1698,240,NA,NA,7,1,NA,NA,27,NA,125,NA,6,NA,230,24,NA,1,41,16,38,NA,NA,NA,NA,5,NA,1,NA,NA,1,1,1,2,6,9,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4039,4896,3148,300,NA,31,7,1,NA,NA,5,NA,16,NA,95,4,198,55,NA,NA,9,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,16,9,35,1,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4563,5626,3531,330,NA,24,6,NA,NA,1,3,NA,3,3,20,NA,76,14,NA,NA,1,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10,1,119,NA,NA,9,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5083,5904,4188,360,NA,5,4,NA,NA,NA,58,3,16,55,24,37,78,8,45,2,46,4,15,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA,6,NA,2,2,1,NA,NA,NA,NA,NA,5,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
5603,6599,4591,390,1,NA,5,NA,3,2,31,5,28,43,28,23,79,8,2,NA,62,4,7,9,9,4,NA,7,NA,NA,NA,NA,NA,NA,2,NA,3,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6284,7268,5359,420,NA,NA,5,NA,NA,NA,NA,NA,13,NA,24,2,14,8,35,1,28,2,19,NA,NA,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,3,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7045,7876,6297,450,NA,2,7,NA,NA,2,1,5,48,14,39,13,26,60,NA,1,20,3,11,28,8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7805,8679,6988,480,NA,NA,6,NA,NA,2,2,2,14,24,18,16,101,65,1,5,25,9,4,16,6,NA,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
9327,10733,8021,540,NA,4,3,NA,NA,10,3,3,1,6,33,19,17,56,8,1,25,NA,6,4,7,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
10088,11813,8461,570,NA,13,3,NA,NA,9,NA,3,1,21,48,NA,69,33,NA,3,9,12,19,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,1,NA,47,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
