sample_name,depth,Fabaceae undiff.,Gardenia imperialis,Clematis-type,Dialium guineense,Sapotaceae undiff.,Cyperaceae,Garcinia,Annona,Canthium-type,Tabernaemontana,Apiaceae undiff.,Prosopis/entada,Isoberlinia,Ceratopteris cornuta,Gaertnera paniculata-type,Syzygium,Hygrophila,Urticaceae undiff.,Borassus/hyphaene,Blighia sapida,Monoletes,Meliaceae undiff.,Acacia groupe III,Phyllanthus niruri,Polygala,Lannea-type,Triletes,Parkia biglobosa-type,Ziziphus,Sterculia-type,Typha,Commelina benghalensis-type,Naucleae,Aerva lanata-type,Pandanus candelabrum,Hibiscus-type,Pycnanthus,Bridelia micrantha,Dodonaea viscosa,Myrianthus serratus,Maytenus senegalensis,Polycarpaea,Talinum-type,Mitragyna inermis-type,Hypoestes-type,Unknown,Olea,Impatiens,Justicia-type,Ambrosia maritima-type,Macaranga,Lophira alata,Uapaca,Caperonia senegalensis,Grewia-type,Vernonia perrottetii,Phyllanthus maderaspatensis-tpe,Nymphaea lotus-type,Cola cordifolia-type,Micrococca mercurialis,Monocotyledonae undiff.,Polypodiaceae undiff.,Tetrorchidium,Klaineanthus gaboniae-type,Sauvagesia erecta,Dracaena,Irvingia,Polycarpon  prostratum,Phyllanthus,Guibourtia-type,Indeterminees,Polygonum senegalense-type,Adenium-type obesum,Calpocalyx aubrevillei,Avicennia,Crudia-type,Lamiaceae undiff.,Uncaria africana-type,Calpocalyx,Antidesma,Diospyros,Cassia-type,Ficus,Mimosaceae undiff.,Phoenix reclinata-type,Amaranthacee undiff.,Ascolepis,Brassicaceae undiff.,Mimosa pigra,Aizoaceae/Ficoidaceae,Anthocerothaceae undiff.,Centaurea perrottetii-type,Undeterminable,Poaceae undiff.,Commiphora africana,Tubuliflorae,Gnidia-type,Pausinystalia,Euphorbia,Lotus arabicus-type,Galium-type,Elaeis guineensis,Abutilon-type,Celtis integrifolia,Salix,Osmunda regalis,Balanites aegyptiaca-type,Rumex,Hymenocardia,Alchornea,Rubiaceae undiff.,Erica,Lycopodium,Hura,Apocynaceae undiff.,Artemisia,Detarium,Chrysobalanus/Parinari,Anthostema senegalense,Combretaceae undiff;,Spermacoce-type,Podocarpus,Acacia groupe I,Pinus,Allophylus africanus,Euphorbiaceae undiff.,Ephedra,Buxus,Rhizophora,Gardenia,Canthium  subcordatum,Lycopodium cernuum,Amanoa-type,Caesalpiniaceae undiff.,Moraceae undiff.,Vernoniae,Caryophyllaceae/Amaranthaceae,Lepidagathis,Daniellia,Spermacoce radiata-type,Caucanthus-type,Bombax costatum,Pteris-type,Mitracarpus villosus,Lygodium microphyllum,Tetracera alnifolia,Maerua-type,Tribulus terrestris,Liguliflorae
,10.0,0,0,0,0,1,27,0,0,0,0,0,0,2,1,0,0,0,0,0,0,18,0,1,0,0,0,6,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,17,79,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,24,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,114,0,0,1,0,0,0,3,1,0,0,0,0,0,3,0,1,0,1,0,0
,20.0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,6,0,0,0,3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,0,0,0,0,4,0,49,164,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
,30.0,0,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,2,0,1,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,3,98,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,6,0,0,0,2,1,0,6,0,89,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
,40.0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,69,0,1,0,1,0,0,0,3,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,3,0,173,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0
,50.0,2,0,1,1,0,63,0,0,0,0,0,0,0,0,0,3,0,0,0,1,9,0,0,0,0,1,2,0,0,3,2,0,0,7,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,1,3,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,2,2,0,14,94,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,12,0,0,0,0,1,0,7,0,96,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0
,60.0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,4,0,0,0,1,18,0,0,0,0,1,2,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,2,3,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10,0,0,0,0,13,0,14,250,0,4,1,0,1,0,0,6,0,1,0,0,0,0,0,16,0,1,0,1,0,0,0,0,1,8,0,0,0,1,0,1,6,0,85,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,1,1,0,0,0
,70.0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,1,7,0,0,5,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,13,91,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,1,3,0,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,80.0,0,0,0,0,0,26,0,1,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,3,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,9,117,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
,90.0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,2,3,1,0,0,7,0,0,3,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,9,121,0,1,0,1,0,0,0,1,1,4,2,0,0,0,0,14,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,53,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
,100.0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,1,1,0,0,1,3,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,9,0,10,196,0,3,0,0,0,0,0,6,0,5,0,0,0,0,0,21,0,0,0,0,2,1,0,0,0,6,0,0,1,5,1,0,5,0,70,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
