Depth (cm) (rounded),Depth (cm) [original],Acacia,Acanthaceae,Alchornea,Alnus,Anacardiaceae,Artemisia,Balanites,Betula,Blepharis,Boerhavia,Borassus,Borreria,Boscia,Brassicaceae,Cadaba,Calligonum,Capparidaceae,Capparis,Cardiospermum,Carpinus,Caryophyllaceae,Cassia,Celtis,Centaurea,Chenopodiaceae/Amaranthaceae,Cissus,Cleome,Combretaceae/Melastomataceae,Commicarpus,Commiphora,Corchorus,Corylus,Crossandra,Cyperaceae,Detarium,Diospyros,Elaeis guineensis,Enicostema,Ephedra,Euphorbia,Euphorbiaceae,Fraxinus ornus-type,Gramineae,Grewia,Gypsophila,Hyphaene,Hypoestes,Icacinaceae,Indetermines,Indigofera,Ixora,Justicia,Lannea,Lawsonia,Leonotis,Leptaulus,Leucas,Liguliflorae,Liliaceae,Linociera,Maerua,Malvaceae,Mitracarpus,Mitriostigma,Monolete echinate spores,Monolete psilate spores,Monolete reticulate spores,Monolete verrucate spores,Myriophyllum,Nauclea,Nitraria,Ocimum,Olea,Oleaceae,Ostrya,Palmae,Papilionoideae,Phillyrea,Phoenix,Phyllanthus,Piliostigma,Pinus,Plantago,Plumbaginaceae,Podocarpus,Potamogeton,Pouchetia,Protea,Pterocarpus,Quercus,Ranunculaceae,Rhus,Rhynchosia,Rosaceae,Rubiaceae,Salvadora,Sesbania,Sherbournia,Spondias-type,Syzygium/Eugenia,Tamarix,Tribulus,Trichilia,Trilete reticulate spores,Trilete verrucate spores,Tubuliflorae,Typha,Uapaca,Umbelliferae,Utricularia,Vitis,Ziziphus
489.4,489.399994,4,,,,,5,6,,,,,,,1,,,1,,,,48,,,,239,,,,,,,,,11716,,,,,2,,2,,4176,,,,,,3,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,1,,,1,,1,,,,,,,1,2,,,,,,,,,,,1,,,,,15,274,,,,,1
489.5,489.450012,1,,,,1,10,7,,,,,,,5,,1,2,,,,17,1,1,,148,,,,,,,,,1997,,,,,6,5,1,,1133,,,,,,3,,,,,,,,,1,,,6,,,,,3,,,,,,,,1,,1,,,,,,3,,,1,,,,,2,,,,,,,,,,,,,,1,,12,167,,,,,1
489.5,489.5,1,,,,,2,,1,,,,,,2,,,1,,,,27,,1,,83,,,,,,,,,1527,,,,,3,,,,1042,,,,,,6,,,,,,,,,,,,13,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,5,113,,,,,
489.5,489.549988,5,,,,,3,,1,,,,,,1,,,1,,,,30,,1,,184,,,2,,,,,,1382,,,,,3,,1,,1,1,,,,,,,,,,,,,,,,,8,,,,2,,1,,,,,,,,,,,,,,,,,1152,,,,,,,,,,,,,,,,,,,164,,272,6,,,,6,,
489.7,489.679993,1,,,,,2,1,,,,,,,,,,,,,,4,,,,47,,,,,,,,,442,,,,,2,,,,641,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,5,183,,,,,
489.7,489.730011,5,,,,,9,,,,,,,,,,,,,,,20,,,,125,,1,2,,,,,,1032,,,,,2,,,,1972,1,,,2,,4,2,,,15,,,,,,,,4,,,,,2,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,1,1,,,,,,,,3,25,527,,1,,,1
489.8,489.769989,2,,,,,5,,,,,,,,,,,,,,,19,,,,68,,1,1,,,,,,643,,,,,,1,,,1445,,,,,,,,,,21,,,,,,1,,1,,,,,4,,1,,,1,,,,,,,,,,1,1,,,,,,,,,1,,,,1,1,,,,1,,,,,1,10,278,,,,,
489.9,489.859985,2,,,,,2,2,,,,,,,,,2,,,,,13,,1,,73,,,,,,,,,1074,,,,,,1,,,2111,1,,,2,,4,1,,,8,,,,,,2,,2,,,,,11,,,,,,,1,,,,1,,,1,1,,,,,,,,,1,,,,,1,,,,,,,,,1,2,14,242,,,1,,
489.9,489.899994,2,1,,,,1,3,,,,,,,1,,1,,,,,6,1,,,67,,,,,,,,,326,,,1,,2,1,,,953,1,1,,,,5,1,,,4,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,3,530,,,,,1
490,489.959991,1,,1,,,5,1,1,,,,,,3,,,1,,,,3,,,,28,,,1,,,,,,332,,,,,1,,,,656,,,1,,,1,,,,3,,,,,,,,,,,,,6,,,1,,,,,,,,,,,2,,,,,,,,,,,1,,,3,,3,,,,,,,,,1,3,147,,,,,1
