"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Corylus","Poaceae (Cerealia)","Brassicaceae","Pinus","Amaranthaceae","Indeterminable undiff.","Sambucus","Arbutus unedo","Unknown (trilete)","Alnus glutinosa","Pistacia lentiscus","Quercus coccifera","Lythrum","Plantago coronopus-type","Olea europaea","Salix","Fabaceae","Myriophyllum","Fraxinus","Cistus monspeliensis","Apiaceae","Myrtus communis","Quercus canariensis","Asteroideae","Poaceae","Quercus suber","Erica arborea","Viburnum","Typhaceae","Lamiaceae","Hypericum","Caryophyllaceae","Ephedra","Phillyrea angustifolia","Thymelaeaceae","Asphodelus","Cyperaceae","Campanulaceae","Valerianoideae","Acanthus","Calystegia","Persicaria maculosa-type"
585,NA,NA,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,7,7,8,8,13,14,16,17,18,62,92,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640,NA,NA,10,1,3,NA,1,5,2,1,3,7,NA,3,25,11,11,9,6,2,NA,10,12,7,8,27,31,60,80,154,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,NA,NA,15,1,2,1,1,2,1,2,3,7,1,3,9,3,3,2,6,2,2,4,15,16,10,25,17,51,82,105,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
749,NA,NA,20,1,6,NA,NA,5,2,NA,4,3,5,3,10,2,2,1,19,5,4,1,3,16,23,15,7,42,67,109,NA,21,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA
804,NA,NA,25,1,2,3,2,2,2,1,5,3,5,2,25,9,9,7,16,8,4,10,24,47,47,20,14,50,70,164,NA,2,NA,9,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
859,NA,NA,30,3,1,NA,NA,4,1,1,5,NA,4,1,4,2,2,3,6,1,1,1,7,21,18,20,5,20,80,52,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA
913,NA,NA,35,3,1,NA,NA,2,3,1,3,NA,3,NA,13,NA,NA,3,3,6,2,NA,6,4,23,21,2,30,75,73,NA,12,NA,10,NA,3,4,2,NA,NA,NA,NA,NA,NA,NA
968,NA,NA,40,NA,3,NA,3,4,NA,NA,NA,NA,6,NA,8,4,4,4,10,4,9,NA,6,10,12,25,2,16,60,62,NA,NA,NA,10,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1023,NA,NA,45,NA,1,NA,NA,4,4,NA,NA,NA,NA,NA,4,4,4,NA,4,NA,NA,NA,8,16,12,12,NA,18,81,90,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,NA,NA,50,2,1,NA,2,1,1,NA,2,NA,1,NA,10,1,1,1,9,6,3,1,4,20,19,22,6,15,72,100,NA,6,1,4,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA
