"age_NA","ageolder_BP","ageyounger_BP","depth","Osmunda","Corylus","Pinus","Asteroideae","Sparganium","Cedrus","Quercus coccifera","Polypodium","Apiaceae","Rosaceae","Unknown (trilete)","Plantago coronopus","Poaceae","Cichorioideae","Juniperus","Olea","Lythrum","Liliaceae","Rubiaceae","Asphodelus","Quercus (deciduous)","Cyperaceae","Erica","Cistaceae","Ranunculaceae","Quercus suber","Artemisia","Rumex","Quercus ilex","Plantago lanceolata","Phillyrea","Caryophyllaceae","Amaranthaceae","Brassicaceae","Dipsacoideae","Isoëtes","Hypericum","Fraxinus","Myriophyllum","Unknown (monolete)","Ephedra","Myrtus","Fabaceae","Campanulaceae","Damasonium","Pistacia","Ligustrum","Alnus","Linum","Centaurea","Viburnum","Thymelaeaceae","Lamiaceae","Salix","Thalictrum","Lemna","Hedera","Ilex","Betula","Ulmus","Boraginaceae","Polygonum","Abies","Vitis"
NA,NA,NA,135,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,NA,1,1,1,1,1,1,1,2,2,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,110,7,NA,10,11,NA,5,4,NA,2,2,4,4,5,1,1,1,2,2,2,4,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,125,14,NA,5,11,NA,NA,3,NA,5,3,13,NA,5,3,2,NA,1,NA,NA,2,7,6,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,75,13,NA,5,53,NA,NA,3,NA,24,5,8,15,63,27,3,NA,1,7,3,1,11,6,7,2,5,NA,NA,NA,5,1,1,2,2,2,2,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,150,1,NA,7,4,3,4,3,2,18,11,5,2,26,NA,2,NA,NA,4,NA,2,13,3,1,NA,3,NA,1,NA,3,NA,NA,1,NA,2,NA,2,NA,1,3,4,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0,NA,NA,8,5,NA,1,4,NA,5,7,2,10,36,3,1,1,2,NA,3,NA,55,13,18,NA,NA,4,4,2,13,3,NA,5,4,3,NA,5,7,1,1,NA,NA,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,55,15,NA,1,24,NA,2,11,NA,30,7,6,16,109,12,9,3,14,4,8,7,29,24,15,NA,2,1,13,3,6,NA,NA,2,2,3,1,6,11,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,38,NA,3,33,NA,1,2,9,27,9,15,32,71,16,1,4,NA,8,3,2,19,22,24,1,4,NA,10,1,12,4,NA,3,3,9,NA,5,3,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,5,1,NA,11,10,NA,5,13,NA,21,8,8,13,63,6,6,2,15,NA,2,NA,65,18,31,NA,4,3,7,3,22,1,1,5,2,4,NA,7,19,1,NA,1,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,27,NA,8,23,NA,4,16,3,12,5,14,20,62,9,1,1,1,2,NA,3,14,13,6,4,1,1,6,3,4,NA,NA,NA,NA,4,NA,4,6,NA,NA,NA,1,1,NA,1,3,NA,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,115,12,2,2,18,2,1,7,3,10,3,4,18,23,7,3,NA,1,3,1,1,14,11,6,NA,1,NA,3,1,6,1,NA,1,NA,3,1,3,NA,NA,NA,NA,1,NA,NA,NA,2,1,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,85,48,NA,5,38,NA,NA,14,1,38,10,7,42,87,14,2,NA,NA,11,14,8,17,17,18,2,5,2,9,2,11,1,NA,5,NA,3,1,13,2,NA,NA,3,NA,3,NA,2,NA,NA,5,1,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,90,43,NA,13,42,NA,2,3,6,20,12,10,42,58,5,4,NA,1,3,4,6,12,22,28,NA,4,NA,11,6,9,1,NA,2,1,4,5,6,NA,NA,NA,1,1,NA,1,1,NA,NA,2,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30,2,NA,1,19,NA,1,12,1,12,6,5,11,53,3,5,3,1,3,7,3,41,44,14,NA,4,2,6,1,14,2,NA,3,3,3,NA,12,13,NA,NA,NA,NA,NA,3,1,1,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,70,19,NA,8,32,1,1,11,1,23,7,14,39,150,14,4,3,11,6,15,5,36,35,20,NA,2,4,10,NA,15,5,1,7,3,3,NA,12,14,2,NA,3,NA,1,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,40,11,NA,6,22,NA,NA,15,1,37,10,4,18,156,4,9,1,17,11,11,4,51,34,21,NA,6,1,11,NA,13,NA,1,3,1,9,1,5,43,1,NA,NA,3,NA,6,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,105,20,3,6,28,NA,6,7,1,17,3,11,15,88,11,2,3,NA,3,3,2,24,27,16,NA,2,1,6,1,12,1,NA,5,1,2,NA,4,10,NA,NA,1,NA,3,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
NA,NA,NA,60,15,NA,7,26,NA,2,24,NA,26,15,5,10,106,14,18,4,21,5,12,3,30,29,23,NA,4,4,3,2,8,2,NA,2,1,6,NA,5,37,1,NA,2,1,2,2,NA,NA,3,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
