"age_NA","ageolder_BP","ageyounger_BP","depth","Amaranthaceae","Olea europaea","Pinus pinaster-type","Hypericum","Cichorioideae","Unknown (trilete)","Erica arborea","Plantago coronopus-type","Apiaceae","Asteroideae","Poaceae","Quercus canariensis","Cyperaceae","Unknown","Cistus monspeliensis","Asphodelus","Typhaceae","Caryophyllaceae","Lythrum","Lamiaceae","Fabaceae","Phillyrea angustifolia","Fraxinus","Unknown (monolete)","Corylus"
NA,NA,NA,40,1,2,5,9,10,10,11,12,20,32,37,42,63,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,10,NA,4,1,6,10,13,9,16,11,11,45,22,35,188,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,75,NA,NA,2,6,2,12,11,18,18,18,30,48,39,209,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,45,NA,NA,4,8,3,9,12,14,19,30,29,36,59,230,1,NA,NA,1,1,1,3,NA,NA,NA,NA
NA,NA,NA,20,NA,2,4,8,6,9,10,13,26,25,28,45,71,252,NA,NA,NA,1,1,NA,2,1,NA,NA,NA
NA,NA,NA,35,NA,1,3,10,6,12,10,9,23,30,35,43,70,257,NA,1,NA,1,NA,NA,2,1,NA,NA,NA
NA,NA,NA,5,2,2,1,5,13,12,9,18,9,12,40,32,40,203,NA,5,NA,NA,NA,NA,2,NA,1,NA,NA
NA,NA,NA,60,NA,2,1,10,3,12,8,10,14,26,38,42,45,219,2,2,2,1,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,70,NA,2,NA,8,4,8,8,16,16,20,31,39,40,200,NA,NA,1,3,1,NA,1,NA,NA,1,1
NA,NA,NA,0,3,5,1,9,15,9,10,20,10,10,50,20,31,201,NA,3,NA,1,1,NA,2,NA,NA,NA,1
NA,NA,NA,30,NA,2,2,11,10,6,12,13,29,35,32,50,63,275,NA,1,NA,1,NA,NA,4,2,1,NA,1
NA,NA,NA,55,1,NA,2,7,6,11,9,9,16,25,28,36,50,207,NA,1,1,2,1,NA,1,NA,1,NA,NA
NA,NA,NA,15,2,3,2,6,9,10,12,18,20,13,32,42,60,240,NA,3,NA,1,NA,1,3,2,1,NA,NA
NA,NA,NA,50,3,1,3,6,4,6,10,12,18,29,32,39,55,231,2,2,4,NA,NA,NA,2,1,NA,1,1
NA,NA,NA,65,2,1,1,9,2,6,10,14,15,26,36,45,42,217,1,1,2,NA,NA,1,1,1,1,NA,NA
NA,NA,NA,25,1,2,4,9,7,10,9,12,20,29,30,42,65,252,1,1,NA,2,NA,1,5,1,1,NA,NA
