"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Salix","Ranunculus acris-type","Salsola-type","Linaria","Aster-type","Plantago maritima-type","Sedum-type","Sporormiella","Glomus","Betula","Cichorioideae","Brassicaceae","Lotus","Fumaria","Saxifraga rotundifolia","Orlaya","Isoëtes","Picea","Alnus","Stachys-type","Rumex acetosa-type","Achillea-type","Rumex acetosella-type","Myrtus","Ostrya/Carpinus orientalis-type","Corylus","Plantago lanceolata-type","Potamogeton-type","Coniochaeta","Fraxinus angustifolia subsp. oxycarpa-type","Artemisia","Phillyrea","Urtica dioica-type","Quercus pubescens-type","Erica-type","Dinoflagellata","Quercus suber-type","Typha/Sparganium-type","Poaceae (Cerealia)","Botryococcus","Cyperaceae","Tamarix","Olea","Amaranthaceae","Myriophyllum spicatum","Quercus ilex-type","Pistacia","Juniperus-type","Poaceae","Pinus","Ceratophyllum","Lycopodium spike","Lycopodium tablets","Euphorbia","Prunus-type","Vitis","Ephedra","Lamiaceae","Caryophyllaceae undiff.","Styrax","Carduus-type","Phlomis","Ceratonia","Cheilanthes","Anthoceros laevis","Gelasinospora","Selaginella denticulata","Thalictrum","Ulmus","Ruppia","Teucrium","Pteridophyta (monolete) undiff.","Helianthemum","Genista-type","Cistus","Spirogyra","Citrus","Acer","Rosa","Echium","Glaucium","Veronica-type","Arbutus","Arctium","Mercurialis annua","Podospora-type","Eryngium","Plantago coronopus-type","Carthamus-type","Liliaceae undiff.","Zygnema-type","Hypericum","Asphodelus albus-type","Filago-type","Cercophora-type","Mentha-type","Convolvulus-type","Acacia","Vitex","Cannabis","Matthiola-type","Anogramma leptophylla","Allium","Fabaceae undiff.","Callitriche","Castanea","Rubus","Utricularia","Eucalyptus","Buxus","Ranunculus aquatilis","Abies","Geranium","Urtica pilulifera-type","Scrophulariaceae","Populus","Centaurea cyanus-type","Sinapis-type","Pteridium aquilinum","Platanus","Plantago major-type","Galium-type","Centaurea nigra-type","Falcaria-type","Tetraëdron","Ficus carica","Theligonum cynocrambe","Pteridophyta (trilete) undiff.","Scilla-type","Celtis","Tilia","Asplenium-type","Chamaerops","Trifolium repens-type","Sanguisorba minor-type","Papaver","Verbascum-type","Juglans","Asparagus","Colchicum","Sambucus","Polypodium","Spiniferites","Ophioglossum lusitanicum","Delitschia","Fagus","Apiaceae undiff.","Euphrasia","Vicia-type","Pediastrum","Filipendula","Lavandula-type","Taxus","Sorbus","Linum","Campanula-type","Gentianaceae","Alisma","Senecio-type","Cornus sanguinea","Knautia","Ornithogalum-type","Lavatera","Equisetum","Dioscorea","Crocus","Carpinus betulus","Valeriana","Thymelaeaceae","Cyperus-type","Humulus","Astragalus-type","Apium","Paronychia-type","Silene dioica-type","Ornithopus","Neurospora","Pseudoschizaea","Morus","Rosaceae","Primula clusiana-type","Solanum dulcamara","Linum catharticum-type","Anthoceros punctatus","Coelastrum reticulatum","Limonium","Fraxinus ornus-type","Reseda","Chaerophyllum temulum-type","Daucus","Carlina","Herniaria","Odontites-type","Ustulina deusta","Smilax","Centaurium","Cynoglossum officinale-type","Corydalis","Potentilla-type","Solanum nigrum-type","Lygeum spartum","Dryopteris filix-mas-type","Mougeotia","Spergula-type","Silene vulgaris-type","Foraminifera","Lysimachia vulgaris-type","Lythrum portula","Peucedanum-type","Cuscuta","Juncaceae","Corrigiola litoralis","Cladium mariscus","Nymphaea","Cerastium-type","Riccia","Oenanthe","Listera-type","Hippophaë","Malva-type","Myriophyllum alterniflorum","Hedera helix","Scutellaria-type","Cyclamen hederifolium","Borago","Persicaria maculosa-type","Radiola linoides","Iris pseudacorus-type","Centranthus","Lythrum","Arceuthobium oxycedri","Trifolium pratense-type","Polystichum","Pimpinella major-type","Scabiosa","Valerianella","Osmunda"
-62,NA,NA,0,"1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","4","4","4","4","5","6","7","7","8","9","11","11","12","13","14","15","22","26","27","30","37","38","56","63","124","158","493","62545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-45,NA,NA,10,"1","2","1","","","2","","","1","","2","10","15","4","3","4","","3","","5","3","3","2","5","","5","1","13","1","1","5","2","1","","11","20","9","11","","11","16","19","5","30","9","111","30","61","43","57","98","249","530","62545","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","5","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-29,NA,NA,20,"1","3","","4","","8","","1","23","","5","13","6","","","2","1","5","","4","11","5","6","1","6","1","","11","1","16","4","13","4","4","21","20","9","11","11","10","23","26","3","20","17","151","53","45","36","48","49","370","1415","62545","1","","4","","5","1","","2","","","","7","3","","2","2","2","1","1","1","6","8","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","3","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-12,NA,NA,30,"1","2","4","1","","5","3","","5","","5","11","6","","3","2","","3","","6","12","6","4","9","3","12","1","19","1","1","2","2","2","8","15","23","15","6","10","20","41","37","13","21","4","179","47","53","47","40","45","230","614","62545","","","","","1","","3","1","3","","","1","","","3","2","","3","","","4","10","","","","","","","8","2","","","1","2","1","","","","1","","10","","1","1","1","1","1","1","1","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,NA,NA,40,"1","","4","","1","3","","3","3","","1","17","13","4","3","","","4","","11","6","8","","8","","10","2","17","","3","1","4","","7","9","17","8","9","7","12","27","34","4","21","11","226","57","49","40","59","52","253","723","62545","2","","2","","1","1","1","2","","","","","","1","","1","","1","4","","1","13","","","","2","","","5","","","","","","","","","","1","1","","","1","","","","","1","","","","1","1","1","1","1","1","1","2","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21,NA,NA,50,"1","4","","","","","1","","4","","2","11","7","","","","","3","","10","9","6","2","4","2","5","3","11","1","","2","4","2","6","10","25","3","5","11","5","39","31","13","28","8","209","58","52","29","68","73","264","482","62545","2","","7","2","1","1","2","","","","","","","","5","3","","5","","","1","6","","1","","","","","3","","","1","","1","1","","","","","1","1","","","","","1","","","","","","","","","1","","1","","","2","2","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37,NA,NA,60,"1","1","2","","","5","2","","6","","4","12","11","","","","","1","","5","5","5","2","4","2","5","3","19","2","","3","11","2","8","2","13","9","5","16","8","13","31","5","19","8","205","65","53","28","79","107","182","693","62545","","","","","3","1","","3","","","","1","","1","","1","1","2","3","1","","2","","","","","","1","1","","","","","","","","1","","","1","1","","","","1","1","","","","","","","","","","","","1","","","1","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54,NA,NA,70,"1","4","","","","5","1","8","15","3","6","11","2","","","","","13","","6","11","7","","1","5","14","","31","3","13","2","9","8","6","4","21","14","12","11","15","25","30","6","30","9","304","21","49","15","53","60","275","630","62545","","","6","","1","1","","","","","","3","","2","5","","","","","8","5","10","7","","","","","4","","2","","","","3","","1","4","","5","1","4","1","","","","","1","","","","","","","","","","","","","2","1","","1","1","","","","","1","","","1","1","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
71,NA,NA,80,"1","3","4","","","3","1","","2","","1","4","10","","1","","","2","2","","1","8","3","2","3","5","2","11","","2","1","4","3","1","7","6","1","14","5","24","12","31","10","19","5","264","63","43","23","49","132","99","601","62545","","","3","","6","3","2","1","","","1","1","","1","","5","1","4","4","","","7","","","","","","","","","1","","","2","2","","","1","","","3","","1","","1","","","1","","","","","1","","","","2","","","","","","1","","2","2","","","","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
87,NA,NA,90,"1","1","5","3","2","5","","1","3","","8","12","16","1","3","","1","11","","11","2","3","3","12","4","5","3","21","","1","3","6","1","5","12","13","","4","6","33","27","61","","36","8","691","45","53","28","94","25","27","526","62545","1","","","","1","3","","1","","","","","","3","","","1","1","1","","","8","","","","","","","","","","","","2","","","","","2","","2","","1","","","","","","","","","1","","","","","1","","","","2","2","2","","","","","3","1","","","","","","2","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
120,NA,NA,110,"1","","2","1","1","4","","","12","1","","34","4","","","","2","19","","5","6","4","2","4","2","","","44","","1","1","6","1","","12","33","10","3","2","13","35","67","6","35","9","57","57","31","35","60","21","192","861","62545","","","4","2","4","1","","2","","","","2","","7","1","","","2","2","1","2","27","","","","","","","2","1","","","","2","","","","","3","","11","2","1","","","","","","","1","","","","","","","","2","","","","","3","1","","3","","3","1","","","","","","","","","","","","","","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
137,NA,NA,120,"1","","3","2","","2","1","1","50","2","","30","7","6","","","","16","","","10","4","1","2","1","2","","12","6","31","","6","1","4","7","92","13","4","4","5","38","42","1","38","7","","47","32","33","34","7","605","403","62545","2","","1","","1","","1","2","","1","","1","","2","","","","4","","3","2","40","","","","","","1","1","","5","","","1","","","2","2","1","","8","16","1","1","","3","","","","3","","","1","","","","","5","","1","","","1","","","1","","","","","1","3","","","","1","","","","2","","","1","","","","","1","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
153,NA,NA,130,"1","1","2","7","1","1","5","","12","","3","17","5","1","2","2","1","4","","10","8","18","4","14","","1","3","12","","1","3","15","","","6","29","84","2","7","10","52","38","5","33","4","","59","83","36","52","9","940","580","62545","","","","","6","","","1","","","","1","","1","","","","2","1","1","","13","","","","1","","","1","","1","","","","1","","","","4","","4","4","","","","","","","1","","2","","","","","","","2","","","2","","2","","1","1","","1","","","","","","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
170,NA,NA,140,"1","1","5","2","1","1","","","7","","","10","9","4","1","1","","1","","3","11","2","2","2","1","2","","","","1","1","10","8","5","31","33","48","4","","5","34","47","7","47","4","1","159","24","33","22","8","566","507","62545","","","1","","2","","","","","","","","","","","2","","","2","1","","7","","","","","","","","1","","1","","1","","","","","1","","11","","1","","","1","1","1","","","2","1","","","","","1","3","","","","","5","","","1","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
213,NA,NA,150,"1","1","2","3","1","3","2","","12","3","1","9","12","5","","1","","8","","4","13","5","4","7","","2","1","3","2","","2","9","5","4","25","37","34","6","1","5","38","58","3","34","","","139","34","37","37","7","783","614","62545","","","4","","2","","","","","","","","","","","2","","1","","1","","9","","","","","","","","2","1","1","","","2","","","","","","7","1","","","","","","","","","1","","","","","","","3","","1","","","1","","1","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
259,NA,NA,160,"1","1","2","1","3","14","","","2","","1","12","7","1","","","","5","","2","5","4","4","13","1","4","1","6","4","","","12","6","8","30","32","81","4","3","2","33","56","3","27","5","","131","27","64","32","8","572","584","62545","","1","","","2","","","","","","","","","2","","","","6","","","","4","","","","","","2","","","1","","","1","2","","1","","1","","3","2","","","","","","","","1","","","","2","","","","4","","","1","","1","","","","","","","","","","","1","","","","","","3","","1","","","","","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
306,NA,NA,170,"1","","4","3","","8","","","14","1","1","7","5","3","","","","10","","3","12","10","4","8","1","3","","6","4","8","7","8","11","12","11","26","35","17","5","8","236","72","2","31","8","","98","67","37","31","11","699","633","62545","","","2","","1","1","","1","","","","","","","1","1","3","4","","3","10","7","13","","","","","","2","","","1","","","","","1","3","1","","4","2","2","1","","","","1","","","","","1","","","","","9","","","1","","1","","2","","","","","","1","","","","","","","","2","2","","","","","1","","","","","","","","1","","","","1","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
352,NA,NA,180,"1","2","1","2","1","6","","","4","2","1","10","6","6","","","","8","","3","15","6","6","7","","2","2","9","2","","5","5","2","8","24","41","71","4","9","3","105","49","7","31","10","","136","24","44","33","11","655","880","62545","","","1","","3","","","3","","","","","","","","","","3","","3","2","5","","1","","","","","3","1","1","","","","1","","","","1","","","1","3","","","","","1","","","","","","","","","1","1","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
398,NA,NA,190,"1","1","","","","4","","","8","1","","9","6","4","","","1","","","4","14","4","2","9","","","","5","2","","3","10","5","1","22","33","40","5","1","4","139","72","1","33","13","","122","46","44","56","5","1077","586","62545","","","","","3","2","","3","","","","","","2","","","","2","","","","4","","","","","","2","2","1","1","","","","1","","1","","3","","2","3","1","","","","","","","","","","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","","","2","","","1","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
490,NA,NA,210,"1","2","","","","3","","1","3","5","","12","28","1","","2","","2","","5","18","2","5","6","1","","","17","3","","6","7","2","16","28","31","58","13","2","6","42","44","1","27","12","","69","61","40","53","6","124","511","62545","","1","","","3","1","2","","1","","","","","","2","","","2","","1","8","6","","","","1","","","1","1","1","","3","1","","","3","","","1","4","1","3","","","3","","","","2","1","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
537,NA,NA,220,"1","1","3","","2","7","","","1","","","6","7","9","","3","","2","","1","38","3","3","7","","2","1","5","8","","7","4","7","4","12","44","85","1","8","9","126","43","5","33","1","1","73","66","22","28","11","752","702","62545","","1","2","","2","","","","","1","","1","","3","1","","","6","","4","19","6","","","1","6","","","3","3","1","","","","1","","10","1","2","1","","","","1","","1","2","1","","2","","1","","","","","","4","","","","","3","","","","2","","","","","","","","","1","","","","","","","","","","","","3","","","4","","","","","","2","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
583,NA,NA,230,"1","","6","","","8","2","","2","","2","13","15","","","","","4","","11","14","2","","3","3","2","","6","","1","3","4","5","9","29","37","118","11","","7","46","32","9","24","3","","105","57","38","43","1","","530","62545","","","","1","3","","2","","6","","","","","","3","","","5","","","7","6","","","","","","","2","","","","","","","","","","2","","","2","","","","","","","","3","","1","","","","","","","","","1","","1","","","","","","","","","","1","1","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
629,NA,NA,240,"1","4","7","","","4","2","","4","4","","5","16","","","2","","1","","4","15","2","6","5","1","3","1","17","1","","4","8","6","9","29","29","127","7","1","5","50","45","3","27","7","1","115","63","26","27","6","","566","62545","","","1","1","1","","1","","3","","","","","","2","4","","3","","1","4","12","","","","","","","3","","1","","","","","","","4","1","","6","","2","","","","","","1","","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
675,NA,NA,250,"1","1","6","","","2","","1","4","2","","5","25","","","6","","","","2","22","1","2","1","","","1","6","","","1","4","4","3","29","53","12","7","","4","97","30","3","5","8","","105","19","36","81","4","307","402","62545","","2","","","","","","","","","","1","","","1","2","","11","","1","7","10","","","","","","","6","","","","","","","","1","","3","1","","","1","","","","","","","","","","","4","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
721,NA,NA,260,"1","","5","1","","8","","","1","","","5","17","","","3","","","","5","14","4","1","6","1","3","","5","6","","5","8","1","8","33","30","58","15","5","2","100","40","5","39","7","","134","66","16","27","6","","505","62545","","","","2","3","2","4","","1","","","","","","3","1","","5","","1","5","4","","","","","","","2","","","","","","","","","","","","3","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
767,NA,NA,270,"1","3","6","4","","9","","2","2","","3","4","3","11","","","1","2","","1","26","4","2","9","2","2","","5","2","3","5","19","7","5","14","43","40","13","","9","582","61","5","36","7","","67","21","19","39","8","278","814","62545","","","5","","4","1","","1","","","","","","","","1","1","5","","","42","11","","","","3","","","","","","","","2","2","1","2","","","1","8","2","","","2","","","1","","2","1","","","","","","","1","","","2","1","1","","1","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","1","","","","2","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
814,NA,NA,280,"1","3","","","","5","","","","","","5","16","","","1","","1","","9","14","2","1","3","","5","3","","2","","4","9","4","8","37","43","3","8","1","1","100","20","4","32","5","2","125","48","14","37","10","100","521","62545","","","","","2","1","1","1","2","","","","","","3","","","4","","1","8","11","","","","","","","","","","","","","","1","","","","","2","","1","","","2","","2","","","","","","","5","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
860,NA,NA,290,"1","4","4","","","12","5","","","","","5","11","","","2","","","","4","12","2","1","6","1","5","1","2","","","1","7","6","18","24","41","58","21","3","3","69","32","8","22","5","5","93","54","30","23","8","","343","62545","","","","","2","","1","1","7","","","","","","1","","","2","","1","12","12","","","","","","","8","","","2","","1","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
952,NA,NA,310,"1","","4","1","","9","","","2","","","3","6","4","","","","2","","5","16","2","","4","1","1","1","11","4","","10","5","7","1","12","53","5","19","","6","532","49","10","42","4","","108","77","19","20","6","29","441","62545","","","","1","4","","","","","","","","","","","1","","2","","","1","10","","","","","","","1","3","","","","","1","","","","","","","","2","","","","1","2","","1","","2","","","","","","1","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","5","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
998,NA,NA,320,"1","1","10","2","","9","","","1","1","1","10","4","1","1","","","2","","4","12","1","3","5","","3","1","8","3","","5","7","1","","13","23","7","27","","5","110","46","6","39","8","1","70","49","12","50","2","114","757","62545","","","1","","1","","","1","2","","","2","","","3","1","","","","1","36","7","","1","1","1","","","5","6","","","1","","1","","","3","2","4","3","1","","","","1","","","","","","4","","","","","","","","2","","4","2","","1","","","","","","","","","","","4","","","","1","","","1","","","","","","","","","","","","","","17","","","","1","","","1","7","3","","","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1045,NA,NA,330,"1","2","12","","","11","","","3","","1","14","11","","","1","","1","","3","14","4","2","2","1","2","3","7","","","6","8","7","1","21","23","39","18","4","5","100","52","6","35","7","1","78","42","15","70","7","206","408","62545","1","3","","","","","","1","3","","","","","","4","1","","4","","","6","13","","","","","","","1","1","","","","1","","","2","","1","1","3","2","","1","","1","","","","2","","","","4","","","","","","","","","2","","1","2","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","3","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1091,NA,NA,340,"1","1","4","8","1","7","1","","2","4","4","5","6","6","","2","","2","","7","14","1","1","11","3","1","2","8","1","1","11","11","7","","23","29","83","20","2","3","244","48","16","32","","3","98","76","12","40","6","165","404","62545","","4","2","","","","","2","","","","2","","","","","","7","1","","","5","","","","","","","1","1","","","","","","","","","1","","2","","1","","","1","","1","","","","","","","","","","3","","2","","","","1","1","2","","","","","","","","","1","","","","","3","","","","","","","","","","","","","","","","","4","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114,NA,NA,350,"1","1","9","3","1","11","","","","","2","2","5","9","","","1","6","","6","26","4","1","6","1","3","4","","6","1","5","8","3","8","21","35","5","27","13","5","336","37","7","21","9","9","129","56","22","25","4","11","411","62545","","","","1","2","","","1","","","","","","","","","","2","","1","1","10","","","","","","","1","1","2","","","1","","","","","","","","1","1","","","","","","","","","1","","1","","","1","4","","1","","","1","","1","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","2","","","","1","","1","","3","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1132,NA,NA,360,"1","","6","6","1","9","","","8","","1","4","10","9","","","","1","","6","20","4","3","10","","2","4","9","1","1","4","15","8","","10","64","7","15","8","4","177","32","21","24","9","8","90","40","25","28","4","39","604","62545","","3","","","2","","","","","","","","","","1","2","","6","","2","","14","","","","","","","","","1","","","","1","","","","1","","1","","1","","","2","","1","","","","","","","","","","2","","","","","","","2","2","","","","1","","","","","","","","","","3","","","","","1","","","","","","","","1","","","","2","","5","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1150,NA,NA,370,"1","4","12","1","","4","4","","1","2","1","1","7","1","","","","","","5","36","6","","7","1","3","5","4","7","2","13","13","5","5","30","31","35","15","2","5","100","22","8","37","4","11","156","40","14","51","7","9","349","62545","","","","1","3","1","","","2","","","1","","","","","","4","","1","32","9","","","","","","","2","11","","2","","","","","3","2","2","","1","1","","","","","","","","","","5","","","","","","","","1","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","","","","6","","","","","","","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1168,NA,NA,380,"1","1","3","2","3","3","","","1","","7","3","11","3","","5","","","","2","14","1","","9","2","3","2","12","2","","11","10","6","1","21","45","38","17","2","3","316","45","8","26","3","1","125","59","27","27","5","9","385","62545","","4","1","1","1","","","","","","","3","","","2","1","","4","","1","","12","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","2","","1","","","3","","1","3","","","","","","","","","","","","","","4","","1","","","","","","","","","","","1","","","","3","","","","","","","2","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1172,NA,NA,382,"1","1","2","","","10","1","","3","","1","8","4","","","","","1","","7","","","3","9","5","2","5","15","12","","3","10","11","","37","25","31","29","8","1","796","28","22","34","5","9","128","48","36","30","5","","245","62545","","","","","","","","","","","","","","","","","","","1","1","","6","4","","","","","","","1","","1","1","","","","","6","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","1","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
