"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Salix","Ranunculus acris-type","Salsola-type","Linaria","Aster-type","Plantago maritima-type","Sedum-type","Sporormiella","Glomus","Betula","Cichorioideae","Brassicaceae","Lotus","Fumaria","Saxifraga rotundifolia","Orlaya","Isoëtes","Picea","Alnus","Stachys-type","Rumex acetosa-type","Achillea-type","Rumex acetosella-type","Myrtus","Ostrya/Carpinus orientalis-type","Corylus","Plantago lanceolata-type","Potamogeton-type","Coniochaeta","Fraxinus angustifolia subsp. oxycarpa-type","Artemisia","Phillyrea","Urtica dioica-type","Quercus pubescens-type","Erica-type","Dinoflagellata","Quercus suber-type","Typha/Sparganium-type","Poaceae (Cerealia)","Botryococcus","Cyperaceae","Tamarix","Olea","Amaranthaceae","Myriophyllum spicatum","Quercus ilex-type","Pistacia","Juniperus-type","Poaceae","Pinus","Ceratophyllum","Lycopodium spike","Lycopodium tablets","Euphorbia","Prunus-type","Vitis","Ephedra","Lamiaceae","Caryophyllaceae undiff.","Styrax","Carduus-type","Phlomis","Ceratonia","Cheilanthes","Anthoceros laevis","Gelasinospora","Selaginella denticulata","Thalictrum","Ulmus","Ruppia","Teucrium","Pteridophyta (monolete) undiff.","Helianthemum","Genista-type","Cistus","Spirogyra","Citrus","Acer","Rosa","Echium","Glaucium","Veronica-type","Arbutus","Arctium","Mercurialis annua","Podospora-type","Eryngium","Plantago coronopus-type","Carthamus-type","Liliaceae undiff.","Zygnema-type","Hypericum","Asphodelus albus-type","Filago-type","Cercophora-type","Mentha-type","Convolvulus-type","Acacia","Vitex","Cannabis","Matthiola-type","Anogramma leptophylla","Allium","Fabaceae undiff.","Callitriche","Castanea","Rubus","Utricularia","Eucalyptus","Buxus","Ranunculus aquatilis","Abies","Geranium","Urtica pilulifera-type","Scrophulariaceae","Populus","Centaurea cyanus-type","Sinapis-type","Pteridium aquilinum","Platanus","Plantago major-type","Galium-type","Centaurea nigra-type","Falcaria-type","Tetraëdron","Ficus carica","Theligonum cynocrambe","Pteridophyta (trilete) undiff.","Scilla-type","Celtis","Tilia","Asplenium-type","Chamaerops","Trifolium repens-type","Sanguisorba minor-type","Papaver","Verbascum-type","Juglans","Asparagus","Colchicum","Sambucus","Polypodium","Spiniferites","Ophioglossum lusitanicum","Delitschia","Fagus","Apiaceae undiff.","Euphrasia","Vicia-type","Pediastrum","Filipendula","Lavandula-type","Taxus","Sorbus","Linum","Campanula-type","Gentianaceae","Alisma","Senecio-type","Cornus sanguinea","Knautia","Ornithogalum-type","Lavatera","Equisetum","Dioscorea","Crocus","Carpinus betulus","Valeriana","Thymelaeaceae","Cyperus-type","Humulus","Astragalus-type","Apium","Paronychia-type","Silene dioica-type","Ornithopus","Neurospora","Pseudoschizaea","Morus","Rosaceae","Primula clusiana-type","Solanum dulcamara","Linum catharticum-type","Anthoceros punctatus","Coelastrum reticulatum","Limonium","Fraxinus ornus-type","Reseda","Chaerophyllum temulum-type","Daucus","Carlina","Herniaria","Odontites-type","Ustulina deusta","Smilax","Centaurium","Cynoglossum officinale-type","Corydalis","Potentilla-type","Solanum nigrum-type","Lygeum spartum","Dryopteris filix-mas-type","Mougeotia","Spergula-type","Silene vulgaris-type","Foraminifera","Lysimachia vulgaris-type","Lythrum portula","Peucedanum-type","Cuscuta","Juncaceae","Corrigiola litoralis","Cladium mariscus","Nymphaea","Cerastium-type","Riccia","Oenanthe","Listera-type","Hippophaë","Malva-type","Myriophyllum alterniflorum","Hedera helix","Scutellaria-type","Cyclamen hederifolium","Borago","Persicaria maculosa-type","Radiola linoides","Iris pseudacorus-type","Centranthus","Lythrum","Arceuthobium oxycedri","Trifolium pratense-type","Polystichum","Pimpinella major-type","Scabiosa","Valerianella","Osmunda"
7726,NA,NA,740,"1","","9","","1","","","","5","","1","1","","1","","2","","5","","2","","","1","","","2","10","2","27","13","4","1","","3","11","301","","","15","8","40","30","1","","1","1","5","11","12","63","13","12","669","62545","","","","","1","","","","1","","","1","","1","8","3","","","4","","","8","","","","","","","","","","","1","","","","","","","","7","4","3","","","1","","","","","","1","","1","1","","","","","","","","2","","","","","","","","","","","","","","","2","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7739,NA,NA,741,"1","","5","","1","1","","1","7","","1","2","3","","","","","","","5","10","1","1","1","","","4","","17","1","3","","","","4","315","","4","8","3","48","19","1","","1","2","9","24","6","72","13","","428","62545","","1","","1","","","","","","","","7","","","","1","","","6","","","2","","1","1","","","","","","","","2","","","","","","","","5","1","1","","","","","","","2","","","","","1","","","7","","","","1","1","","","3","","","2","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","4",""
7747,NA,NA,742,"1","1","","","","6","","","10","","2","","1","4","","","","1","","3","1","","","","","","13","2","8","","1","2","2","","9","306","","","4","2","100","34","","","2","2","8","29","15","123","5","","683","62545","","1","","","","","","","","","","4","","","","","","","","","","1","","","","","","","","","","","","","","","1","","1","","7","","","","","","","","1","","","","","","","","","13","","","","","1","","","","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7754,NA,NA,743,"1","","4","","","3","","","2","","","3","3","3","","","1","","","3","5","2","","1","","2","5","1","5","1","8","2","","2","7","225","","3","1","2","31","71","","1","","","4","38","31","156","2","","562","62545","","1","","","","","","","","","","3","","1","","3","","","","","","6","","","1","","","","","","","","1","3","","","","10","","","4","","","","","","","2","1","1","3","","","","","","","6","","","","2","2","","","3","","","","","","","","","2","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7762,NA,NA,744,"1","","1","1","","5","","3","18","","1","3","3","","","2","","","1","","2","1","6","1","","1","1","2","","9","1","","","","3","335","","1","5","1","12","40","1","","","","7","20","5","20","8","","289","62545","","","","","","","","","","","","4","","","","1","","","","","","6","","","","","","","","","1","","","","","","","","","","112","5","2","","","","","","1","","","","","","","","","2","","","","","","","","3","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7770,NA,NA,745,"1","","","","","8","","","14","","","4","","1","","","","2","","","3","","3","3","","","3","","1","18","","","","","4","379","","1","11","","7","45","","","1","","","10","8","10","5","","281","62545","","","","","","","","","","","","8","","1","","","","1","","2","","5","","","","","","","","","","","","1","","","1","","","","57","1","6","","","","","","3","","","","","","","","","","","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
7777,NA,NA,746,"1","","","","1","8","","1","17","","","3","1","1","","2","","","","","5","","10","3","","","1","","","14","","2","","","4","372","","","6","","11","34","","1","4","1","1","18","3","13","8","","190","62545","","1","","","3","","","","","","","9","","","","2","","1","","6","","2","","","","","","","","","","","2","","","","","","","","39","","4","","","","","","3","","","","","","","","","3","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
7808,NA,NA,750,"1","","","","","10","","","94","","","4","3","","","","","","","","","","5","","","1","","","1","","","1","","","3","291","","","1","1","1","3","","","","","7","","6","19","","","171","62545","","","","","","","","","","","","15","3","","","","","","","","","4","","","","","","","","2","","","","","","","","","","","139","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7883,NA,NA,760,"1","","1","","","16","","","119","1","1","4","","","","","","","","1","","","","","","","","1","","4","","","","","2","337","","","","2","","","","","","","1","","1","12","2","","161","62545","","","","","","","","","","","","2","2","","","","","","1","16","1","2","","","","","","","","1","","","","","","","1","","","","107","10","","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6"
7959,NA,NA,770,"1","","","","","2","","","71","","","15","7","","","","","","","","","","10","","","","","","","","","","","","","324","","","","","","","","","1","","4","","18","15","","","1451","62545","","","","","","","","","","","","1","1","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","97","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
