"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Cyperaceae","Ranunculus","Plantago lanceolata-type","Arenaria","Castanea sativa","Centaurea nigra-type","Pinus sylvestris-type","Hedwigia","Alnus glutinosa","Calluna vulgaris","Spergula","Halimium/Tuberaria","Plantago subulata-type","Poaceae (Cerealia)","Betula pubescens","Quercus ilex-type","Erica umbellata","Pteridium aquilinum","Rumex acetosella-type","Quercus robur-type","Olea europaea","Erica australis","Pinus pinaster","Erica arborea-type","Poaceae","Cichorioideae","Plantago major-type","Corylus avellana","Galium-type","Cirsium-type","Phillyrea","Aster-type","Sedum-type","Chaerophyllum temulum","Caryophyllaceae (porate)","Genista-type","Silene foetida-type","Cytisus scoparius","Dianthus lusitanus-type","Armeria","Artemisia","Juniperus communis","Paronychia polygonifolia-type","Amaranthaceae","Sorbus aucuparia","Teucrium","Filago-type","Ilex aquifolium","Polypodiales (monolete)","Apiaceae","Hypericum perforatum-type","Anthemis-type","Peucedanum-type","Arnoseris minima","Vitis","Rhamnus","Fraxinus angustifolia","Veratrum album","Colchicum montanum","Eryngium","Echium","Arbutus unedo","Asphodelus albus","Daucus","Poterium sanguisorba","Salix","Jasione-type","Brassicaceae","Gentiana lutea/G. pneumonanthe","Narcissus bulbocodium","Micranthes stellaris-type","Polygonum aviculare-type","Ulmus","Conopodium majus","Potentilla","Scrophulariaceae","Jurinea","Cistus ladanifer-type","Physospermum cornubiense","Sphagnum","Asteroideae","Campanula","Lavandula","Rhinanthus/Veronica","Astrantia","Viola"
499.9,NA,NA,0,0.282,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,6,8,8,13,17,25,30,58,106,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
592.03,NA,NA,10,0.282,NA,2,2,NA,1,NA,1,14,3,4,2,4,NA,8,12,2,43,3,11,43,35,91,21,208,90,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684.15,NA,NA,20,0.282,1,1,2,NA,1,NA,1,9,4,NA,NA,6,NA,6,20,12,29,4,16,59,33,119,15,249,159,7,NA,NA,1,NA,1,NA,1,2,NA,3,NA,2,2,2,5,1,NA,1,1,1,1,1,1,2,2,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776.28,NA,NA,30,0.282,NA,1,NA,NA,1,NA,NA,5,NA,4,NA,6,NA,7,6,3,22,9,11,39,30,103,7,138,309,NA,NA,1,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242.81,NA,NA,40,0.282,1,1,4,NA,4,NA,2,6,8,5,NA,1,NA,4,210,9,8,7,12,174,4,47,3,213,253,2,NA,3,NA,NA,6,1,2,2,1,2,NA,NA,NA,1,6,NA,1,NA,NA,NA,NA,1,NA,2,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1709.34,NA,NA,50,0.282,1,12,1,1,5,NA,NA,4,6,3,1,1,NA,3,434,14,2,4,10,213,2,56,2,115,703,2,NA,2,1,NA,4,1,NA,NA,NA,7,NA,2,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2175.87,NA,NA,60,0.282,1,6,NA,NA,5,NA,1,3,5,7,NA,NA,NA,NA,310,5,3,4,9,153,NA,20,2,124,446,1,NA,NA,1,NA,1,1,1,1,NA,7,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2284.88,NA,NA,70,0.282,NA,25,NA,NA,NA,NA,1,4,7,6,NA,1,NA,NA,82,3,1,7,11,305,NA,20,10,240,313,4,1,1,NA,NA,3,NA,3,5,NA,7,NA,1,NA,NA,3,2,1,NA,1,NA,NA,NA,1,4,NA,2,16,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,2,1,1,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2393.89,NA,NA,80,0.282,1,20,NA,1,NA,NA,1,7,9,5,NA,NA,NA,1,59,5,NA,4,10,200,NA,14,6,84,151,3,NA,2,3,NA,1,NA,1,2,NA,10,NA,7,NA,NA,4,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2502.9,NA,NA,90,0.282,NA,19,NA,NA,2,NA,1,9,9,4,1,NA,1,4,235,11,1,5,14,243,2,21,10,161,335,2,NA,1,1,NA,3,NA,2,NA,NA,4,NA,1,1,NA,5,NA,NA,NA,1,NA,2,1,1,1,NA,2,9,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,1,2,1,NA,1,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
