depth,Basilicum-type,Polyscias fulva-type,Cyperaceae,Olea capensis,Jasminum,Gramineae,Zanthoxylum-type usambarense,Phoenix reclinata,Hagenia abyssinica,Ilex mitis,Dodonaea viscosa,Celtis,Minuartia-type filifolia,Linaceae,Anthocerotaceae,Rubiaceae,Triletes,Aloe-type,Myrica,Anthospermum,Rumex,Olea europaea ssp africana,Prunus africana,Macaranga,Ericaceae,Capparis fascicularis-type,Acacia groupe III,Monoletes,Rapanea melanophloeos,Umbelliferae,Rubia-type,Typha,Steganotaenia-type,Juniperus procera,Lactuceae,Chenopodiaceae,Tubuliflorae,Podocarpus,Plantago lanceolata-type,Hydrocotyle,Urticaceae,Myrtaceae,Papilionoideae,Trema-type orientalis,Uebelinia-type abyssinica,Lythrum,Nuxia/Dobera,Scabiosa-type,Alchemilla,Fleurya-type aestuans,Cruciferae,Schefflera myriantha-type,Euclea,Combretaceae,Plantago africana-type,Potamogeton thunbergii-type,Myrsine africana,Acalypha,Protea-type,Maytenus-type senegalensis,Tarenna-type graveolens,Cyphostemma-type,Solanum,Clematis-type,Pilea-type bambuseti,Carduus-type,Suaeda-type monoica,Polygonum senegalense-type,Sebaea-type brachyphylla,Indetermines,Pterocephalus-type frutescens,Manilkara-type butugi,Plantago coronopus-type,Hebenstreitia dentata,Allophylus,Millettia-type ferruginea,Ormocarpum-type trichocarpum,Amaranthaceae/Chenopodiaceae,Sapium-type ellipticum,Ranunculus oreophytus-type,Mimusops-type kummel,Ricinus communis,Hallea-type rubrostipulata,Swertia usambarensis-type,Syzygium-type,Echinops,Galiniera coffeoides,Cerastium-type octandrum,Salix subserrata,Scrophulariaceae,Ximenia,Pappea-type capensis,Labiatae,Rosa abyssinica,Celosia-type trigyna,Erythrococca-type,Cussonia,Campanula-type,Asparagus-type buchaii,Maerua-type,Acacia groupe I,Leucas-type,Buddleia,Combretum-type aculeatum,Rhamnaceae,Corchorus-type fascicularis,Celastraceae/Hippocrateaceae,Croton-type,Combretum-type molle,Hypericum,Impatiens,Pavetta-type abyssinica,Vernonieae,Acanthus-type,Aerva-type lanata,Dombeya-type,Lannea-type,Ekebergia-type,Crassocephalum-type montuosum,Harungana,Monocotyledoneae,Anagallis-type,Artemisia,Ranunculus stagnalis-type,Achyranthes-type aspera,Ficus,Geranium,Commelina-type forskalaei,Gunnera perpensa,Liguliflorae,Rhus-type,Tapithus-type,Apodytes dimidiata,Stephania-type abyssinica,Teclea-type,Swertia-type kilimandscharica,Mimulopsis-type,Capparidaceae,Capparis tomentosa-type,Calpurnia-type aurea,Caryophyllaceae,Begonia,Polygonum plebeium-type,Polygala-type,Oldenlandia-type,Vangueria-type acutiloba,Lantana-type viburnoides,Stoebe kilimandscharica-type,Dipsacus-type pinnatifidus,Capitanya-type otostegioides,Mellera-type,Tribulus,Ephedra,Spiniluma-type oxyacantha,Thalictrum,Hypoestes-type,Brucea antidysenterica,Resedaceae,Cissus-type quadrangularis,Vernonia-type abyssinica,Pittosporum abyssinicum-type,Cassia-type italica,Borassus-type,Commiphora africana-type,Euphorbia,Gnidia-type chrysantha,Pupalia-type lappacea,Euphorbia hirta-type,Schefflera abyssinica-type,Vitaceae,Leonotis-type,Canthium gueinzii-type,Alchornea,Boscia-type,Gardenia-type ternifolia,Pterolobium stellatum,Ambrosieae,Spermacoce-type,Lythraceae,Crateva-type adansonii,Cerastium afromontanum-type,Clutia
0,1,1,17,9,1,35,1,1,23,5,5,1,4,1,5,6,10,1,12,4,12,1,2,2,75,1,1,88,1,4,2,1,1,19,7,2,18,13,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,1,1,24,9,,72,,,29,10,3,,1,,7,,8,,27,,15,3,2,,69,,,96,1,2,,3,,48,6,3,19,26,17,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5,1,,32,5,,55,,,25,16,5,1,,,4,,10,,19,6,35,2,2,,69,1,,71,,2,1,3,1,54,7,4,18,10,12,2,2,1,3,,,4,3,,,,3,,1,,3,2,4,1,1,1,2,1,1,1,2,1,1,1,3,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5,2,2,39,2,,70,,,44,6,6,4,,,5,3,27,,24,10,36,4,2,,73,,,114,,1,,2,,79,10,,23,35,22,,4,,3,,1,,2,1,1,2,,,2,,4,3,3,3,,2,,,,1,,1,,,,2,,,,,2,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.5,2,,27,6,1,64,,,41,11,4,1,,,4,,5,,18,6,33,14,,1,61,,,102,1,3,,2,,54,2,1,12,21,9,,2,,1,,,,3,,3,3,,,2,,1,2,3,,,2,,,1,1,,,,,,3,,,,1,,,,1,,,,1,,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.5,4,,33,5,,58,,,30,9,3,2,1,,7,,8,1,19,5,43,2,3,4,59,,,122,3,,,1,,67,5,1,11,19,5,2,2,,1,,,,2,,,2,,1,2,,4,,,2,,1,,,1,1,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.5,1,,30,6,,71,,1,25,6,2,1,,,9,1,6,,15,2,13,6,3,1,74,,1,133,,1,1,,,33,3,1,14,23,8,,2,,1,,,1,,1,1,,,,,,1,1,,,,,,,1,,,,,,,1,,,,,,,,2,,,,,,1,,,,1,2,,,,1,,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.5,1,,14,5,,64,,2,28,3,5,,,,8,,16,,14,11,18,9,1,1,78,,1,165,1,1,1,1,,18,9,,13,35,4,,2,,4,,1,,,,1,,,,3,,,1,5,1,,,,,1,,,,,,,,,,,3,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.5,1,2,11,,,71,,1,26,3,1,,,,5,1,10,,19,14,26,7,2,1,78,,,104,,2,1,,1,39,9,3,11,16,12,2,3,,1,,,,1,,3,,,,1,,1,,1,,2,,,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,1,,,1,,,,3,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.5,2,,31,3,,63,,,43,11,5,,1,,,,2,,46,1,18,7,9,,85,,1,50,,3,2,,,54,5,1,13,20,9,2,1,,3,,1,,2,,5,,,,4,,,,6,,1,,,,,1,,2,,,,2,1,,,,,,,,,,,1,,,1,,1,,3,,,,,4,,,,,,,,,,1,,1,,,2,,,,2,,3,,,,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
