Depth (cm),Acacia/Parkia,Alchornea,Alnus,Amaranthaceae/Chenopodiaceae,Artemisia (Africa),Balanites,Boraginaceae (Africa),Borreria,Boscia-type,Brassicaceae,Calligonum,Capparidaceae,Cassia-type,Celtis (Africa),Cleome,Combretaceae/Melastomataceae,Commiphora,Compositae Liguliflorae,Compositae Tubuliflorae,Corchorus,Cyperaceae (Africa),Ephedra fragilis-type,Euphorbia (Africa),Fern spores,Gramineae (Africa),Hypoestes type,Indeterminata/Varia,Indigofera-type,Iridaceae,Lannea,Liliaceae (Africa),Maerua-type,Malpighiaceae,Manilkara,Meliaceae,Monolete spores,Nyctaginaceae,Olea (Africa),Oleaceae (Africa),Papilionoideae,Phillyrea,Pinus,Polycarpon,Quercus pubescens-type,Rhizophora,Rhus (Africa),Rumex,Solanum (Africa),Tamarix (Africa),Tribulus,Trilete spores,Typha angustifolia-type,Uapaca,Umbelliferae
70,4,1,1,124,12,1,1,,1,,1,,3,2,1,7,,22,28,1,21,21,,9,105,1,12,2,1,1,1,3,1,1,,5,,1,1,2,1,28,,1,3,1,,,1,1,4,,,
80,2,2,,54,6,,,,,,1,,,1,,3,,7,4,,47,10,1,4,95,,8,,,,,,,,1,1,1,,,1,1,13,1,,,,1,,1,,3,,,
89.5,7,,,72,13,1,,1,1,1,10,1,,,,2,1,5,6,,45,44,,7,150,,7,,,,,1,,,1,5,,,,5,,25,1,,,,,1,,3,2,2,1,1
