"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Apiaceae","Potamogeton","Pteridium","Abies","Cyperaceae","Cichorioideae","Rumex","Juniperus-type","Pistacia","Humulus/Cannabis","Plantago lanceolata-type","Filipendula","Olea europaea","Ulmus/Zelkova","Amaranthaceae","Plantago","Phillyrea","Sanguisorba minor-type","Vitis vinifera","Poaceae (Cerealia-type)","Platanus orientalis","Sparganium-type","Juglans regia","Indeterminable (degraded)","Artemisia","Quercus (evergreen)","Brassicaceae","Poaceae","Vaccinium-type","Corylus","Alnus","Ostrya/Carpinus betulus-type","Fagus","Pediastrum","Pinus","Botryococcus","Quercus (deciduous)","Lycopodium spike","Tilia","Ephedra","Rubiaceae","Typha latifolia-type","Sorbus group","Polypodiaceae","Ranunculaceae","Caryophyllaceae","Asteroideae","Fraxinus excelsior-type","Centaurea","Fraxinus ornus","Polygonum aviculare-type","Salix","Urticaceae/Moraceae","Scrophulariaceae","Picea","Myriophyllum","Rosaceae","Loranthus europaeus","Melampyrum","Papaver rhoeas-type","Allium vineale-type","Ballota-type","Hedera","Cistus","Hippophaë rhamnoides","Thalictrum","Fabaceae","Solanaceae","Helianthemum","Plumbaginaceae","Liliaceae sensu lato","cf. Plantago","Indeterminable (immature)","Acer","Ranunculus lanuginosus-type","Mentha-type","Teucrium","Lemnoideae","Celtis","Buxus","Mercurialis","Hypericum perforatum-type","Taxus","Potentilla-type","Populus","Lycopodiella-type","Sambucus","cf. Pterocarya fraxinifolia","Unknown","Linum","Convolvulus arvensis-type","Asteraceae","Selaginella willdenowii","Blackstonia-type","Papaver argemone","Campanulaceae","Salvia-type","Euphorbia","Buglossoides arvensis","Genista group","Cornus","Trifolium","Spiniferites cruciformis","Dipsacus/Cephalaria","Anemone coronaria","Centranthus","Lythrum","Menyanthes trifoliata","Dipsacoideae","Echinops","Herniaria-type","Ligustrum-type","Polycnemum","Rumex aquaticus-type","Ceratonia siliqua","Valeriana","Sanguisorba officinalis","Urtica pilulifera","Adonis aestivalis-type","cf. Ranunculaceae","cf. Phillyrea","cf. Carya","Lamiaceae","Alchemilla group","Arum","Hedysarum","Lomelosia argentea-type","Rhinanthus group"
554,NA,NA,50.8,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,7,7,9,10,10,13,14,16,20,21,22,26,79,86,104,225,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,NA,NA,62.8,NA,NA,5,6,1,8,5,2,4,3,1,5,3,4,5,5,2,3,NA,3,9,8,6,9,18,6,15,9,26,16,19,29,17,30,114,126,279,156,59,1,1,1,1,1,1,2,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736,NA,NA,74.8,NA,NA,NA,15,NA,3,2,3,3,NA,1,2,NA,17,4,1,1,5,NA,1,5,1,3,10,6,7,9,2,17,9,10,15,13,25,75,176,129,152,49,NA,NA,NA,1,2,NA,2,2,3,3,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,NA,NA,86.8,1,NA,6,7,NA,1,NA,6,2,NA,1,2,NA,20,4,4,NA,7,NA,3,10,4,3,8,16,11,9,14,27,22,11,42,14,28,18,96,56,209,65,2,NA,1,1,NA,5,1,NA,4,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
917,NA,NA,98.8,NA,NA,5,16,1,3,2,1,2,NA,2,3,1,40,1,2,5,14,NA,1,23,4,10,3,31,7,4,13,25,16,2,9,13,19,55,69,104,219,66,NA,NA,2,2,NA,NA,2,1,6,2,2,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,NA,NA,110.8,NA,NA,1,9,NA,2,3,1,9,NA,3,5,NA,41,4,3,NA,8,4,1,22,4,4,7,12,5,9,3,40,10,17,8,19,17,18,45,79,207,60,NA,2,NA,NA,NA,NA,2,NA,3,4,3,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,NA,NA,122.8,NA,NA,2,14,1,1,NA,1,11,NA,1,1,NA,42,2,3,7,6,2,2,21,4,3,6,21,10,6,4,31,16,6,8,22,25,41,97,67,263,72,1,NA,1,NA,NA,3,NA,NA,4,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1190,NA,NA,134.8,NA,NA,NA,8,NA,NA,1,NA,NA,4,4,1,4,19,4,6,2,7,1,1,3,3,6,7,6,6,13,4,12,13,4,13,23,29,67,172,171,187,23,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,NA,NA,161.8,NA,2,6,17,NA,3,5,1,11,3,1,7,2,88,4,8,1,3,3,3,21,3,3,8,12,12,5,5,14,11,9,26,8,15,54,46,145,163,84,NA,NA,2,NA,8,2,1,1,10,1,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1502,NA,NA,173.8,NA,2,3,23,NA,2,4,2,18,1,3,7,3,77,3,4,5,24,3,NA,13,2,5,15,25,8,6,21,27,20,9,9,18,10,34,32,64,147,76,1,NA,NA,NA,NA,2,NA,NA,3,NA,1,NA,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
