"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cyperaceae","Picea","Plantago lanceolata-type","Potentilla","Betula pubescens","Corrigiola telephiifolia","Pteridium aquilinum","Drosera","Vitis","Ranunculus acris-type","Alnus glutinosa","Poaceae","Quercus ilex-type","Erica arborea-type","Quercus robur-type","Olea europaea","Lycopodium spike","Artemisia","Amaranthaceae","Corylus avellana","Galium-type","Sedum-type","Erica umbellata","Rumex acetosella-type","Platanus × acerifolia","Erica australis","Cichorioideae","Zea mays","Rumex acetosa-type","Micranthes stellaris-type","Plantago major-type","Fraxinus angustifolia","Paronychia polygonifolia-type","Halimium/Tuberaria","Peucedanum-type","Anthemis-type","Cytisus scoparius","Secale","Polypodiales (monolete)","Eucalyptus","Calluna vulgaris","Brassicaceae","Sambucus nigra","Saxifraga spathularis","Juniperus communis","Ulmus","Castanea sativa","Echium","Trifolium repens","Daucus","Arnoseris minima","Arenaria","Aster-type","Jasione-type","Solidago","Hedwigia","Senecio","Sparganium","Gentiana lutea/G. pneumonanthe","Montia fontana","Saxifraga granulata-type","Hypericum perforatum-type","Salix","Genista-type","Plantago subulata-type","Poaceae (Cerealia)","Poterium sanguisorba","Campanula","Phillyrea","Anagallis","Ornithopus","Carduus","Silene dioica-type","Sorbus aucuparia","Rubus","Silene foetida-type","Papaver rhoeas-type","Solanum nigrum-type","Cerastium","Aesculus","Boraginaceae","Spergula","Pedicularis sylvatica","Scleranthus annuus","Fabaceae","Caryophyllaceae (porate)","Lotus","Pistacia","Filago-type","Dianthus lusitanus-type","Apiaceae","Viburnum","Humulus lupulus","Herniaria-type","Juniperus","Polygonum aviculare-type","Carum verticillatum","Juglans","Ranunculus","Fagus sylvatica","Eryngium","Minuartia recurva","Armeria","Anogramma leptophylla","Angelica palustris-type","Torilis arvensis-type","Viola","Portulaca","Tilia","Hippophaë rhamnoides","Asphodelus albus","Asplenium","Frangula alnus","Colchicum montanum","Succisa","Gagea nevadensis","Athyrium filix-femina","Allium","Buxus sempervirens","Cistus ladanifer-type","Urtica","Thymelaeaceae","Cedrus","Narcissus pseudonarcissus-type","Taxus baccata","Hedera helix","Linaria-type","Sagina","Lamiaceae","Ephedra fragilis-type","Ambrosia","Anthriscus sylvestris","Marchantiophyta","Lavandula","Equisetum","Myrtus communis","Alchemilla","Vicia","Pinus sylvestris-type","Pinus pinaster","Mercurialis annua","Sphagnum","Helianthemum","Conopodium majus","Dryopteris filix-mas-type","Cannabis sativa","Aquilegia","Mentha","Cirsium-type","Plantago coronopus","Anemone","Scirpus-type","Polypodium","Ephedra distachya-type","Reseda/Sesamoides","Veronica","Centaurea nigra-type","Symphytum-type","Rosaceae","Valerianella","Chaerophyllum temulum","Vaccinium","Physospermum cornubiense","Dryopteris dilatata","Solanum dulcamara","Narcissus bulbocodium","Thalictrum","Cuscuta","Sparganium emersum-type","Scilla","Sanicula europaea","Rumex obtusifolius-type"
-24.64,NA,NA,1.5,"11329, 1","2","1","1","1","1","1","1","1","2","2","2","2","8","8","11","19","20","1440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-21.19,NA,NA,2,"11329, 1","2","1","","1","","","","","1","","","8","12","3","29","17","18","1170","1","1","1","1","1","1","2","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-17.74,NA,NA,2.5,"11329, 1","2","1","1","1","2","2","","5","2","1","","1","31","10","44","16","22","1212","","1","","","","2","1","","3","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-10.83,NA,NA,3.5,"11329, 1","2","4","","2","2","","1","","2","","1","4","61","9","172","8","46","794","","","","","","4","3","2","3","1","","","","","","","","","","1","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-7.38,NA,NA,4,"11329, 1","2","5","","3","2","2","","4","1","","2","3","56","6","211","13","62","620","1","1","","","","","2","","7","","","1","","","1","","1","","3","","2","1","","1","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-3.93,NA,NA,4.5,"11329, 1","2","5","","7","","2","","2","2","","","4","69","13","171","21","67","342","1","1","","","","1","2","","9","","2","2","","","","","1","","3","3","2","1","","1","","","3","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-0.48,NA,NA,5,"11329, 1","2","2","","1","5","1","","3","8","","","1","78","13","151","19","70","254","1","1","","","1","","3","","1","1","","1","","","","","","","3","","3","","2","","","","","3","","","1","1","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2.98,NA,NA,5.5,"11329, 1","2","2","","2","","3","","5","1","","1","1","75","5","110","24","44","393","2","2","","","","","2","","5","1","","2","","","","","1","","","","","","1","1","1","","","3","","1","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6.43,NA,NA,6,"11329, 1","2","","","5","2","","","2","4","","","2","106","1","161","13","60","496","","1","1","","","","5","","18","","","","","","1","","","","","","","","1","1","","","","5","","1","","","","1","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9.88,NA,NA,6.5,"11329, 1","2","2","","2","5","","","","1","","","","292","4","123","8","37","245","","1","","1","","","1","","9","","","2","","","1","","","","","","2","","","1","","","","1","","1","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13.33,NA,NA,7,"11329, 1","2","","","6","3","","","","","","","7","149","8","68","13","32","300","","","","1","","1","3","","2","3","","2","","","","","","1","1","","","1","2","1","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
