"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ulmus","Ranunculaceae","Fraxinus ornus","Abies","Vitis","Tamarix","Thalictrum","Scabiosa","Juglans","Poaceae (Cerealia)","Cedrus","Ephedra","Plantago","Phillyrea","Cistus","Fraxinus","Pistacia","Centaurea","Pinus","Carpinus orientalis","Helianthemum","Quercus (deciduous)","Rhamnus","Asteraceae","Juniperus","Amaranthaceae","Poaceae","Quercus (evergreen)","Artemisia","Olea","Cyperaceae","Caryophyllaceae","Rosaceae","Sarcopoterium","Ericaceae","Crataegus","Lamiaceae","Rhus","Rumex","Alnus","Boraginaceae","Apiaceae","Liliaceae","Brassicaceae","Polygonum","Urticaceae","Platanus","Populus","Nerium","Acer","Styrax","Ziziphus","Polygalaceae","Alisma","Lemna","Hydrocharis","Typha","Nuphar","Salix","Orobanchaceae","Cercis","Laurus"
3035,NA,NA,650,14,28,10,NA,11,NA,NA,NA,6,18,NA,NA,27,NA,NA,17,6,38,7,NA,NA,7,NA,21,3,8,71,60,6,6,35,18,NA,8,NA,NA,NA,1,NA,17,NA,NA,7,NA,NA,NA,NA,6,NA,4,4,NA,NA,NA,33,NA,11,NA,NA,NA,NA,NA
3042,NA,NA,655,16,32,7,NA,10,NA,NA,NA,11,19,NA,NA,31,NA,NA,13,1,38,11,NA,NA,4,NA,27,3,10,67,54,7,4,33,16,NA,9,NA,NA,NA,1,NA,16,NA,NA,14,NA,NA,NA,NA,3,NA,4,3,NA,NA,NA,38,NA,12,NA,NA,NA,NA,NA
3053,NA,NA,660,18,27,13,NA,12,NA,NA,NA,10,13,NA,NA,27,NA,NA,18,5,30,8,NA,NA,12,NA,17,7,7,72,45,7,NA,36,8,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,17,NA,NA,NA,NA,10,NA,NA,7,NA,7,NA,37,NA,21,NA,5,NA,NA,NA
3064,NA,NA,665,20,40,15,NA,8,NA,NA,NA,13,17,NA,NA,18,NA,NA,17,5,18,7,NA,NA,10,NA,13,7,10,63,63,5,NA,35,7,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,20,NA,NA,NA,NA,12,NA,NA,7,NA,10,NA,39,NA,28,NA,8,NA,NA,NA
3107,NA,NA,670,13,33,11,NA,11,NA,NA,NA,10,19,NA,NA,18,NA,NA,21,5,21,8,NA,NA,10,NA,23,6,8,52,68,6,3,39,15,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,18,NA,NA,NA,NA,8,NA,NA,10,NA,NA,NA,36,NA,25,NA,11,NA,NA,NA
3117,NA,NA,675,17,35,14,NA,8,NA,NA,NA,5,24,NA,NA,10,NA,NA,19,5,25,2,2,NA,15,NA,12,5,5,59,56,7,2,37,17,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,25,NA,NA,NA,3,8,NA,NA,7,NA,NA,NA,41,NA,24,NA,14,NA,NA,NA
3128,NA,NA,680,20,42,16,NA,13,NA,NA,NA,8,16,NA,NA,34,NA,NA,30,7,13,5,NA,NA,10,NA,18,7,7,52,52,10,5,43,13,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,15,NA,NA,NA,2,3,NA,3,8,NA,NA,NA,34,NA,28,NA,7,NA,NA,NA
3139,NA,NA,685,22,38,14,NA,9,NA,NA,NA,9,19,NA,NA,28,NA,NA,24,8,17,3,2,NA,8,NA,20,6,5,58,60,5,3,32,17,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,6,NA,2,NA,2,3,NA,5,6,NA,NA,NA,35,NA,20,NA,8,NA,NA,NA
3149,NA,NA,695,17,29,6,NA,10,NA,NA,NA,7,11,NA,NA,18,NA,NA,17,11,20,8,4,NA,6,NA,30,7,6,79,65,11,10,35,18,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,7,NA,NA,NA,NA,6,NA,3,4,NA,NA,NA,23,NA,13,NA,NA,NA,NA,NA
3160,NA,NA,705,5,12,5,NA,9,8,NA,4,6,8,NA,5,21,NA,NA,6,8,14,5,4,6,4,6,52,15,26,51,57,14,11,13,15,NA,NA,9,NA,NA,4,NA,9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3279,NA,NA,720,NA,11,NA,NA,15,7,12,NA,7,13,NA,NA,12,NA,NA,NA,12,16,21,4,NA,8,19,40,18,25,48,38,9,21,17,8,8,7,NA,NA,4,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,6,NA,NA,NA,4,6,NA
3456,NA,NA,735,NA,9,NA,NA,10,8,13,NA,6,15,NA,NA,10,NA,NA,NA,11,15,25,1,NA,7,15,42,20,21,44,49,10,19,15,7,8,10,NA,NA,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,7,NA,NA,NA,2,5,NA
