Charcoal,Spike tablets,Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Amaranthaceae undiff.,Hyphaene,Erica,Poaceae,Artemisia,Ephedra distachya-type,Tamarix,Campanula,Geranium,Silene-type,Convolvulus,Fabaceae,Anthemis-type,Asteraceae subf. Asteroideae-type,Centaurea-type,Asteraceae subf. Cichorioideae-type,Brassicaceae,Plantago-type,Ranunculus-type,Rumex,Viola-type,Capparis-Cadaba-type,Grewia-type,Mitracarpus,Acacia,Piliostigma,Celtis,Combretaceae,Rubiaceae,Sesbania-type,Cyperaceae,Typha latifolia-type,Typha/Sparganium-type,Myriophyllum,Pediastrum,Betula,Pinaceae,Quercus,Tilia-type,Botrychium,Equisetum,Pteridophyta (monolete) undiff.,Pteridophyta (trilete),Pteris-type,Anthoceros,Polypodiaceae undiff.,Indeterminable,Varia,Fungi undiff.,Chrysophyceae
1997,599,5811,15.5,,,,90,5,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,4,4,82,,0.5,,,1,,1,3,2,,,,,465,293
13345,1969,5908,17.5,,,,717,101,2,1,2,1,,,,1,9,,3,1,,,,,1,1,,,,,,1,,10,9,13,19,308,,6.5,2,,,,11,9,,,25,13,2,303,297
4046,578,6238,24.5,,,,131,11,,,3,,,,,,5,,3,,,,,,,,,,,1,,,,,1,1,61,66,,0.5,,,,1,3,4,4,,,1,1,,264
1740,145,6382,27.5,3,,,163,142,,3,1,,,,1,,7,,2,,,,,,,,,,,1,,,,50,,4,55,15,2,1,,,,,2,1,,,3,12,,,23
3436,1718,6521,30.5,,,16,148,1,,,2,,1,,,,3,,2,,1,,,,,,,,,,,,,2,6,1,12,21,,1,,1,1,,,3,5,,2,1,,,158
1564,247,6760,36.5,,,,44,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,3,,2,18,,,,,,,6,4,1,,1,,,,31
9178,706,6820,38.5,,,,278,32,,,3,1,1,,,,1,,,,,,,,,,,,,,,,3,1,6,,33,81,,0.5,,2,3,1,6,,5,,,5,,,227
13588,316,7198,51,,,,34,86,,,,,,,,,2,,1,,,,,,,,,,,,,,,,2,2,106,155,,0.5,,,,,15,6,,,,8,,,219
16033,1527,8104,81.5,,,,308,232,,,3,,,,,,6,,2,,,,,,,4,,,,,1,,,1,1,1,246,38,2,2,,,,,22,3,,,,9,1,4,44
3704,823,8213,85,,,1,23,129,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,2,,143,68,,,,,,,11,1,,,,3,,,80
3055,94,8531,97.5,,,,295,136,,4,,,1,,,,2,,1,1,,,,,1,,,,1,,,1,,7,2,2,60,3,,,,,,,8,4,,,1,1,1,,2
4296,1432,8613,101,,,2,168,7,,,3,1,1,,,,4,,2,,,,,,,,,,,,,,,,5,,156,64,,0.5,2,,,,47,1,6,1,,,,1,565
16338,778,8781,107.5,,,,179,2,,,11,3,2,,,1,,,,,,,,,,,,1,,,,,,,2,,39,54,,,,,,,21,6,3,,,1,,,71
13268,620,8845,110,,,,204,2,,,3,,,,,,3,1,4,,,,,1,,2,,1,,,,,,,9,,23,29,,1.5,,2,,,34,7,,,,1,,,116
990,90,8941,113.5,,,,271,101,,2,,,,1,,,2,1,6,,,,,,,,,,,1,,,,1,3,,46,31,,,,,,,11,,,,,8,1,,231
13013,1041,8974,114.75,,,,118,27,,,2,,,,,1,1,,1,,1,,,,,,,,,,,,,2,7,,71,32,,1,,,,,15,4,4,,1,,,,264
5236,1232,9082,119,4,,,388,331,,2,5,,,,,,20,,,,,2,1,,1,,,1,,,2,,,,6,2,559,19,,,,,,,12,3,,,5,,,,147
4589,956,9138,121.5,,1,,137,3,,,1,2,,,,,3,,2,,,,,,,1,3,,,,,,1,,10,,251,102,1,0.5,,1,,,36,5,4,1,,1,,,69
12216,1018,9237,126.5,,,1,99,11,,,,1,,,1,,2,,6,,,,,,,,,,,,,,,,5,,151,101,,,,1,,,15,5,6,,,,1,,72
7252,148,9294,130,1,,,131,58,,,,,,,,,2,,,,,,,,,,,,,1,,,,3,1,3,58,30,,,,,,,4,,,,,7,,,13
15930,1620,9363,135,,,,47,9,,,,3,,,,,,,1,,,,,,,,,,,,,,,,4,,111,140,,,,,,,17,1,,,,2,,,19
