"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Rumex","Ulmus","Lythrum","Filipendula","Olea","Persicaria lapathifolia","Fraxinus ornus","Betula","Cichorioideae","Thalictrum","Plantago","Juniperus","Poaceae (Cerealia-type)","Abies","Artemisia","Amaranthaceae","Asteroideae","Ostrya/Carpinus orientalis","Corylus","Nymphaea","Polygonaceae","Fagus","Alnus","Poaceae","Sparganium","Quercus (deciduous)","Salix","Cyperaceae","Pinus","Unknown (monolete)","Tilia","Ranunculaceae","Pistacia","Hedera","Myriophyllum alterniflorum","Rubiaceae","Quercus ilex-type","Carpinus betulus","Algae","Gloeotrichia","Platanus","Vitis","Acer","Brassicaceae","Fraxinus","Pediastrum","Juglans","Alisma","Buxus","Poterium","Fabaceae","Picea","Apiaceae","Typha","Lamiaceae","Rumex aquaticus","Lysimachia","Castanea","Urtica","Helianthemum","Calluna","Mougeotia","Mercurialis","Ephedra","Solanaceae","Centaurea","Fagopyrum tataricum","Boraginaceae","Rosaceae","Caryophyllaceae","Rhamnus","Scrophulariaceae","Secale","Asphodelus","Iridaceae","Cistaceae","Sambucus","Hydrocotyle","Utricularia","Euphorbiaceae","Nuphar","Primulaceae","Lotus corniculatus","Cedrus","Hippophaë","Persicaria amphibia","Saxifragaceae","Gentianaceae","Campanulaceae","Valerianoideae","Dipsacoideae","Potentilla","Sanguisorba"
374,NA,NA,35,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,5,5,6,7,8,10,13,13,17,41,55,77,114,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,NA,NA,45,NA,2,2,NA,NA,NA,NA,7,3,NA,NA,NA,NA,2,6,3,3,NA,11,3,2,NA,17,12,10,36,112,6,221,88,340,1,1,1,1,2,2,2,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,7,NA,1,1,2,NA,NA,3,4,1,NA,16,1,NA,NA,21,23,8,40,143,5,298,65,110,NA,NA,NA,NA,1,NA,NA,4,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
615,NA,NA,55,NA,1,NA,1,NA,NA,NA,8,2,NA,NA,1,NA,1,13,3,2,1,12,7,8,NA,27,23,6,23,119,2,121,63,541,1,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,2,NA,NA,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
676,NA,NA,60,2,NA,3,NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,12,2,2,1,22,10,5,NA,20,24,6,37,108,5,290,79,448,NA,NA,1,NA,NA,2,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
796,NA,NA,70,NA,NA,1,NA,NA,NA,NA,4,NA,2,NA,NA,3,1,18,5,4,5,1,1,NA,2,10,5,4,22,56,26,161,128,954,NA,1,NA,NA,NA,1,2,2,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
857,NA,NA,75,2,NA,1,1,2,2,NA,1,4,NA,NA,1,NA,NA,6,3,3,2,4,2,20,4,21,5,6,48,92,23,119,84,633,2,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
953,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,3,1,3,11,NA,NA,2,21,8,8,1,21,14,8,43,114,4,35,63,1532,NA,NA,1,NA,NA,1,1,2,4,4,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,NA,NA,90,NA,1,NA,2,NA,NA,NA,1,2,NA,NA,1,NA,4,7,2,3,1,5,7,5,NA,14,12,10,39,87,32,235,75,435,1,NA,NA,NA,NA,NA,1,2,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1158,NA,NA,100,2,NA,NA,3,NA,NA,NA,4,5,NA,NA,3,NA,1,7,4,5,NA,33,13,15,NA,25,9,8,69,116,6,50,65,560,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
