Depth (cm),Pinus,Quercus,Ulmus,Fraxinus,Corylus,Carpinus,Fagus,Platanus orientalis,Juglans regia,Betula,Populus,Alnus,Salix,Frangula,Cornus,Tamarix,Acaccia,Celtis,Prunus type,Bougenvillea,Pterocarya fraxinifolia,Abies,Ephedra fragilis,Morus cf,Capparis,Rhus coriaria,Cotinus,Poaceae,Poaceae big,Aster type,Anthemis type,Cirsium,Centaurea jacea type,Centaurea scabiosa,Cichorioidae,Sinapis type,Cardamine type,Ranunculus type,Ranunculus arvensis,Ranunculaceae,Thalictrum,Sedum,Ballota type,Prunella type,Scrophularia type,Rosaceae,Polygonum sp.,Bistorta officinalis,Fallopia convolvulus,Apium type,Peucedanum,Conium type,Cicuta virosa type,Heracleum spondylium,Apiaceae,Melampyrum,Filipendula,Trifolium pratense,Trifolium repens type,Genista type,Fabaceae,Lotus type,Galium type,Ambrosia,Solanum dulcamara,Viola odorata,Rhinanthus,jasione cf,Silene type,Caryophyllaceae,Gentiana cf,Grattiola,Alchemilla pent.,Geranium,Arbutus,tetrada,Plantago albicans,Osyris alba,Paronychia,Myricaria germanica,Digitalis,cf Kickxia,Montia,Hypericum,Nigella,Hyoscyamus aalbus,Pteris cretica,Pimpinella saxifraga,Botrychium,Artemisia,Urtica,Chenopodiaceae,Plantago maior,Plantago media,Plantago lanceolata,Rumex a-a type,Rumex acetosa type,Rumex acetosella type,Papaver rhoeas,Spergularia,Triticum type,Avena type,Hordeum type,Secale,cereals undiff.,Cyperaceae,Carex type,Schoenoplectus type,Schoenus type,Cyperus,monolete fern spores,Menyanthes trifoliata,Sphagnum,Cryptogamma,Lythrum,Typha latyfolia,Myriophyllum spicatum,Myriophyllum verticilatum,Sparganium emersum type,Alisma type,Elatine,Littorella type,Hippuris vulgaris,Ceratophyllum w?oski,Pediastrum boryanum,Ped bor. var. brevicorne,P. duplex var duplex,Ped. simplex,P. simplex var. simplex,P. simplex var clathratum,P. simplex var. bivaense,P. simplex var sturmii,P. simplex var. echinulatum,Coelastrum,Scenedesmus
1480,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,1,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,13,0,0,0,0,0,0,0,0,1,0,1,0,0,2,6,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,369,0,0,0,0,0,15260,0
1500,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,5,7,0,0,1,1,0,1,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,23,1,0,0,0,0,0,0,0,1,0,2,1,0,3,7,3,3,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,31,1,0,1278,0,0,0,0,0,10000,0
1520,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1,1,0,0,0,0,2,4,0,0,0,0,5,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,1,5,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,8,1,0,1325,0,0,0,0,0,9860,0
1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,2,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,1,0,0,0,0,1,0,1,0,5,7,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,9,1,0,1318,0,944,374,0,0,4885,0
1560,3,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,5,2,0,0,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,2,0,3,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,784,357,427,0,0,0,2703,1
1580,1,3,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,20,5,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,1,0,0,0,0,0,0,2,3,1,6,8,2,8,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,12,2,0,1854,0,0,0,0,0,13641,1
1600,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,1,1,0,0,0,41,0,4,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,1,0,0,0,0,0,0,0,0,0,8,8,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,851,329,378,127,17,0,2374,0
1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,6,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,426,42,230,121,32,1,1527,0
1640,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,4,3,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,25,0,0,1,0,0,0,0,1,0,0,2,3,0,3,10,5,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,240,40,11,2006,662,766,310,186,82,4740,0
1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18,2,1,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,1,0,0,0,0,0,2,2,0,4,4,9,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,10,0,0,837,190,334,91,9,213,3032,0
