"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Spike","Spike tablets","Betula","Castanea","Cichorioideae","Juglans","Cardueae","Poaceae (Cerealia)","Calluna vulgaris","Erodium","Boraginaceae","Scrophulariaceae","Taxus","Asphodelus albus","Erica arborea","Ilex aquifolium","Osmunda regalis-type","Fraxinus","Quercus ilex-type","Cistus","Apiaceae","Juniperus","Ranunculaceae","Aster","Pteridium aquilinum-type","Allium","Rosaceae","Cytisus","Sordaria undiff.","Urtica dioica-type","Plantago lanceolata","Brassicaceae","Alnus","Fabaceae","Amaranthaceae","Liliaceae","Rumex acetosa","Spirogyra","Unknown (type 181, HdV)","Pinus sylvestris","Quercus pyrenaica-type","Cyperaceae","Poaceae","Caryophyllaceae","Acer","Campanula","Salix","Olea europaea","Anthemis","Colchicum montanum","Cercophora undiff.","Artemisia","Ambrosia","Galium","Pinus pinaster","Corylus","Geranium","Pseudoschizaea circula","Pedicularis sylvatica","Polygonum aviculare","Arbutus","Drosera rotundifolia-type","Lamiaceae","Viola","Cryptogramma"
-58,NA,NA,0,"21","10679, 17, 1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","4","4","5","5","5","7","7","7","8","8","9","9","11","11","11","13","15","16","17","19","49","72","370","","","","","","","","","","","","","","","","","","","","","",""
-45,NA,NA,5,"21","10679, 1, 1","1","4","","","1","","2","1","","1","","","2","12","2","1","5","6","","2","2","1","2","8","","4","50","10","15","10","5","23","5","10","1","21","3","","21","26","19","340","1","1","1","2","2","2","","","","","","","","","","","","","","","",""
-32,NA,NA,10,"21","10679, 1, 1","1","3","2","","","","2","1","2","2","","2","1","6","","","2","3","","2","1","2","3","10","1","2","27","5","14","12","17","9","19","12","","26","4","3","14","29","28","310","1","","4","1","2","2","","","","","","","","","","","","","","","",""
-19,NA,NA,15,"21","10679, 2, 1","1","1","","1","","","1","","","2","","3","4","5","1","","3","5","","10","1","3","2","13","1","3","22","31","23","12","8","7","9","14","","23","1","","13","25","19","333","1","","","1","3","3","2","","","","","","","","","","","","","","",""
-6,NA,NA,20,"21","10679, 3, 1","1","1","3","2","1","2","1","1","1","2","","3","1","68","2","","4","","","8","1","1","14","8","","4","3","1","4","1","18","7","10","5","4","10","","","37","16","12","330","7","","","4","4","","2","1","1","1","","","","","","","","","","","",""
7,NA,NA,25,"21","10679, 3, 1","1","2","1","2","","1","","","","2","","2","3","18","1","","3","5","2","7","2","3","9","12","1","4","5","2","4","6","9","10","16","2","","23","","","28","28","11","265","2","","","4","3","1","1","","","","1","14","","","","","","","","","",""
20,NA,NA,30,"21","10679, 1, 1","1","","1","1","","","2","1","","1","","1","2","25","1","","4","5","1","2","","4","8","6","","3","7","","4","4","12","6","15","1","6","20","","","14","30","3","421","1","","","1","1","1","1","","","","1","","","","","","","","","","",""
33,NA,NA,35,"21","10679, 2, 1","1","3","","2","","","3","3","","3","3","3","","10","4","","3","7","","4","4","9","7","11","2","3","2","","26","6","16","5","17","","3","30","1","","13","36","23","289","1","","7","","","","1","","","","","3","2","","","","","","","","",""
46,NA,NA,40,"21","10679, 1, 1","1","","6","3","","","3","","","1","1","2","2","48","1","","5","5","","12","1","2","7","7","","3","13","","5","7","10","5","25","5","4","10","","","15","34","7","380","1","","1","5","2","2","","","","1","","","","1","","","","","","","",""
59,NA,NA,45,"21","10679, 1, 1","1","2","3","","3","5","8","3","","4","","1","3","7","3","9","","6","2","5","4","5","15","","","3","2","1","10","7","3","7","11","13","","15","","","35","22","9","281","6","","","3","6","2","3","","","","","8","","","1","","","","","","",""
