"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Typha/Sparganium","Viburnum","Trifolium-type","Helianthemum","Olea","Thymelaeaceae","Buxus","Cistus","Paronychia-type","Myrtus","Isoëtes","Fraxinus","Juniperus","Aster","Pinus pinaster-type","Unknown (monolete)","Salix","Pinus","Phillyrea","Plantago maritima-type","Plantago lagopus-type","Thalictrum","Amaranthaceae","Cichorioideae","Poaceae (Cerealia-type)","Silene","Rumex","Plantago coronopus-type","Ranunculaceae","Quercus ilex-type","Spergula","Anthemis","Alnus","Quercus","Artemisia","Quercus suber-type","Caryophyllaceae","Bupleurum","Lythrum","Apiaceae","Poaceae","Erica arborea-type","Rubiaceae","Cyperaceae","Corylus","Vitis","Polygonum aviculare","Myriophyllum alterniflorum-type","Daphne gnidium","Ulmus","Brassicaceae","Asteroideae","Crassulaceae","Asphodelus","Lamiaceae","Potamogeton-type","Pistacia","Centaurea","Hedera","Ephedra fragilis-type","Scrophularia-type","Fabaceae","Lotus","Hypericum","Cladium-type","Osmunda regalis","Echium","Linaria-type","Thelypteris palustris-type","Ononis-type","Nymphaea","Myriophyllum verticillatum-type","Liliaceae-type","Cistus salviifolius","Linum usitatissimum-type","Linum maritimum-type","Alisma","Acer","Lemna","Rosaceae","Ophioglossum lusitanicum","Cirsium","Filipendula","Cedrus","Mentha","Silene-type","Verbascum","Polypodium","Genista-type","Atriplex","Betula","Abies","Vicia-type","Arceuthobium","Boraginaceae","Centaurium","Colchicum","Cuscuta","Scabiosa","Prunus","Erodium","Matthiola","Euphorbia","Campanulaceae","Selaginella denticulata","Valerianoideae","Odontites","Dipsacoideae","Galeopsis","Poterium sanguisorba","Solanum dulcamara","Unknown (trilete)","Ononis","Primula","Vitex","Hippophaë","Polycarpon-type","Cornus sanguinea","Lygeum spartum","Centaurea nigra","Theligonum cynocrambe","Filago","Carlina-type","Cerastium","Typha latifolia","Ulex","Rumex conglomeratus","Hedysarum","Geranium","Rumex hydrolapathum-type","Calligonum","Asplenium-type","Poaceae (Cerealia)","Theligonum","Calluna","Sagina","Fedia"
12884,NA,NA,105,4,NA,2,NA,1,NA,NA,NA,7,NA,5,NA,NA,NA,33,NA,5,47,1,NA,NA,NA,NA,1,NA,NA,NA,1,17,NA,NA,NA,NA,6,8,NA,2,NA,3,5,95,NA,21,63,NA,NA,NA,NA,NA,NA,26,2,NA,3,4,13,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,22,1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13069,NA,NA,115,5,NA,4,NA,3,NA,NA,NA,6,NA,6,NA,NA,NA,40,NA,3,33,NA,3,1,1,4,3,NA,NA,4,9,10,NA,NA,NA,NA,11,10,NA,2,NA,32,7,143,NA,22,103,NA,NA,NA,NA,NA,NA,32,1,NA,5,11,13,NA,NA,NA,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2,NA,34,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13254,NA,NA,125,17,NA,5,NA,4,NA,NA,NA,5,NA,6,NA,1,NA,134,NA,NA,41,NA,5,NA,5,6,8,NA,NA,NA,13,20,NA,NA,NA,NA,24,29,NA,3,NA,39,16,182,NA,23,287,NA,NA,2,NA,NA,NA,18,5,NA,2,3,7,NA,NA,NA,6,4,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,30,1,NA,NA,NA,24,NA,NA,2,NA,NA,NA,NA,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13438,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,1,NA,3,142,NA,1,148,NA,NA,2,NA,15,1,2,NA,NA,NA,3,NA,NA,3,NA,4,28,7,2,4,17,6,104,NA,7,642,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13623,NA,NA,145,8,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,32,NA,1,21,NA,1,3,NA,8,4,NA,NA,NA,8,6,NA,NA,NA,NA,3,18,NA,2,NA,11,5,126,NA,6,180,NA,NA,1,NA,NA,NA,1,2,NA,5,1,4,NA,1,NA,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,4,NA,15,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13807,NA,NA,155,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,25,NA,NA,NA,3,6,1,NA,NA,1,4,2,NA,NA,NA,2,10,15,NA,1,NA,20,8,58,4,12,78,NA,NA,NA,1,NA,NA,7,7,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,9,NA,1,NA,1,39,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13992,NA,NA,165,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,45,NA,NA,34,NA,NA,1,1,1,1,NA,NA,2,1,2,NA,NA,NA,1,3,12,NA,NA,NA,15,10,95,NA,3,64,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,1,34,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14177,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,11,NA,NA,1,1,NA,NA,NA,NA,5,1,2,NA,NA,NA,NA,3,10,NA,NA,NA,10,14,140,NA,8,200,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14361,NA,NA,185,3,NA,1,2,NA,NA,NA,NA,1,NA,108,NA,6,7,106,NA,3,146,1,NA,24,1,NA,1,6,NA,12,6,6,NA,NA,8,NA,11,11,8,NA,10,1,18,170,NA,3,32,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14546,NA,NA,195,35,NA,NA,4,NA,NA,NA,1,NA,NA,25,NA,NA,NA,75,1,1,106,NA,NA,7,NA,1,3,1,NA,6,16,9,NA,NA,NA,1,NA,12,12,1,NA,NA,20,159,1,9,22,NA,NA,NA,2,NA,NA,NA,1,NA,1,7,5,NA,NA,NA,1,2,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
