"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Typha/Sparganium","Viburnum","Trifolium-type","Helianthemum","Olea","Thymelaeaceae","Buxus","Cistus","Paronychia-type","Myrtus","Isoëtes","Fraxinus","Juniperus","Aster","Pinus pinaster-type","Unknown (monolete)","Salix","Pinus","Phillyrea","Plantago maritima-type","Plantago lagopus-type","Thalictrum","Amaranthaceae","Cichorioideae","Poaceae (Cerealia-type)","Silene","Rumex","Plantago coronopus-type","Ranunculaceae","Quercus ilex-type","Spergula","Anthemis","Alnus","Quercus","Artemisia","Quercus suber-type","Caryophyllaceae","Bupleurum","Lythrum","Apiaceae","Poaceae","Erica arborea-type","Rubiaceae","Cyperaceae","Corylus","Vitis","Polygonum aviculare","Myriophyllum alterniflorum-type","Daphne gnidium","Ulmus","Brassicaceae","Asteroideae","Crassulaceae","Asphodelus","Lamiaceae","Potamogeton-type","Pistacia","Centaurea","Hedera","Ephedra fragilis-type","Scrophularia-type","Fabaceae","Lotus","Hypericum","Cladium-type","Osmunda regalis","Echium","Linaria-type","Thelypteris palustris-type","Ononis-type","Nymphaea","Myriophyllum verticillatum-type","Liliaceae-type","Cistus salviifolius","Linum usitatissimum-type","Linum maritimum-type","Alisma","Acer","Lemna","Rosaceae","Ophioglossum lusitanicum","Cirsium","Filipendula","Cedrus","Mentha","Silene-type","Verbascum","Polypodium","Genista-type","Atriplex","Betula","Abies","Vicia-type","Arceuthobium","Boraginaceae","Centaurium","Colchicum","Cuscuta","Scabiosa","Prunus","Erodium","Matthiola","Euphorbia","Campanulaceae","Selaginella denticulata","Valerianoideae","Odontites","Dipsacoideae","Galeopsis","Poterium sanguisorba","Solanum dulcamara","Unknown (trilete)","Ononis","Primula","Vitex","Hippophaë","Polycarpon-type","Cornus sanguinea","Lygeum spartum","Centaurea nigra","Theligonum cynocrambe","Filago","Carlina-type","Cerastium","Typha latifolia","Ulex","Rumex conglomeratus","Hedysarum","Geranium","Rumex hydrolapathum-type","Calligonum","Asplenium-type","Poaceae (Cerealia)","Theligonum","Calluna","Sagina","Fedia"
14731,NA,NA,205,44,NA,2,1,NA,NA,NA,1,5,NA,43,NA,1,NA,121,NA,NA,15,NA,2,1,NA,9,8,NA,NA,8,10,6,NA,NA,NA,1,4,10,NA,2,NA,3,33,124,NA,3,29,NA,NA,NA,2,NA,NA,17,1,NA,4,2,12,NA,2,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,1,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14915,NA,NA,215,22,NA,NA,3,4,NA,NA,NA,3,NA,NA,NA,NA,NA,104,NA,3,33,NA,NA,NA,NA,6,NA,NA,NA,NA,12,9,NA,NA,NA,NA,8,21,NA,3,NA,7,7,137,NA,NA,277,NA,NA,NA,3,NA,NA,NA,11,NA,11,NA,7,NA,NA,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15100,NA,NA,225,62,NA,7,NA,7,NA,NA,3,NA,NA,NA,NA,3,NA,102,NA,6,32,NA,NA,NA,NA,12,11,NA,NA,NA,35,26,NA,NA,NA,NA,11,24,NA,5,NA,37,21,161,NA,17,245,NA,NA,NA,NA,NA,NA,26,7,NA,6,8,NA,NA,17,NA,13,8,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,15,NA,30,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,12,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15284,NA,NA,235,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,3,5,114,3,2,156,NA,NA,NA,1,2,NA,NA,NA,2,3,5,2,NA,1,NA,5,23,3,2,1,21,17,228,1,18,138,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15469,NA,NA,245,23,NA,3,1,1,NA,NA,NA,NA,NA,21,NA,2,NA,125,NA,1,23,NA,4,2,NA,6,4,NA,NA,10,11,7,NA,NA,NA,NA,17,20,NA,NA,NA,15,11,113,NA,21,93,NA,NA,NA,3,NA,NA,7,9,NA,2,NA,8,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15654,NA,NA,255,NA,NA,1,1,NA,NA,NA,1,1,NA,36,NA,1,NA,33,NA,NA,32,NA,1,1,1,9,4,1,NA,9,13,6,NA,NA,NA,NA,7,10,NA,2,NA,2,10,51,NA,4,16,NA,NA,2,1,NA,NA,1,9,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15838,NA,NA,265,1,NA,NA,4,NA,NA,NA,NA,NA,NA,11,NA,1,NA,125,NA,NA,20,NA,1,NA,1,4,1,1,NA,12,6,3,NA,NA,NA,NA,11,9,3,NA,NA,3,9,100,NA,3,NA,NA,NA,NA,7,NA,NA,1,2,1,NA,1,5,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16023,NA,NA,275,10,NA,NA,1,NA,NA,NA,1,NA,NA,5,NA,NA,NA,110,1,1,41,NA,NA,NA,NA,5,2,NA,NA,1,3,5,NA,NA,NA,1,16,9,NA,NA,NA,1,3,107,2,2,41,NA,NA,1,4,NA,NA,2,2,NA,1,NA,7,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16208,NA,NA,285,7,NA,NA,2,NA,NA,NA,NA,2,NA,14,NA,2,NA,135,1,4,29,NA,1,1,NA,7,12,NA,NA,2,5,8,NA,NA,NA,1,15,28,1,1,NA,1,6,103,1,3,30,NA,NA,NA,6,NA,1,2,5,NA,2,NA,3,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16392,NA,NA,295,NA,NA,NA,2,NA,NA,NA,1,NA,NA,15,NA,2,10,176,NA,NA,208,NA,NA,NA,1,11,6,NA,NA,6,14,2,1,NA,1,1,5,26,7,1,1,1,9,104,NA,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16577,NA,NA,305,7,NA,NA,3,NA,NA,NA,NA,1,NA,7,NA,4,NA,115,1,1,30,NA,1,1,NA,3,7,NA,NA,1,3,1,NA,NA,NA,NA,13,5,NA,NA,NA,5,9,56,NA,NA,31,NA,NA,NA,NA,NA,NA,1,4,NA,NA,3,4,NA,2,NA,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16761,NA,NA,315,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,3,NA,113,NA,3,22,NA,1,NA,NA,1,12,NA,NA,1,5,15,NA,NA,NA,NA,NA,17,2,3,NA,1,11,48,1,4,NA,NA,NA,4,NA,NA,2,2,5,NA,2,5,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,4,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16946,NA,NA,325,15,NA,NA,2,1,NA,NA,NA,NA,NA,7,NA,7,NA,169,NA,9,39,NA,1,NA,NA,6,6,NA,NA,4,5,10,NA,NA,NA,1,17,15,NA,4,NA,2,4,132,NA,1,24,NA,NA,NA,2,NA,NA,2,5,NA,2,1,6,NA,NA,NA,1,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,26,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17131,NA,NA,335,16,NA,NA,2,NA,NA,NA,NA,8,NA,6,NA,11,NA,241,NA,7,32,NA,4,1,2,5,8,NA,NA,20,18,13,NA,NA,NA,1,10,23,NA,2,NA,3,15,205,NA,6,16,NA,NA,NA,NA,NA,2,16,6,NA,3,4,6,NA,2,NA,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,4,NA,NA,NA,NA,23,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17315,NA,NA,345,42,NA,NA,1,NA,NA,NA,NA,4,NA,37,NA,4,NA,93,NA,2,26,NA,10,NA,NA,4,12,NA,NA,8,62,23,NA,NA,NA,NA,NA,21,2,2,NA,2,17,77,NA,4,17,NA,1,NA,1,NA,NA,3,5,NA,NA,3,6,NA,2,1,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,10,NA,3,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17500,NA,NA,355,38,NA,4,3,NA,NA,NA,1,NA,NA,57,NA,4,NA,120,NA,2,11,NA,18,10,6,12,22,NA,NA,13,34,39,NA,NA,NA,2,8,23,NA,126,NA,7,36,197,NA,12,30,NA,NA,3,6,NA,1,9,16,NA,9,7,5,NA,10,NA,2,12,3,9,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,5,NA,8,3,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17684,NA,NA,365,1,NA,NA,NA,2,NA,1,NA,1,NA,52,NA,7,9,128,NA,1,70,2,2,15,NA,2,1,4,NA,13,37,2,1,NA,4,2,6,15,NA,4,9,10,12,120,NA,6,17,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,1,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
17869,NA,NA,375,1,NA,2,2,NA,NA,NA,NA,NA,NA,21,NA,8,NA,19,NA,NA,17,NA,1,NA,NA,5,5,NA,NA,13,12,7,NA,NA,NA,NA,3,8,NA,3,NA,1,16,70,NA,3,18,NA,NA,4,2,NA,NA,NA,8,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
18054,NA,NA,385,3,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,11,NA,15,NA,1,17,NA,1,2,1,3,15,NA,NA,33,18,3,NA,NA,NA,NA,5,14,NA,3,NA,NA,13,90,NA,3,15,NA,NA,1,1,NA,NA,NA,10,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,14,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,26,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18238,NA,NA,395,14,NA,NA,2,NA,NA,NA,1,1,NA,22,NA,NA,NA,12,NA,NA,20,NA,1,NA,3,8,2,NA,NA,50,35,8,NA,NA,NA,NA,7,16,3,NA,NA,1,16,185,1,6,32,NA,NA,2,11,NA,NA,1,9,NA,NA,NA,23,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,2,17,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
18423,NA,NA,405,6,NA,NA,NA,1,NA,NA,NA,4,NA,4,NA,3,NA,82,NA,2,48,NA,NA,NA,NA,1,1,NA,NA,2,22,11,NA,NA,NA,NA,NA,6,NA,NA,NA,1,6,62,NA,16,315,NA,NA,NA,NA,NA,NA,6,3,NA,6,4,4,NA,1,NA,1,1,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18608,NA,NA,415,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,84,NA,NA,140,NA,NA,NA,NA,12,1,NA,2,3,23,5,NA,NA,NA,NA,2,24,4,1,NA,NA,8,104,NA,12,708,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
18792,NA,NA,425,15,NA,NA,4,NA,NA,NA,NA,3,NA,2,NA,1,NA,54,NA,NA,25,NA,2,5,NA,5,1,NA,NA,2,12,19,NA,NA,NA,NA,1,9,NA,7,NA,1,4,73,NA,6,128,NA,NA,NA,NA,NA,NA,2,1,NA,25,2,4,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18977,NA,NA,435,NA,NA,1,2,NA,NA,NA,NA,1,NA,3,NA,3,4,66,1,NA,144,NA,3,1,4,13,3,NA,NA,7,13,7,NA,NA,3,1,8,33,8,3,6,7,14,180,3,33,282,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA
19161,NA,NA,445,5,NA,NA,2,6,NA,NA,NA,4,NA,7,NA,2,NA,102,NA,1,12,NA,3,6,NA,26,7,NA,NA,2,7,26,NA,NA,NA,NA,3,8,NA,6,NA,NA,11,92,NA,28,108,NA,NA,NA,NA,NA,NA,3,7,NA,12,2,4,NA,3,NA,11,9,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,17,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19337,NA,NA,455,11,NA,3,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,116,NA,NA,17,NA,2,5,1,5,22,NA,NA,2,11,11,NA,NA,NA,NA,2,9,NA,3,NA,NA,7,102,NA,12,52,NA,NA,NA,NA,NA,NA,5,11,NA,12,4,6,NA,2,NA,NA,12,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2,NA,6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19521,NA,NA,465,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,NA,52,2,1,135,NA,NA,5,NA,2,2,3,NA,3,4,2,1,NA,NA,NA,7,2,3,NA,NA,NA,3,26,1,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,16,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19706,NA,NA,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,1,31,54,NA,NA,173,NA,1,NA,NA,3,5,NA,NA,2,NA,1,NA,NA,11,2,3,34,NA,2,NA,1,6,8,2,1,140,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2
