Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Abimes,Acacia albida,Acacia ehrenbergiana,Acacia nilotica,Acacia polyacantha,Acacia raddiata,Acacia seyal,Acacia vulgaris,Acalypha ciliata,Adina,Aerva persica,Alchornea cordifolia,Allophylus africanus,Althernanthera,Amaranthaceae,Ambrosia maritima,Anthocerothales,Artemisia,Azolla africana,Balanites aegyptiaca,Basilicum polystachon,Bauhinia rufescens,Betula,Blepharis,Boerhavia,Borreria chaetocephala,Borreria radiata,Borreria scabra,Boscia angustifolia,Boscia senegalensis,Bridelia ferruginea,Bridelia scleroneura,Cadaba farinosa,Cadaba glandulosa,Campanulaceae,Capparis,Capparis corymbosa,Capparis decidua,Cardiospermum halicacabum,Cassia italica,Cassia occidentalis,Celosia argentea,Celosia trigyna,Celtis integrifolia,Centrostachys aquatica,Ceratopteris cornuta,Chlorophytum,Chrozophora,Cissampelos mucronata,Cissus ibuensis,Clematis hirsuta,Cleome,Cleome arabica,Cleome monophylla,Cleome scaposa,Cocculus pendulus,Combretaceae,Combretum aculeatum,Combretum glutinosum,Combretum paniculatum,Commelina,Commicarpus,Commiphora africana,Corchorus fascicularis,Cornulaca monacantha,Cotula anthemoides,Cruciferae,Cucurbitaceae,Cyperaceae,Desmodium,Dombeya,Dombeya quinqueseta,Echinules,Elaeis guineensis,Ephedra,Erica arborea,Euphorbia,Euphorbiaceae,Fagonia,Ficus,Fraxinus,Galium,Gisekia pharna,Gnidia,Gramineae,Grewia villosa,Gynandropsis gynandra,Heliotropium,Hibiscus,Hygrophila,Hymenocardia acida,Hyphaene thebaïca,Indetermines,Indigofera,Ipomaea,Lannea acida,Launaea taraxa,Laurembergia tetrandra,Lemna,Liliaceae,Lippia nodiflora,Ludwigia,Lygodium,Maerua crassifolia,Marsilea,Mitracarpus scaber,Mitragyna inermis,Monechma ciliata,Monoletes,Morelia senegalensis,Nauclea,Neptunia,Nucularia,Nymphaea,Oldenlandia,Olea hochstetteri,Olea lapperronica,Ophioglossum,Pentodon pentandrus,Pentzia monodiana,Peristrophe bicalyculata,Phyllanthus maderapatensis,Piliostigma reticulatum,Pinus,Plantago,Podocarpus,Polycapaea,Polygala,Polygonum plebeium,Polygonum senegalensis,Prosopis africana,Pseudocedrela kotschyi,Pteris marginata,Ranalisma humile,Rhus longipes,Riccia,Ricinus communis,Salix,Salvadora persica,Sapotaceae,Sclerocephalus,Securinega virosa,Sesbania pachycarpa,Silene kilianii,Sopubia parvifolia,Sterculia setigera,Syzygium guineensis,Tamarix,Tephrosia,Tilia,Tinospora bakis,Trianthema pentandra,Tribulus,Trichodesma africana,Triletes,Triumfetta,Typha,Uapaca,Ulmus,Umbelliferae,Utricularia,Vernonia pauciflora,Xeromphis nilotica,Ziziphus,Zygophyllum
565,30,427,,,1,,,2,,,,,,,,41,,,,,5,,,,,,,3,,,,,,1,,,4,,1,,,,11,1,,,,,,,,,,,,1,7,,,,,,,,,,,1,,817,,,,25,,,,,,,,,,,,1021,,2,1,,,,2,3,3,,,5,,,,,,,4,4,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,471,,,,,,,,,,,,,,2,,,,1373,,,,,,,,
759.625,60,139,,,,,1,,,,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,2,,,,3,,1,,,,,,,,,,,,,,,,,,1,,,,,,,168,,,,5,,,,,,,,,,,,327,,,,,,,,3,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,1,,,,,,,,,,,,,,530,,,,,,,,
954.25,90,387,,,,,,,,,,,,,,1,3,,,23,,,,,,1,,,,,,,,,,,,,1,,,,,,,,8,1,,,2,,,,,,,,,,,1,,,,,,1,,877,,,,14,,,,,,,,,,,,3832,,,,,,,,6,,5,,161,,,,,3,,1,,,,,5,,,1,,8,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,7,,,,,,,,,,2,,,,929,,,,,,,,
1148.875,120,319,,2,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,193,,,,6,,1,,,,,,1,,,,1399,,,,,,,,2,,6,,42,,,,,3,,,,,,,1,,,,,4,,,,,,,1,,,1,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,521,,,,,,,,
1343.5,150,264,,1,,,1,,,,,,,,,1,16,,,,2,,,1,,,,1,,,,,,,1,,,,,,,,19,,1,,200,,,,,,,,,,,,,,,2,,,,,,,,215,,,,3,,,,,,,,,,,,1107,,,,,,,3,12,,2,,54,,,,,1,,,,3,,1,5,,,,1,34,,,,,,,,,,1,,1,,,,,,,,,,,,,5,,,,7,,,,,,,,,,1,,,,878,2,,,,,,,
2040.214,170,166,,,,,,,,,,,,,,,17,1,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,3,,18,6,,,,,,2,,,,4,1,,,1,,1,,,,,,372,,,,2,,,,1,,,,,,,,1714,,,,,,,7,10,1,5,1,1,,,,,3,1,,,48,,,69,,,,,27,,,,,,,2,,,,,,,,,6,1,,,,,,,,1,,,,103,,,,,,,,,2,,,,,287,,,,,,,,
2388.572,180,177,,1,,,,,,,,,,,,3,21,,,4,2,,,,,,,3,1,,,,,,,,,,,1,,,,,3,,6,,,,,,,,,,,2,,,,,,,1,,,,,269,,,,6,,,,,,,,,,,,2065,,,,,,1,,13,1,4,1,,,,,,9,,,,59,,2,220,,,,,6,,,,1,,,,,,,,,,,,3,,,,,,1,,,,,,,15,,,,,,,,,,1,,,,61,,,,,,,,
3433.643,210,309,,1,,,,,,,,,,,,7,21,,,1,3,,,,,,,1,,,,,,,,,,,,,,,,,8,,6,1,,,,,,,,,,12,,,,,,,,,2,1,,837,1,2,,2,,,,1,,,,,,,,3336,,,,1,,,2,14,3,9,,10,,,,,1,,,,28,,,38,,,,,8,,,,1,,,1,,,,,1,,,,7,1,,,,,,,,5,,,,69,,2,,,,,,3,4,,,,,321,1,,,,,,,
4141,230,180,,,,,,,1,,,,,,,6,13,,,,1,,,,,,,,1,,,,,,,,,,,,,,2,,,,22,,,,,,,,,,,6,,,1,,,,,,,,,1408,,,,4,,,,,,,,,,,,2524,,,,,,,,8,,2,,3,,,,,3,,,,31,,2,15,,,1,,9,,,,1,,,,,,,,,,,,8,,,1,,,,,,,,,,34,,,,,,,,,,,,,,256,,,,1,,,,
4500,240,205,,,,,,,,,,,,,,1,5,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,4,,63,,,,,,,,,,1,4,,,,,,1,,,,,,1056,1,,,2,,,,,,,,,,,,2360,,,,,,,,1,2,8,,,,,,,10,,2,,11,,,31,,,,,1,,,,1,,,,,,,,,,,,23,,,,,,,,,1,,,,33,,,,,,,,,1,,,,,386,5,,,,,,,
