"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Pseudopediastrum boryanum","Fagopyrum","Fabaceae undiff.","Nymphaea","Acer","Avena-type","Rubiaceae","Secale","Ranunculus acris-type","Anemone-type","Carpinus betulus","Hedera","Mercurialis","Rhamnus-type","Ephedra fragilis","Hordeum-type","Myrtus","Plantago coronopus","Cistus albidus-type","Cichorioideae undiff.","Botrychium","Betula","Rumex","Brassicaceae","Triticum-type","Poaceae (Cerealia-type)","Fraxinus ornus","Theligonum cynocrambe","Fagus","Plantago major/P. media","Artemisia","Corylus","Plantago lanceolata","Vitis","Platanus","Amaranthaceae","Juniperus","Unknown","Pteridium","Cyperaceae","Sparganium-type","Alnus","Asteroideae undiff.","Fraxinus angustifolia-type","Erica","Olea","Ulmus","Pinus","Ostrya/Carpinus orientalis","Phillyrea","Pistacia","Quercus (evergreen-type)","Poaceae","Quercus (deciduous-type)","Lycopodium spike","Lonicera","Myriophyllum","Salix","Scrophulariaceae","Trifolium","Centaurea solstitialis-type","Dorycnium-type","Panicum-type","Abies","Apiaceae","Aster-type","Sanguisorba minor-type","Caryophyllaceae undiff.","Typha latifolia","Juglans","Ranunculus","Euphorbiaceae","Sorbus-type","Gypsophila","Unknown (trilete, verrucate)","Polypodiophyta undiff.","Tilia","Liliaceae","Plantago","Quercus cerris-type","Calligonum","Polypodium","Ilex","Rosaceae","Thymelaeaceae","Ephedra distachya","Castanea","Monactinus simplex","Armeria","Pediastrum duplex","Polygonum aviculare","Cistus monspeliensis","Picea","Quercus","Potamogeton","Celtis","Potentilla-type","Humulus/Cannabis","Arbutus","Geranium","Ligustrum","Buxus","Asphodelus","Convolvulus arvensis","Xanthium","Jasminum","Crataegus-type","Aconitum","Persicaria maculosa","Polygala","Campanulaceae","Melampyrum","Centaurea scabiosa","Primulaceae","Micranthes cf. M. stellaris","Helianthemum","Genista-type","Papaver argemone","Lamiaceae","Cotinus-type","Taxus","Gentianaceae","Plantago lagopus-type","Sambucus","Linum catharticum-type","Nuphar","Vicia","Solanum","Dipsacus","Utricularia","Glaucium","Centaurea cyanus","Serratula-type","Lotus-type","Filipendula","Heliotropium-type","Alchemilla-type","Nigella","Ononis-type","Ranunculus arvensis","cf. Samolus","Cornus","Onobrychis","Verbascum","Papaveraceae","Knautia","Saxifraga cf. S. oppositifolia","Scabiosa","Viburnum","Teucrium-type","Persicaria amphibia","Marrubium","Anemone sect. Pulsatilla-type","Valeriana","Lythrum"
736,NA,NA,311,"1.9","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","4","4","4","4","5","5","5","5","5","6","6","6","7","14","16","20","22","24","25","34","37","45","90","247","405, 25084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
781,NA,NA,318,"1.9","1","","","","","1","","","1","","1","1","2","","1","2","","","1","2","","","3","","1","1","2","1","6","","8","3","4","4","5","2","1","","3","4","5","8","2","10","9","40","25","13","39","21","30","68","69","230","280, 25084","1","1","1","1","1","1","1","1","2","2","2","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
833,NA,NA,326,"2","5","","2","","","","1","1","3","1","4","1","4","","1","","1","","1","","","","2","6","1","1","4","1","6","1","12","5","6","2","2","3","","5","13","14","4","8","4","6","23","25","10","13","50","19","34","81","115","287","301, 25084","","1","","","","","","","3","","2","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
885,NA,NA,334,"2","30","","","","1","","","1","1","","9","1","1","","1","4","","","","4","","3","1","","1","3","6","","4","4","4","4","2","1","3","5","","2","2","5","1","9","1","10","12","30","20","19","39","13","12","50","61","295","267, 25084","","","1","1","","","","","2","","1","4","1","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
936,NA,NA,342,"3","235","","2","","","1","1","","1","","3","2","","","","","3","","","1","","2","","","","1","2","","5","","3","2","2","1","","3","3","1","2","2","","8","","11","9","13","15","15","35","40","12","32","61","322","53, 21358","","1","1","","","","","","3","","1","1","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
988,NA,NA,350,"2.6","332","","1","","","","2","","1","1","6","","1","","","3","1","","","1","","1","","","","","4","","5","3","13","3","3","2","2","5","1","6","2","2","","8","","6","12","10","10","12","30","46","25","40","73","297","48, 21358","","","2","","","","","","1","1","","1","4","","","","","","","","4","","","","1","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1040,NA,NA,358,"2","320","","","","","1","","2","1","","2","","6","","","3","","","","","","","5","","","4","3","","2","5","6","3","2","3","2","6","","1","4","3","3","4","1","14","7","14","12","12","17","47","27","50","62","298","121, 21358","","1","","","1","","","","3","","1","3","2","","","","","","","","1","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1091,NA,NA,366,"2","143","","","","","","","","1","","11","1","5","","","1","","","","","","1","","","","2","4","","2","3","5","1","3","1","1","3","3","","2","3","1","8","2","21","8","3","13","16","22","51","11","31","30","312","87, 21358","","1","","","","1","","","1","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1143,NA,NA,374,"1.8","14","","","","","","","1","2","1","3","","2","","1","2","","","","","","1","1","1","","","6","","6","","2","5","1","1","","4","","1","4","3","2","11","","8","22","8","17","19","22","34","34","32","39","291","237, 21358","","","","","","","","","","","","3","1","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1194,NA,NA,382,"2.8","","","","","","1","1","1","3","","2","","1","","","","","","","4","","1","","","","","4","","4","2","5","5","2","1","2","6","1","3","1","2","5","16","3","6","11","8","14","7","19","39","37","41","44","313","92, 21358","","","1","","","","","","","","","1","4","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
