depth,Age BP,Indetermines,Olea,Gramineae,Tilia,Betula,Pteridophytae,Liguliflorae,Cyperaceae,Pinus,Chenopodiaceae/Amaranthaceae,Anthocera,Quercus ilex-type,Isoetes,Juglans,Corylus,Rumex,Cedrus,Tubuliflorae,Alnus,Pistacia,Quercus pubescens-type,Ephedra fragilis-type,Ericaceae,Artemisia,Alchornea,Ephedra distachia-type,Portulacaceae,Ziziphus,Capparis,Asphodelus,Centaurea jacea-type,Myrica,Cleome,Apiaceae,Ranunculaceae,Plantago,Antidesma-type,Caryophyllaceae,Ulmus,Rhus,Salix,Erodium,Polycnemum-type,Celtis,Phyllirea,Fagus,Commiphora,Acer,Thymelaea,Pilea,Vigna,Ambrosia,Polygonum,Myrtaceae,Juniperus,Carpinus,Butyrospermum,Canthium,Brassicaceae,Euphorbia,Acanthaceae,Ceratonia,Acacia,Helianthemum,Picea,Boscia,Ligustrum-type,Tribulus,Phyllanthus,Galium,Gymnosporia,Epilobium,Bridelia,Pityrogramma,Picconia,Zygophyllum,Cassia,Gypsophila
0.75,6000,3,2,12,1,2,8,8,2,68,3,1,1,18,1,7,7,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.75,,1,,1,,,7,3,1,8,,,2,21,,1,,,1,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.75,,,,,2,,1,,,5,,,,3,,,,,2,1,,2,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.75,,,,,,1,2,1,,15,,,1,15,,,,,1,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.75,,,,1,,,1,1,,5,1,,,1,,2,1,,,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.75,12000,,,,,,1,,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.75,,4,2,26,,2,11,26,4,457,27,,23,8,,,2,5,12,,,54,10,7,26,,,,4,2,2,1,1,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.75,,4,2,11,,3,13,12,,410,10,1,6,12,,27,,,5,7,,5,2,1,19,,6,,1,,,,,,,,,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.75,,6,1,13,,1,8,35,1,340,19,1,2,1,,2,,1,14,4,,2,6,16,113,,2,,1,,,3,,,,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.75,,1,2,16,,2,12,19,3,572,12,,6,8,,,,,5,1,,,3,9,38,,2,,1,,,,,,,,2,,,,1,,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.75,19000,4,,20,,1,8,34,3,458,9,1,4,3,,,,,16,2,,3,4,31,66,,5,,,,,2,,,1,,,,,,,,,,,,,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.25,,5,,12,2,1,52,23,,491,16,,,2,,12,1,1,8,1,,4,4,1,40,,7,,,,,,,,,,2,,,,,,,,,,,,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
124.25,24000,5,,12,,,6,19,1,445,17,1,3,11,,3,,1,15,1,,3,7,15,80,,2,,,,,,,,,,2,1,1,,,,1,,,3,,,2,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,
134.25,,1,,1,,,6,17,1,564,28,,,1,,,,2,15,3,,2,1,13,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,
144.25,,7,,2,,,1,7,1,310,13,,1,4,,2,,,7,1,,1,2,8,34,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
154.75,,5,,11,,1,7,27,,57,13,,1,9,,3,,,9,4,,3,3,2,239,,5,,,,,,,,,,,,1,,,,,2,1,,,,1,,,,,,,,,,,2,,1,1,1,,,,,,,,,,,,,,,
174.25,,2,2,2,,1,20,3,1,339,5,,3,21,,,,,5,1,,5,6,3,16,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184.25,,4,,1,,,1,9,3,405,6,1,18,8,,,,1,8,2,,8,2,5,21,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,2,,,,,,,,,,,,,,
194.25,53000,5,,2,,1,3,,,444,9,,3,7,,1,,,7,1,,2,3,5,24,,7,,,,,,,1,,,2,,,,,,,1,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,
194.25,,1,,11,,1,14,9,1,449,11,,2,2,,,,1,7,3,,8,8,8,42,,,,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,,
202.75,,4,,14,,,1,8,,500,12,,11,10,,1,,,4,,1,5,5,8,26,,2,,1,,,2,,,1,1,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212.75,,2,,8,,,12,13,,666,17,,5,3,,,1,,3,,,7,1,4,32,,2,,1,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
232.75,,6,,2,1,,12,8,1,297,4,,2,5,,5,,1,3,,,5,2,14,16,,,,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.75,,1,,4,,,6,18,1,460,27,,4,9,,,,2,12,2,,7,4,32,44,,1,,,,,,,,,1,1,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
272.75,,6,,4,,1,7,7,,140,,,1,8,,1,,7,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
282.75,,2,,1,,,8,2,,32,1,1,1,3,,,,,1,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292.75,,1,,,,,1,1,,34,2,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302.75,,4,2,2,,,4,12,,466,3,1,4,5,,,,,4,,,1,2,5,2,,,,,,,1,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
312.25,,1,,1,,,1,6,,951,12,,,2,,,,2,7,,,,2,,47,,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
322.25,65000,1,,1,,1,,1,,367,,,,3,,2,,,1,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332.25,,3,,3,1,,10,2,,233,,1,,13,,4,,1,1,,,,,3,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,
341.75,,3,,26,,,1,40,2,445,9,1,8,10,,3,2,2,20,1,2,1,6,46,57,,2,,,,,1,,,,,2,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
371.75,,2,,3,,,2,26,1,278,3,,7,35,,4,2,,6,2,,4,2,8,2,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
381.25,80000,1,,1,,,2,10,1,526,2,,2,34,1,,,,4,,,6,2,5,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
391.75,,2,2,6,,,5,21,6,352,8,,26,22,,2,,,10,4,1,12,7,1,10,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,
