"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Betula","Campanulaceae","Urticaceae","Filipendula","Ephedra distachya","Cannabis-type","Salvia-type","Scrophulariaceae","Vitis","Mentha-type","Sparganium","Eucalyptus","Theligonum","Cistus","Juglans","Centaurea","Rubiaceae","Quercus indet.","Phillyrea","Caryophyllaceae","Epilobium-type","Cupressaceae","Cyperaceae","Apiaceae","Rumex","Asteroideae","Plantago","Cichorioideae","Rosaceae","Sanguisorba-type","Brassicaceae","Poaceae (Cerealia)","Artemisia","Pistacia","Fabaceae","Amaranthaceae","Quercus ithaburensis","Indeterminable (destroyed)","Quercus coccifera","Pinus","Poaceae","Pollen concentration","Lycopodium spike","Olea","Pollen accumulation rate","Ranunculaceae","Ephedra fragilis","Asphodelus-type","Fumana-type","Cucumis-type","Linum-type","Polygonaceae","Hypericum-type","Ericaceae","Scabiosa-type","Thalictrum-type","Tamarix","Alnus","Rhamnus-type","Lythrum-type","Adonis-type","Malvaceae","Tilia","Fagus","Anemone-type","Papaver-type","Styrax-type","Elatine-type"
5.083884,NA,NA,1,5,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,5,6,7,7,7,8,9,10,11,11,11,14,15,18,18,24,28,28,40,48,54,62,64,73,87,30700.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116.9293,NA,NA,23,6,5,1,NA,3,NA,NA,1,7,3,1,2,NA,2,NA,8,1,2,5,4,10,15,2,5,10,10,8,25,16,8,10,12,13,30,18,15,32,20,36,45,33,55,1,168,70,10821.65,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249.1103,NA,NA,49,4.6,2,NA,NA,2,NA,NA,NA,1,NA,2,1,NA,NA,NA,3,3,1,5,3,8,2,NA,11,17,6,13,32,37,6,11,16,8,44,22,18,24,27,36,57,8,77,65,117,38,20026.27,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371.1235,NA,NA,73,6.4,2,1,NA,2,NA,NA,NA,2,NA,1,7,NA,5,1,2,3,5,5,5,7,2,NA,10,12,3,15,32,35,7,15,7,13,50,37,7,22,21,25,90,10,72,2,80,30,21486.59,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482.969,NA,NA,95,5,1,1,NA,1,2,NA,NA,1,3,1,7,NA,NA,1,1,1,2,4,1,9,NA,2,8,17,12,12,28,11,12,18,13,13,27,44,14,24,45,31,84,9,81,66,78,38,29113.37,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
610.0661,NA,NA,120,5,2,NA,NA,5,NA,NA,NA,5,1,1,6,NA,2,NA,3,3,1,3,3,7,NA,NA,6,13,6,10,35,12,3,17,12,12,32,35,13,23,40,41,86,15,66,3,90,48,25314.18,NA,NA,1,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635.4855,NA,NA,125,4.5,4,1,NA,NA,NA,1,NA,2,3,2,5,NA,1,2,2,3,5,4,4,6,NA,NA,11,21,5,5,30,10,8,14,13,14,41,39,15,19,38,27,101,7,78,67,74,32,33817.71,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
762.5826,NA,NA,150,5,NA,NA,NA,2,1,NA,NA,1,2,NA,3,NA,NA,NA,NA,2,2,2,1,7,NA,1,12,18,5,6,37,26,3,21,11,17,48,32,10,27,27,32,71,16,78,40,151,37,14644.88,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
889.6797,NA,NA,175,4.5,2,NA,NA,2,NA,NA,NA,1,2,2,3,NA,NA,1,1,1,3,4,2,6,NA,5,7,12,10,6,23,16,8,8,11,15,34,23,26,15,38,27,94,14,112,68,78,26,31501.1,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
991.3574,NA,NA,195,5.1,NA,1,NA,4,1,NA,NA,3,1,NA,6,NA,NA,1,1,4,3,4,1,3,NA,NA,10,10,11,9,25,16,8,9,8,12,46,22,22,17,51,33,81,12,115,8,78,24,28495.8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
