"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cistaceae","Ephedra fragilis-type","Betula","Apiaceae","Alnus","cf. Juniperus","Quercus (deciduous)","Plantago","Cyperaceae","Asteroideae","Ruppia","Pistacia","Erica","Artemisia","Cichorioideae","Amaranthaceae","Quercus (evergreen)","Poaceae","Pinus","Olea","Corylus","Sparganium-type","Vitis","Lamiaceae","Poaceae (Cerealia-type)","Armeria","Myrtaceae","Caryophyllaceae","Centaurea","Buxus","Tamarix","Potamogeton","Brassicaceae","Asphodelus","Abies","Euphorbia","Salix","Scrophulariaceae","Ulmus","Urticaceae","Galium-type","Cistus","Lemna-type","Castanea","Fabaceae","Solanaceae","Ranunculaceae","Cyperus","Fraxinus","Myriophyllum","Thymelaea","Malvaceae","Typha latifolia-type","Echium","Rhamnus","Borago","Carpinus","Acer","Coriaria","Ephedra distachya-type","Fagus","Prunus","Rosaceae","Cannabaceae","Rumex","Populus","Iridaceae","Campanulaceae","Arbutus","Limonium","Secale","Sedum","Alisma","Calystegia","Mercurialis","Tilia","Trapa","Pedicularis","Rubiaceae","Scabiosa"
5068,NA,NA,480,1,2,NA,11,2,11,4,36,7,39,NA,NA,26,1,13,3,10,83,4,10,2,6,NA,NA,1,NA,NA,NA,1,NA,2,NA,3,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5153,NA,NA,490,1,3,1,17,1,8,3,31,11,43,NA,NA,25,1,3,4,21,69,8,7,2,4,NA,NA,6,NA,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5238,NA,NA,500,2,14,NA,24,2,20,10,42,15,57,NA,1,45,1,7,5,20,125,22,8,1,7,NA,NA,7,NA,NA,2,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,5,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
5321,NA,NA,510,1,9,NA,18,NA,8,7,21,15,26,NA,4,37,1,6,5,11,88,9,11,1,NA,NA,NA,2,NA,NA,2,2,2,4,3,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
5403,NA,NA,520,1,10,NA,31,1,19,7,42,16,51,NA,2,53,3,15,8,21,93,27,15,NA,4,NA,NA,2,NA,NA,NA,1,8,3,6,2,9,1,NA,1,NA,NA,2,3,NA,NA,NA,4,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
5485,NA,NA,530,1,8,2,36,4,32,3,44,28,57,NA,3,39,3,4,12,19,99,31,14,4,4,NA,NA,5,NA,NA,NA,2,5,3,3,NA,6,1,1,NA,NA,NA,4,2,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
5566,NA,NA,540,4,11,1,32,4,34,4,28,31,82,NA,9,28,4,7,8,17,97,31,9,7,NA,NA,NA,4,NA,NA,3,NA,11,5,NA,NA,7,2,NA,NA,NA,1,4,NA,NA,NA,1,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5646,NA,NA,550,1,10,1,12,2,32,3,32,14,49,NA,5,16,1,11,2,13,52,20,4,2,3,NA,1,7,NA,NA,1,NA,8,1,NA,NA,2,NA,NA,NA,1,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5725,NA,NA,560,3,4,NA,14,2,34,2,35,18,55,NA,3,17,1,6,6,6,38,26,2,1,2,NA,NA,3,NA,NA,1,NA,8,2,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5803,NA,NA,570,2,8,NA,4,NA,69,5,3,7,13,NA,1,8,1,1,3,15,46,47,NA,3,2,NA,NA,1,NA,NA,NA,NA,7,1,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5881,NA,NA,580,1,3,NA,12,1,58,10,3,12,20,NA,6,5,1,1,5,11,39,41,NA,1,7,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5957,NA,NA,590,2,17,NA,15,4,140,10,3,18,27,NA,2,3,4,1,11,24,36,30,3,5,4,NA,NA,NA,NA,NA,NA,NA,14,3,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6033,NA,NA,600,2,13,1,4,2,90,7,2,12,24,NA,NA,5,2,6,7,15,34,23,1,7,4,NA,NA,NA,NA,NA,NA,NA,13,2,NA,NA,2,1,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
6108,NA,NA,610,1,12,1,12,1,97,17,2,12,32,NA,1,3,2,2,5,14,31,17,3,10,6,NA,1,NA,NA,NA,NA,NA,30,NA,NA,NA,1,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6182,NA,NA,620,2,17,NA,7,1,57,7,2,12,16,NA,1,2,2,1,3,13,29,22,1,4,6,NA,1,NA,NA,NA,NA,NA,19,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
6255,NA,NA,630,NA,6,1,9,2,85,6,NA,9,12,NA,NA,2,1,3,3,20,15,24,2,5,2,NA,NA,NA,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6327,NA,NA,640,3,8,1,9,3,57,8,2,18,25,NA,NA,1,4,4,2,15,18,44,NA,7,8,NA,NA,NA,NA,NA,1,NA,35,2,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6399,NA,NA,650,3,14,NA,29,1,65,18,4,18,38,NA,2,4,2,1,7,19,29,31,1,5,7,NA,1,NA,NA,NA,NA,NA,54,1,2,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
6470,NA,NA,660,2,12,1,13,1,101,10,3,19,35,NA,2,4,4,1,4,18,43,40,NA,3,7,NA,NA,NA,NA,NA,1,NA,65,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
6540,NA,NA,670,NA,9,1,10,1,80,5,3,13,32,NA,2,7,1,1,5,9,19,27,NA,9,5,NA,1,NA,1,NA,NA,NA,44,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
6609,NA,NA,680,3,9,NA,18,3,83,4,4,16,29,NA,4,4,2,4,4,12,30,41,NA,5,9,NA,1,NA,NA,NA,NA,NA,67,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
6677,NA,NA,690,1,14,NA,6,NA,55,1,4,9,16,NA,NA,5,3,1,2,13,31,39,1,3,5,NA,2,NA,NA,NA,1,NA,32,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
6744,NA,NA,700,NA,6,NA,7,2,46,5,2,8,26,NA,1,4,2,2,4,12,30,36,1,11,9,NA,NA,1,NA,NA,NA,NA,30,NA,2,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
6811,NA,NA,710,1,13,2,15,3,55,6,NA,24,35,NA,NA,5,1,10,3,12,40,57,1,11,5,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,1,1,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
6876,NA,NA,720,1,8,1,17,NA,58,8,NA,9,46,NA,NA,7,1,5,3,14,28,43,NA,10,8,NA,1,NA,NA,NA,NA,NA,49,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA
6941,NA,NA,730,1,2,NA,11,1,68,6,2,14,27,NA,2,6,3,2,5,13,40,35,1,17,6,NA,NA,NA,NA,NA,NA,NA,45,4,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
7005,NA,NA,740,1,17,NA,14,2,73,16,4,20,55,NA,NA,4,3,4,3,31,45,65,2,20,14,NA,2,NA,NA,NA,NA,NA,87,1,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7068,NA,NA,750,1,9,1,10,1,47,6,3,14,31,NA,NA,4,2,3,3,20,48,38,NA,11,10,NA,NA,NA,NA,NA,NA,NA,45,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
7131,NA,NA,760,1,15,NA,13,1,55,9,2,18,38,NA,NA,4,1,6,4,19,43,40,NA,16,5,NA,1,NA,NA,NA,NA,NA,56,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7192,NA,NA,770,1,8,1,16,1,73,9,NA,17,36,2,NA,3,2,5,5,14,39,43,NA,11,9,NA,1,NA,NA,NA,NA,NA,68,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
7253,NA,NA,780,2,8,1,17,3,66,6,2,24,46,1,1,3,2,5,2,16,60,28,1,26,9,NA,1,NA,NA,NA,NA,NA,94,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7313,NA,NA,790,3,13,NA,8,3,71,5,NA,20,33,NA,NA,2,1,5,3,19,47,39,3,12,3,NA,2,NA,NA,NA,NA,NA,75,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
7371,NA,NA,800,1,8,1,9,2,57,9,4,17,26,NA,NA,2,NA,1,5,11,37,39,1,13,4,NA,2,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
7430,NA,NA,810,NA,3,NA,NA,1,49,8,3,10,18,NA,NA,3,NA,1,1,9,40,40,1,6,10,NA,2,1,NA,NA,NA,NA,64,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7487,NA,NA,820,2,4,2,8,2,51,19,5,26,20,1,1,NA,1,2,3,15,41,43,1,16,13,NA,2,2,NA,NA,NA,NA,99,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7543,NA,NA,830,1,5,1,7,1,40,5,1,9,15,NA,NA,4,1,8,3,21,37,57,1,6,9,1,2,NA,NA,NA,NA,NA,61,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7599,NA,NA,840,NA,3,1,3,1,26,5,2,9,14,2,2,2,2,1,3,13,34,48,1,7,15,NA,1,1,NA,NA,NA,NA,42,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA
7654,NA,NA,850,2,5,3,17,NA,52,16,8,13,35,1,NA,4,4,3,5,19,69,54,1,17,20,NA,3,1,NA,NA,NA,NA,92,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
7708,NA,NA,860,3,5,2,21,2,43,9,6,14,37,NA,2,5,3,3,4,16,60,47,1,27,19,NA,1,1,NA,NA,NA,NA,75,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7761,NA,NA,870,NA,10,NA,23,1,27,7,1,11,42,NA,NA,1,1,2,1,19,61,25,1,12,12,NA,1,NA,NA,NA,NA,NA,55,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7813,NA,NA,880,4,3,1,18,2,54,9,5,28,40,2,NA,8,1,5,3,25,72,37,1,29,15,NA,1,1,NA,NA,NA,NA,92,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7864,NA,NA,890,2,10,1,17,3,54,10,5,29,58,NA,NA,2,1,9,2,22,61,51,1,15,9,NA,1,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7915,NA,NA,900,4,13,1,15,2,68,13,3,40,36,1,1,4,4,9,8,17,86,51,2,31,10,NA,1,5,NA,NA,NA,NA,96,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7964,NA,NA,910,1,7,NA,7,1,63,9,3,42,42,NA,NA,2,2,5,2,16,76,43,NA,24,10,NA,2,3,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
8013,NA,NA,920,3,4,NA,10,3,50,10,5,32,30,1,NA,3,3,2,5,25,69,40,2,17,23,NA,1,5,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
8061,NA,NA,930,4,4,NA,13,2,39,9,6,18,35,1,2,5,2,3,1,12,62,34,3,18,30,NA,NA,NA,NA,NA,NA,NA,57,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
8108,NA,NA,940,1,3,1,6,2,49,9,4,10,20,NA,1,4,1,7,14,16,57,16,1,18,35,NA,NA,1,NA,NA,NA,NA,38,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
8155,NA,NA,950,NA,10,1,16,NA,48,15,1,35,42,NA,NA,3,1,3,6,12,93,62,1,23,9,NA,1,NA,NA,NA,1,NA,69,1,10,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
8200,NA,NA,960,NA,6,1,11,3,47,13,4,32,25,NA,NA,7,2,5,5,14,74,37,3,17,10,NA,1,NA,NA,NA,NA,2,87,1,14,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA
8245,NA,NA,970,NA,14,NA,26,4,79,14,7,51,54,NA,1,6,5,1,7,23,107,55,2,18,5,NA,1,1,NA,NA,NA,NA,81,NA,21,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1
8289,NA,NA,980,NA,19,1,16,4,104,9,8,54,54,1,NA,1,3,7,7,19,109,54,5,20,18,NA,NA,1,NA,NA,NA,1,36,1,20,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
