depth,Polycarpaea,Salvadora/Dobera,Chenopodiaceae/Amaranthaceae,Bombax/Ceiba,Elaeis guineensis,Rhizophora,Aneilema,Alnus,Borreria,Indetermines,Alchornea,Cyperaceae,Calligonum,Betula,Maerua,Ephedra fragilis-type,Arecaceae,Papilionoideae,Phyllanthus,Crossopteryx,Euphorbia,Uapaca,Celtis,Combretaceae/Melastomataceae,Corylus,Gramineae,Trichilia-type,Plantago,Pinus,Artemisia,Hymenocardia,Cassia-type,Tubuliflorae,Fungal spores,Caylusea,Cleome,Polycarpon,Quercus,Tilia,Crudia-type,Trichodesma,Boscia,Rhus,Acanthaceae,Butyrospermum,Ziziphus,Acacia,Heliotropium-type,Zygophyllum/Peganum,Sterculiaceae,Rubiaceae,Commiphora,Liguliflorae,Typha/Sparganium,Justicia,Boswellia,Macaranga-type,Euphorbiaceae,Aeschynomene-type,Sesbania-type,Tephrosia-type,Lannea,Baphia-type,Nauclea latifolia-type,Bosquiea,Brassicaceae,Bridelia,Gaertnera,Ephedra distachya-type,Manilkara-type,Xylia/Mimosa,Cissus,Canthium,Hyphaene,Cistus,Picconia,Limoniastrum/Limonium,Balanites,Sapotaceae/Meliaceae,Clematis,Triumfetta,Polynogum acuminatum,Hibiscus-type,Diospyros,Eugenia/Syzygium,Antrocaryon-type,Indigofera-type,Capparis,Podocarpus,Caryophyllaceae,Cadaba,Ilex,Acalypha,Sterculia-type,Dodonaea,Lophira,Oleaceae,Ixora,Connaraceae,Hygrophila,Entada sclerata,Tetrorchidium,Pterocarpus,Sapium,Abelia,Iodes,Vigna,Cuviera
2.5,2,2,7,1,26,14,1,1,10,2,26,19,1,2,1,1,1,2,1,2,1,1,1,8,1,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,,,,,5,5,,2,,,3,3,4,1,,1,,,,1,,,,2,1,187,,1,1,1,1,1,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,1,,,,,,,,,1,,,,,,,,,,,,,1,21,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5,,,,,,,,1,,,,1,,,1,,,,,,,,,,5,34,,,1,,,,1,10,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5,,,5,,8,4,,1,,1,,7,1,,,,,1,2,,2,,,25,3,105,,2,,1,17,,7,29,,1,,,1,1,1,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.5,,,9,,5,3,,,1,11,4,61,1,,2,32,,1,1,,1,,,21,,337,,3,2,3,14,,9,111,,1,3,,,,1,2,,,6,2,3,2,1,11,2,2,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.5,,1,8,,3,5,,,,5,6,28,,,1,28,,,,,1,,,8,,261,,1,,6,8,,9,141,,2,10,,,,,,,,9,1,1,1,1,3,,3,1,6,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.25,,,24,,1,18,,2,2,17,13,19,,,,35,3,,2,,1,,,37,,272,5,,1,,25,9,13,104,,,,,,,,,,1,2,,2,7,,,2,,,7,,,,1,1,3,1,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.75,,,1,,,2,,1,,6,1,3,,,,3,,,,,,,,9,,50,3,,4,31,1,1,2,27,,,,,1,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.25,,,,,1,3,,,,2,1,1,,,,,,,,,2,,,3,,26,,,1,1,,,1,37,,,,,,,,,,,,,,,,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.75,,,5,,4,,,,,6,6,53,,2,4,2,2,,,8,,,,14,1,100,,2,5,,2,3,,124,,,2,1,,,,,,,1,,,,,,,,,3,,,,2,,,,1,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.75,,,10,,4,6,,,2,15,6,67,,1,6,6,,,2,,,1,,24,,234,,,1,5,3,5,9,149,,,,,,,,,,,,,,,,6,,2,2,,,,,,1,1,1,4,1,1,,,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.75,,,1,,4,,,1,,2,,4,,,1,,,,,1,,,,6,,23,,1,2,7,4,,1,50,,1,,,2,,,,,,,,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,1,,1,,,1,,,,3,,,,1,,,,,,,,,1,34,,3,1,,,,,126,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,2,,,,1,1,4,,1,,,,,,,,,,2,,35,,,1,2,,,1,115,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.75,,,,,,,,,,1,,5,,1,,6,,,,,,,,,,37,1,,1,2,,,,99,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.75,,,3,,,5,,,,10,3,23,,3,,6,,,1,,1,,,18,,110,2,,3,10,,3,5,101,,,,1,,,,,,,,,3,,,8,,,,4,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.75,,,10,,3,6,,,,10,3,39,,,4,9,,,,,,,3,21,1,201,1,2,3,8,2,1,3,125,,,,,1,,,,,,,,,,,8,1,1,1,5,,,,2,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.25,,,12,,7,7,,,,5,4,50,,,1,9,,1,2,,2,,,31,2,129,1,1,3,4,1,1,1,60,,2,,1,,,,,,,2,,1,,,1,,,1,2,,,,,,1,,13,1,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.5,,,15,,3,15,,2,,11,4,20,,,1,6,,,2,,,,,,,246,,,1,2,5,13,2,90,,1,,,4,,,,,,,,,,,28,,,4,2,,,,,,,,16,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
