Depth,Age (ky BP),Quercus calliprinos type,Quercus ithaburensis type,Pinus,Cedrus libani,Abies,Podocarpus,Picea,Dacrydium,Tsuga,Pistacia sp.,Olea,Phillyrea sp.,Fraxinus,Rosaceae,Ceratonia,Betula,Ostrya,Carpinus,Corylus,Alnus,Ziziphus,Salix,Ericaceae,Acacia,Acacia albida,Cupressus,Juniperus,Rhus,Tamarix,Rhamnus,Rutaceae,Ulmus,Acer,Tilia,Cercis,Populus,Castanea,Vitis,Poaceae,Cereal type,Asteraceae Asteroideae,Asteraceae Cichorioideae,Artemisia sp.,Echinops,Centaurea,Bunium type,Ferula type,Sium (apium) type,Bupleurum type,Malabila type,Turgenia type,Anisociadium type,Pimpinella type,Atriplex type,Aellenia type,Chenopodium type,Noaea type,Fabaceae,Bellevalia type,Allium type,Asphodelus type,Ephedra fragilis type,Ephedra distachya type,Lamiaceae (tricolpe),Lamiaceae (stephanocolpe),Rubiaceae,Brassicaceae,Caryophyllaceae,Boraginaceae,Plantago,Plantago lanceolats,Polygonaceae,Rumex ,Papaveraceae,Ranunculaceae,Scrophulariaceae,Cistaceae,Combretaceae,Euphorbiaceae,Caprifoliaceae,Saxifragaceae,Dipsaceae,Geraniaceae,Primulaceae,Crassulaceae,Gentianaceae,Zygophyllaceae,Myrtus,Malvaceae,Solanaceae,Valerianaceae,Amaryllidaceae,Salvadoraceae,Loranthus,Acanthaceae,Thymelaea,Campanulaceae,Epilobium,Orobanchaceae,Icacinaceae,Aristolochiaceae,Sparganium sp.,Cyperus,Typha ,Potamogeton,Lemna,Nymphaeaceae,Myriophyllum,Elatinaceae,Sphaganaceae,Thelypteridaceae,Pteris,Dryopteris,Asplenium,Polypodiaceae,Botrichium,Hypolepidaceae,Isoetaceae,Cyatheaceae,Lycopodiaceae,Encephalartos,Cycas,Mohria,sequoiadendron,Cryptomeria,Equisetaceae,Osmundaceae,Hymenophyllaceae,Selaginellaceae,Conncentricystes rubinus,Botryococcus,Fungal,Hystrichosphaeridium israelianum,Hystrichosphaeridium,Hystrichosphaera,Pterospermopsis van campo,Operculodinium,Polysphaeridium zohary,Spiniferites,Baltisphaeridium machaerophorum,Baltisphaeridium israelianum
300,17,4,7,13,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,61,1,0,0,0,0,0,0,0,0,0,69,0,1,4,1,0,0,0,11,3,0,3,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,5,3,0,0,0,19,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,120,0,0,0,0,0,0,0,0,0
323,18.8,2,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,3,45,0,1,2,0,0,0,0,0,0,0,86,0,1,2,1,0,1,0,9,7,3,0,0,3,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,1,3,1,0,0,23,0,0,7,3,0,5,0,0,0,3,0,0,0,0,0,2,1,0,0,12,1,43,0,0,0,0,0,0,0,2,0
341,19.69,8,0,26,9,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,73,0,1,3,0,0,0,0,0,0,0,31,0,0,0,6,0,1,0,17,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,0,0,0,0,31,0,2,2,1,0,7,0,0,0,1,0,0,0,0,1,0,0,1,0,14,0,18,0,0,0,0,0,0,0,0,0
361,21.03,8,2,16,3,15,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,42,0,1,0,0,0,0,0,0,0,0,72,0,5,3,1,1,0,0,8,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,6,0,0,0,21,1,2,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0,0
381,22.4,3,0,22,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,41,0,0,0,0,0,0,0,1,0,0,77,0,1,1,2,1,2,0,20,2,2,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,0,0,1,0,44,0,1,1,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,1,10,0,21,0,0,1,0,0,0,0,0,0
401,23.69,2,1,18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,1,63,0,0,3,1,0,0,0,0,0,0,63,0,0,1,6,0,2,3,15,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,2,5,3,0,0,21,0,2,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0
411,24.27,6,1,56,6,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,66,0,0,0,0,0,0,0,0,0,0,53,0,3,3,0,0,2,0,9,3,2,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,7,1,0,0,0,30,0,2,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,84,0,0,0,0,0,0,1,0,0
421,24.73,2,3,39,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,51,0,0,2,0,0,0,0,0,0,0,57,0,3,7,2,0,0,0,15,4,3,1,0,4,2,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,28,0,12,0,0,0,0,44,0,1,1,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,1,10,1,21,0,0,0,0,0,0,0,0,0
431,25.24,2,1,53,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,51,0,0,1,0,0,0,0,0,0,0,37,0,1,1,3,0,0,0,11,6,3,0,0,1,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,1,0,0,0,31,1,3,1,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,1,10,0,116,0,0,0,0,0,0,0,0,1
441,25.64,0,1,40,4,1,1,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,77,0,1,2,0,0,0,0,0,0,0,40,0,3,3,0,0,1,0,10,3,0,2,0,1,2,0,0,1,0,0,0,0,3,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,3,5,0,0,0,23,1,2,1,0,0,4,0,0,0,5,0,0,0,0,3,0,0,0,1,7,0,22,0,0,0,0,0,0,0,0,0
452,26.12,6,0,40,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,38,0,0,0,0,0,0,0,0,0,0,56,0,0,0,4,2,0,0,10,4,1,1,0,2,2,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,14,0,0,0,0,17,1,0,4,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,14,0,108,0,0,0,0,0,0,2,0,0
463,26.6,2,1,28,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,1,66,0,0,0,0,0,0,0,0,0,0,60,0,0,2,2,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,0,6,4,0,0,0,38,0,18,2,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,8,0,102,0,0,0,0,0,0,0,0,2
473,27,6,0,44,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,36,0,2,2,0,0,0,0,0,0,0,52,0,2,2,2,0,2,0,10,2,0,0,0,0,2,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,2,0,0,0,32,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,8,0,31,0,0,2,0,0,0,0,0,0
483,27.4,4,1,26,0,1,0,0,0,0,0,2,7,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,7,0,62,0,0,3,0,0,0,0,0,0,0,51,0,2,7,0,0,0,0,10,1,2,0,0,1,1,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,0,5,3,0,1,0,28,1,1,4,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,1,4,0,27,0,0,0,0,2,0,0,0,0
501,28.8,7,1,41,2,0,1,0,0,0,0,4,2,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,51,1,1,0,0,0,0,0,0,0,0,63,0,1,2,4,4,0,0,9,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,2,0,0,0,0,23,0,3,3,2,0,1,0,0,0,1,1,0,0,0,2,0,0,2,1,7,0,76,0,0,0,0,0,0,0,0,0
535,30.14,3,1,31,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,53,0,1,1,0,0,0,0,0,0,0,73,0,5,0,1,1,0,0,8,5,3,0,0,2,1,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,11,3,0,0,0,24,1,0,11,0,0,8,0,0,0,7,0,0,0,0,11,0,0,0,1,4,0,51,0,0,0,0,0,0,0,0,1
560,31.22,2,6,64,8,0,4,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,30,0,0,0,4,0,0,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0,0,0,0,54,0,6,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
581,32.17,2,0,22,3,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,28,0,2,0,0,0,0,0,0,0,0,54,0,2,0,2,0,0,0,10,4,4,0,0,2,4,0,0,0,4,0,0,4,4,0,2,0,0,0,0,0,2,8,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,78,0,4,6,0,0,0,56,0,0,18,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,10,4,40,0,0,0,0,0,0,0,1,0
601,33.55,6,2,31,2,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,5,0,48,0,0,1,0,0,0,0,0,0,0,39,1,0,1,5,0,1,0,13,6,7,0,1,0,2,0,1,1,3,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,5,0,0,0,0,28,2,7,2,1,0,10,0,0,0,0,1,0,1,0,4,0,0,0,2,6,0,130,0,0,0,0,0,0,0,0,0
621,33.94,1,3,30,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,7,0,54,0,1,1,0,0,1,1,0,0,0,56,0,2,4,4,1,0,0,18,0,2,0,1,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,43,0,7,0,0,0,0,46,2,1,3,2,11,3,0,0,0,2,1,0,0,0,5,0,0,2,0,15,1,22,0,0,0,0,0,0,0,0,0
641,34.46,2,4,50,2,2,4,0,0,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,33,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,2,0,0,1,2,0,2,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,54,0,20,0,0,0,0,41,1,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,22,0,0,0,0,0,0,0,0,0
653,34.78,3,1,52,7,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,46,0,0,2,0,0,0,0,0,0,0,46,0,0,3,2,0,0,0,16,6,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,41,0,13,0,0,0,0,58,0,1,2,0,0,1,0,0,0,5,0,0,0,1,2,0,0,0,0,9,0,29,0,0,1,0,0,0,0,0,0
662,35.18,1,0,6,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,53,0,0,0,0,0,0,0,1,0,0,67,0,7,2,1,0,0,0,29,1,0,1,1,0,3,0,0,0,2,0,0,2,1,1,1,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,1,0,0,0,29,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,2,5,0,1,1,8,0,0,0,0,0,0,0,0,0
685,35.9,4,1,33,8,4,3,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,2,1,1,49,1,1,1,0,0,0,0,0,0,0,35,0,1,2,4,3,0,0,14,4,2,0,0,0,4,0,0,0,4,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,58,0,7,2,0,0,0,22,2,0,6,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,5,1,10,1,0,0,0,0,0,0,0,0
710,37.4,2,2,50,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,4,6,67,0,0,0,0,0,0,0,0,0,0,42,0,4,0,4,0,1,0,23,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,8,0,0,0,0,76,2,10,12,0,0,3,2,0,0,11,0,0,0,0,0,0,0,0,0,10,0,44,0,0,0,0,0,0,0,0,0
735,39.4,9,3,33,3,1,1,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,4,0,54,0,1,2,0,0,0,0,0,0,0,41,1,1,1,1,1,1,0,12,2,5,1,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,75,0,9,1,0,0,0,52,2,4,4,0,2,0,0,0,0,11,2,0,0,0,3,0,0,5,1,9,4,8,1,0,0,0,0,0,0,0,0
755,41,7,2,38,4,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,44,0,0,1,0,0,0,0,1,0,0,57,0,1,3,1,0,0,0,9,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,0,1,3,0,0,0,37,1,1,5,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,8,1,10,0,0,0,0,0,0,0,1,0
781,43.05,1,0,44,0,4,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,1,57,0,1,1,0,0,1,0,0,0,0,49,0,4,2,0,2,0,0,9,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,8,2,0,0,0,66,1,3,28,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,4,4,73,0,0,0,0,0,0,1,0,0
801,43.82,5,1,47,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,11,0,53,0,0,3,0,0,0,0,0,0,0,39,0,2,11,2,0,1,0,15,6,2,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,4,2,0,0,0,37,1,0,3,0,0,4,2,0,0,4,0,0,0,1,2,0,3,0,0,6,0,34,0,0,0,0,0,0,0,0,0
820,44.3,5,2,49,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,48,1,0,2,0,0,0,0,0,0,0,34,0,7,6,5,0,0,0,13,0,3,1,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,0,4,5,0,0,0,19,0,2,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,3,2,24,0,0,0,0,0,0,0,0,0
825,44.44,16,9,22,2,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,2,0,0,0,0,0,0,0,0,0,64,1,1,1,2,6,1,0,18,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,6,0,0,0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,10,0,0,0,0,0,0,0,1,0
835,44.72,0,0,26,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,6,0,62,0,0,2,0,0,0,0,0,0,0,56,0,0,2,0,0,0,0,14,6,0,0,0,0,4,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,48,0,22,3,0,2,0,46,0,0,8,0,0,6,0,0,0,2,0,0,0,2,4,0,0,0,0,6,10,38,0,0,0,0,0,0,0,0,0
845,44.01,2,1,13,1,5,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,1,88,0,0,2,0,0,1,0,0,0,0,38,1,2,2,3,0,0,0,7,2,0,2,0,3,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,13,3,0,0,0,34,2,2,3,0,0,1,0,0,0,7,0,0,0,0,2,0,0,0,2,2,1,46,1,0,0,0,0,0,0,0,0
851,45.15,6,0,30,6,0,2,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,4,2,0,44,0,0,0,0,0,0,0,0,0,0,42,0,10,0,2,0,1,0,12,2,0,0,0,0,2,0,0,0,4,1,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,24,1,8,0,0,0,0,56,6,2,4,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,16,0,36,0,0,0,0,0,1,0,0,0
861,45.43,6,2,42,0,6,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,64,0,0,2,0,0,0,0,0,0,0,48,0,2,0,4,1,1,0,20,2,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,12,0,6,0,0,42,0,2,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,36,0,0,0,0,0,0,0,2,0
871,45.72,8,1,48,6,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,5,0,60,0,0,0,0,0,0,0,0,0,0,40,0,0,0,3,1,0,0,9,5,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,51,0,12,0,0,0,0,6,0,1,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,48,0,0,0,0,0,0,0,1,0
881,45.99,0,0,80,12,0,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,28,0,0,0,0,0,0,0,0,0,0,36,0,4,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,12,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0
885,46.14,16,6,92,6,10,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,26,0,0,1,0,0,0,0,0,0,0,26,0,1,1,0,0,0,0,17,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,7,1,0,0,0,9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0
891,46.26,4,0,32,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,62,0,0,0,0,0,0,0,0,0,0,54,0,2,2,0,0,0,0,16,8,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,30,0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,12,2,46,0,0,0,0,0,0,0,0,0
905,46.64,2,2,28,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,10,0,64,0,2,6,0,0,0,0,0,0,0,64,0,4,2,2,0,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,58,0,4,4,0,0,6,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0
925,47.19,3,1,20,7,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,0,63,0,0,0,0,0,0,0,0,0,0,49,0,4,1,6,2,0,0,11,4,3,3,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,42,1,5,1,0,0,0,38,0,3,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,9,0,25,0,0,0,0,0,0,0,0,0
945,47.74,10,2,59,17,8,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,7,0,36,0,0,0,0,1,0,0,0,0,0,29,0,0,0,2,0,0,0,17,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,35,0,12,0,0,0,0,86,0,5,1,2,0,6,0,0,0,4,0,0,0,0,0,0,5,2,2,17,0,80,0,0,0,1,0,0,0,0,0
970,48.43,4,2,51,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,67,0,1,1,0,0,0,0,0,0,0,36,0,3,2,4,0,0,0,15,4,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,3,5,0,0,0,13,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,60,0,0,0,0,0,0,2,1,0
985,48.85,5,1,41,23,3,0,1,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,63,2,0,0,0,0,0,0,0,0,0,46,0,2,0,6,1,0,0,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,6,0,0,0,0,59,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,36,1,0,0,0,0,0,0,0,0
