Depth,Age (ky BP),Quercus calliprinos type,Quercus ithaburensis type,Pinus,Cedrus libani,Abies,Podocarpus,Picea,Dacrydium,Tsuga,Pistacia sp.,Olea,Phillyrea sp.,Fraxinus,Rosaceae,Ceratonia,Betula,Ostrya,Carpinus,Corylus,Alnus,Ziziphus,Salix,Ericaceae,Acacia,Acacia albida,Cupressus,Juniperus,Rhus,Tamarix,Rhamnus,Rutaceae,Ulmus,Acer,Tilia,Cercis,Populus,Castanea,Vitis,Poaceae,Cereal type,Asteraceae Asteroideae,Asteraceae Cichorioideae,Artemisia sp.,Echinops,Centaurea,Bunium type,Ferula type,Sium (apium) type,Bupleurum type,Malabila type,Turgenia type,Anisociadium type,Pimpinella type,Atriplex type,Aellenia type,Chenopodium type,Noaea type,Fabaceae,Bellevalia type,Allium type,Asphodelus type,Ephedra fragilis type,Ephedra distachya type,Lamiaceae (tricolpe),Lamiaceae (stephanocolpe),Rubiaceae,Brassicaceae,Caryophyllaceae,Boraginaceae,Plantago,Plantago lanceolats,Polygonaceae,Rumex ,Papaveraceae,Ranunculaceae,Scrophulariaceae,Cistaceae,Combretaceae,Euphorbiaceae,Caprifoliaceae,Saxifragaceae,Dipsaceae,Geraniaceae,Primulaceae,Crassulaceae,Gentianaceae,Zygophyllaceae,Myrtus,Malvaceae,Solanaceae,Valerianaceae,Amaryllidaceae,Salvadoraceae,Loranthus,Acanthaceae,Thymelaea,Campanulaceae,Epilobium,Orobanchaceae,Icacinaceae,Aristolochiaceae,Sparganium sp.,Cyperus,Typha ,Potamogeton,Lemna,Nymphaeaceae,Myriophyllum,Elatinaceae,Sphaganaceae,Thelypteridaceae,Pteris,Dryopteris,Asplenium,Polypodiaceae,Botrichium,Hypolepidaceae,Isoetaceae,Cyatheaceae,Lycopodiaceae,Encephalartos,Cycas,Mohria,sequoiadendron,Cryptomeria,Equisetaceae,Osmundaceae,Hymenophyllaceae,Selaginellaceae,Conncentricystes rubinus,Botryococcus,Fungal,Hystrichosphaeridium israelianum,Hystrichosphaeridium,Hystrichosphaera,Pterospermopsis van campo,Operculodinium,Polysphaeridium zohary,Spiniferites,Baltisphaeridium machaerophorum,Baltisphaeridium israelianum
106,6.41,27,2,43,5,7,1,0,0,0,0,9,5,1,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,5,2,7,0,1,1,0,0,0,0,1,0,0,35,0,8,6,4,1,5,1,4,3,4,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,2,4,0,0,0,6,1,8,20,0,0,0,0,0,15,0,0,1,0,0,1,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,2
116,7.2,14,5,43,4,7,0,0,0,0,0,2,8,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,0,7,0,0,3,0,1,0,0,0,0,0,63,0,1,7,4,0,0,0,11,2,2,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,1,2,0,0,0,6,0,1,8,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,6,0,35,0,0,0,0,0,0,0,0,1
121,7.45,17,14,28,1,2,0,0,0,0,0,3,4,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,7,0,13,0,1,5,0,3,0,0,0,0,0,86,0,5,0,4,0,0,0,7,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,0,0,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0
126,7.75,31,18,8,0,3,0,0,0,0,0,2,8,1,0,0,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,6,0,0,7,0,0,0,0,0,1,0,82,0,3,0,12,3,3,0,11,0,1,1,0,0,6,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,8,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
133,8.01,22,6,23,1,0,0,0,0,0,0,6,10,3,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,8,5,3,0,10,0,0,3,0,0,0,0,0,0,0,81,0,4,5,3,0,1,1,13,0,2,0,0,1,0,0,0,0,0,4,0,4,4,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,3,5,0,0,0,0,0,0,12,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,61,1,0,0,2,0,0,0,0,0
136,8.16,7,5,20,1,1,0,0,0,0,2,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8,0,32,0,2,2,0,1,0,0,0,0,1,71,0,3,6,2,0,0,1,10,2,2,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,32,0,8,0,0,0,0,13,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,21,0,0,0,0,5,0,0,0,0
138,8.25,27,8,7,0,1,0,0,0,0,0,2,9,5,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,21,5,8,1,6,0,1,4,0,1,0,0,0,0,0,87,0,7,4,1,0,0,0,2,1,3,0,0,1,1,0,4,0,0,2,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
142,8.45,19,7,11,0,1,0,0,0,0,0,1,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,13,3,13,0,0,9,0,0,0,0,0,0,3,98,0,3,3,2,0,0,0,20,0,1,0,0,1,0,0,0,1,0,2,0,2,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,6,6,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0
157,9.15,20,21,3,0,0,0,0,0,0,0,7,11,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,6,0,1,4,1,0,0,0,0,2,1,71,0,15,5,3,3,2,0,10,2,4,0,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,24,248,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3
163,9.44,43,10,1,0,0,0,0,0,0,0,3,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,0,6,0,0,5,1,0,1,2,0,0,2,95,0,1,6,3,0,1,0,11,1,5,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,1,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,4
