"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Apiaceae","Vitis","Asteroideae","Rumex acetosa-type","Juniperus","Helianthemum","Galium-type","Filipendula","Cedrus","Erodium","Plantago media-type","Delphinium-type","Aconitum-type","Fraxinus ornus","Plantago maritima-type","Pimpinella-type","Ranunculus peltatus-type","Leontice leontopetalum","Pteridium","Salix","Thalictrum","Alnus","Pistacia","Theligonum","Fraxinus excelsior","Isoëtes","Poaceae (Cerealia-type)","Bunium-type","Corylus","Senecio-type","Dryopteris-type","Quercus coccifera-type","Plantago lanceolata-type","Juglans","Pinus","Centaurea solstitialis-type","Olea","Matricaria-type","Cyperaceae","Sanguisorba-type","Amaranthaceae","Caryophyllaceae","Cichorioideae","Polygonum aviculare-type","Myriophyllum spicatum/M. verticillatum","Quercus robur/Q. cerris","Brassica-type","Artemisia herba-alba-type","Poaceae","Sparganium-type","Ericaceae","Hypericum","Sambucus","Ulmus","Bupleurum-type","Eryngium-type","Lotus-type","Daphne","Spergularia-type","Teucrium","Capsella-type","Ephedra distachya-type","Plantago coronopus-type","Thymus/Mentha","Anchusa/Pulmonaria","Asphodelus albus-type","Datisca","Mercurialis-type","Anisosciadium-type","Cirsium/Gundelia","Noaea-type","Ostrya/Carpinus orientalis","Ranunculus repens-type","Scilla-type","Saxifraga exarata-type","Allium","Trifolium-type","Carthamus","Ranunculus sceleratus-type","Euphorbia","Elaeagnus","Typha latifolia","Humulus/Cannabis","Matthiola","Butomus","Fraxinus angustifolia subsp. oxycarpa-type","Caltha","Nymphaea","Lythrum","Ephedra fragilis-type","Apium-type","Arctium/Jurinea","Ranunculus parviflorus-type","Nigella","Bryonia","Botrychium","Alisma","Xanthium","Stachys-type","Malva","Centaurea cyanus-type","Filago-type","Lomelosia rotata-type","Thelypteris palustris-type","Geranium","Prunus-type","Gentiana","Campanula-type","Rhamnus","Persicaria maculosa-type","Convolvulus","Cousinia","Silene-type","Anagallis","Dipsacus-type","Turgenia-type","Chrozophora","Inula-type","Castanea","Fabaceae","Artemisia vulgaris-type","Hedera","Solanum dulcamara","Viburnum-type","Ranunculus asiaticus-type","Myrica","Carpinus betulus","Onopordum-type","Thesium","Ranunculus sect. Batrachium-type","Fagus","Nuphar","Platanus","Linum","Myriophyllum alterniflorum","Plantago major-type","Tamarix","Buxus","Myrtus","Ferula-type","Periploca","Rhinanthus-type","Potentilla-type","Juniperus sabina","Psoraleeae","Hibiscus","Glaucium","Helleborus","Paliurus","Urtica dioica-type","Heliotropium-type","Jasione-type","Vicia-type","Galanthus","Taxus","Halothamnus-type","Armeria/Limonium","Psylliostachys","Hyoscyamus","Knautia","Valerianella","Phillyrea","Atropa","Rosa-type","Descurainia","Rhus","Populus","Ononis-type","Acer","Styrax","Hypericum perforatum-type","Onobrychis-type","Prosopis","Fagopyrum","Scrophularia/Verbascum/Digitalis","Spinacia-type","Punica","Picea","Adonis","Epilobium","Cladium mariscus","Verbascum-type","Menyanthes trifoliata","Asperula-type","Abies","Cornus sanguinea","Maianthemum","Urtica pilulifera-type","Amaranthus-type","Aquilegia-type","Tofieldia","cf. Atraphaxis","Hypericum hirtellum var. assyriacum-type","Micranthes nivalis-type","Cyclamen","Boraginaceae","Cotinus coggygria","Saxifraga rosacea","Papaver","Lathyrus-type","Hedysarum/Ebenus","cf. Myricaria","Malabaila","Asparagus-type","Phlomis","Tribulus","cf. Orobanche","Acanthus","Tilia","Biscutella","Dioscorea communis","Verbena","Scabiosa columbaria-type","cf. Genista","Hypecoum","Dorycnium hirsutum"
5063,NA,NA,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,5,8,12,13,13,15,15,17,17,19,22,23,23,27,28,35,49,83,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5438,NA,NA,50,NA,8,2,NA,4,1,1,3,NA,1,NA,NA,NA,NA,6,NA,1,2,NA,11,3,1,3,NA,3,NA,6,1,7,1,7,7,12,9,8,37,20,10,27,42,40,28,17,51,20,29,21,62,53,171,159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5813,NA,NA,60,NA,4,4,NA,2,2,1,1,NA,1,NA,NA,NA,NA,NA,3,NA,1,NA,8,4,NA,NA,1,3,NA,6,NA,2,2,3,7,16,2,12,30,19,11,22,43,20,20,18,49,12,3,17,53,38,118,101,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6188,NA,NA,70,NA,5,1,NA,1,3,NA,NA,NA,NA,NA,2,NA,NA,14,3,NA,NA,NA,3,2,4,8,1,2,NA,13,3,2,2,13,15,12,3,6,18,22,6,20,36,28,31,24,55,20,5,42,53,47,150,120,NA,NA,NA,1,1,3,NA,NA,NA,NA,1,4,NA,1,NA,NA,1,NA,NA,1,NA,4,NA,NA,NA,NA,4,1,2,1,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6563,NA,NA,80,1,8,6,NA,1,3,1,3,NA,1,NA,NA,NA,NA,9,5,NA,NA,NA,7,1,2,2,NA,2,1,12,2,1,1,5,29,25,4,6,13,37,19,37,55,22,42,13,30,42,2,18,32,65,77,79,1,3,1,NA,1,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,2,4,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6938,NA,NA,90,1,7,2,NA,2,NA,NA,1,NA,4,NA,NA,NA,NA,20,1,NA,NA,NA,5,4,2,6,NA,1,NA,15,3,5,NA,2,41,23,5,11,14,24,40,31,105,42,58,21,22,54,1,20,13,146,105,92,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,1,NA,2,NA,3,NA,NA,NA,NA,6,2,NA,1,5,5,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,2,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7313,NA,NA,100,1,6,2,NA,1,3,NA,NA,NA,2,NA,1,NA,NA,4,NA,1,NA,NA,3,4,2,1,2,NA,NA,9,5,3,NA,8,10,19,3,14,20,14,8,24,64,14,32,15,24,25,NA,20,7,66,96,49,2,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,3,1,NA,NA,NA,1,2,3,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7688,NA,NA,110,4,3,6,NA,3,2,NA,1,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,1,4,1,8,1,1,NA,5,4,4,2,2,7,7,2,2,18,29,15,19,33,12,10,16,9,15,1,12,18,40,30,32,3,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,2,NA,1,2,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8063,NA,NA,120,NA,13,3,NA,5,1,NA,1,NA,1,NA,NA,NA,NA,6,2,NA,NA,NA,4,2,7,2,3,2,NA,9,4,1,1,7,3,30,9,11,9,21,27,28,101,22,31,21,37,20,3,19,2,52,119,65,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,2,1,5,NA,NA,NA,NA,2,NA,NA,NA,3,3,1,NA,NA,NA,NA,NA,4,1,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8438,NA,NA,130,1,6,1,NA,3,7,1,NA,NA,NA,NA,NA,NA,NA,17,1,1,NA,NA,NA,9,NA,1,NA,NA,NA,11,5,3,NA,12,6,25,1,10,14,28,26,19,73,18,50,24,48,26,4,31,14,92,85,55,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,2,NA,NA,NA,4,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,2,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
