"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cannabis sativa","Ranunculus-type","Secale","Spergula-type","Cistus","Sambucus nigra","Ceratonia siliqua","Silenoideae-type","Urtica membranacea-type","Cuscuta","Prunus-type","Salix","Xanthium","Ruppia","Liliaceae-type","Castanea sativa","Ephedra fragilis-type","Quercus cerris-type","Vitis","Poaceae (Cerealia)","Mercurialis annua","Quercus ilex-type","Artemisia","Apiaceae","Asteroideae","Anthemis-type","Urtica dioica-type","Rumex acetosella","Tamarix","Sparganium-type","Cyperaceae","Pinus","Amaranthaceae-type","Poaceae","Cichorioideae","Juniperus-type","Brassicaceae","Olea","Lycopodium spike","Charcoal","Ulmus","Zea mays","Rosaceae","Plantago lanceolata-type","Eucalyptus","Genista-type","Hypericum perforatum-type","Plantago coronopus-type","Alisma-type","Alnus glutinosa-type","Chamaerops humilis","Selaginella denticulata","Pistacia","Fraxinus excelsior-type","Cistaceae","Ostrya-type","Myriophyllum alterniflorum","Corylus avellana","Paronychia-type","Phillyrea","Lythrum","Thalictrum","Rubiaceae","Astragalus-type","Urtica pilulifera","Pteridophyta (monolete) undiff.","Eryngium","Silene vulgaris-type","Polygonum aviculare-type","Sagittaria","Fabaceae","Mentha-type","Persicaria maculosa-type","Convolvulus","Echium","Asphodelus albus-type","Erica arborea-type","Agrostemma githago","Cynoglossum officinale-type","Isoëtes","Amaranthus","Fagus sylvatica","Borago officinalis","Quercus pubescens-type","Celtis australis","Geranium","Helianthemum","Plantago maritima-type","Papaver rhoeas-type","Pteris cretica","Boraginaceae","Caltha-type","Cerinthe","Juglans regia","Fraxinus ornus","Scrophularia-type","Aesculus","Utricularia","Scabiosa","Asparagus","Pteridium aquilinum","Riccia","Citrus","Heliotropium","Centranthus","Ophioglossum lusitanicum","Myrtus communis","Theligonum cynocrambe","Lotus-type","Solanum dulcamara","Buxus sempervirens","Anthoceros laevis","Lamiaceae","Ranunculus acris-type","Trifolium pratense-type","Potentilla-type","Carduus","Sedum-type","Teucrium","Hedera helix","Anthoceros punctatus","Linaria-type","Rumex obtusifolius-type","Fumana","Euphorbia","Polypodium","Picea","Viola","Cirsium","Serratula-type","Cheilanthes-type","Lygeum spartum","Potamogeton-type","Carpinus betulus","Pisum sativum","Osmunda regalis","Linum usitatissimum","Veronica","Typha latifolia-type","Populus","Ornithogalum-type","Valeriana officinalis-type","Sphagnum","Allium-type","Daphne","Vicia-type","Sorbus-type","Botrychium","Platanus","Bupleurum","Centaurea nigra-type","Ilex aquifolium","Gladiolus-type","Rhamnus","Betula","Pinus subg. Pinus","Daucus","Calendula","Ammi-type","Glomus","Apium-type","Peucedanum-type","Cyperus-type","Sporormiella","Malvaceae","Scilla-type","Anemone hortensis-type","Rubus","Polygonatum","Ranunculus sect. Batrachium","Ligustrum","Limonium","Knautia","Linum austriacum-type","Luzula","Phragmites-type","Pimpinella major-type","Taxus baccata","Medicago falcata-type","Gelasinospora","Aster-type","Pinus subg. Strobus","Dinoflagellata","Anthyllis","Bituminaria bituminosa","Nerium oleander","Mercurialis perennis","Chaerophyllum hirsutum-type","Cerastium-type","Geum-type","Carlina","Ambrosia","Myriophyllum spicatum","Nymphaea","Euphrasia-type","Gnaphalium-type","Reseda","Sideritis","Diporotheca","Ustulina deusta","Bidens-type","Sanguisorba officinalis","Silene dioica-type","Centaurium","Trifolium repens-type","Cladium mariscus","Spirogyra-type","Onopordum","Equisetum","Carthamus","Falcaria-type","Rumex acetosa-type","Hippophaë rhamnoides","Cercophora-type","Matthiola-type","Smyrnium-type","Plantago major","Odontites-type","Phlomis","Arbutus","Ornithopus","Gypsophila arrostii","Humulus lupulus","Lysimachia vulgaris-type","Podospora-type","Calystegia","Eupatorium","Lycium","Centaurea scabiosa-type","Polygala vulgaris-type","Asphodeline","Turgenia latifolia","Anemone nemorosa-type","Dryopteris filix-mas-type","Ficus carica","Herniaria-type","Senecio-type","Alnus viridis","Juncaceae","Melampyrum","Galanthus-type","Rhus","Ephedra distachya-type","Ribes","Tuberaria","Thelypteris palustris","Jasione","Linum","Solanum nigrum-type","Tilia","Hydrocotyle","Scutellaria-type","Pediastrum","Rhynchospora","Acer","Viburnum tinus","Filipendula"
-53,NA,NA,0,"10679, 4","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","3","3","4","7","7","7","7","7","8","9","10","12","12","17","24","25","33","37","65","862","3336.547, 4569.619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-42.043,NA,NA,8,"18583, 4","1","","","","","","","","","1","","","","","1","","","","4","","2","","2","2","4","4","1","1","1","1","1","2","7","11","6","15","13","34","14","827","4934.014, 6757.455","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-31.087,NA,NA,16,"18583, 4","1","1","","","","2","","","","1","","","","1","","","1","4","2","2","6","3","4","21","","19","8","3","10","","5","9","9","21","20","34","18","55","48","1585","5614.567, 7689.517","","","","","5","","","","","","1","","2","","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-20.13,NA,NA,24,"18583, 4","1","","","","1","3","","","1","1","2","","","3","","","","","","1","4","4","4","1","","8","","2","14","","1","9","14","45","31","44","11","111","2","1249","8946.29, 12252.53","","","","5","3","","","","","1","1","","","","","","","","","","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-9.174,NA,NA,32,"18583, 4","1","","","","","12","","","","2","","","","1","","","1","3","13","","5","","5","","","20","2","1","8","","","26","6","23","21","24","4","86","22","910","11963.66, 16385.01","","","","10","6","","3","","","","","2","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1.783,NA,NA,40,"10679, 4","1","","","","1","2","","","","1","3","","1","","","","2","4","1","3","2","1","7","1","10","10","2","9","8","2","2","6","14","28","25","38","10","20","89","485","14177.03, 19416.36","","","","4","6","","1","","","","2","2","4","","","1","","","","","2","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12.739,NA,NA,48,"18583, 4","1","","","","","4","","","","1","4","","5","4","1","1","3","4","4","4","11","7","3","21","6","18","2","","16","39","16","3","8","41","46","68","20","91","23","2386","9712.218, 13301.52","","","","","3","","","","","1","4","1","","","","","","","1","4","","","","","","","","","","","","","","","","","1","","","1","","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23.696,NA,NA,56,"18583, 4","1","","","","1","2","","","","","","","","1","","","1","4","1","","11","","6","3","","17","","1","7","7","2","5","8","23","25","27","11","83","12","1337","11240.21, 15394.2","","","","2","1","","","1","","","","1","","","1","1","","","","","","2","","","","","","1","","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34.652,NA,NA,64,"18583, 4","1","","","","","2","","","","","1","","1","2","","","1","4","","","13","4","5","2","4","25","","","24","4","3","6","12","40","40","86","6","109","70","2008","6864.715, 9401.676","","","","","3","","","","","","1","","4","2","2","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","4","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
45.609,NA,NA,72,"18583, 4","1","","1","","","9","","","","","1","","","2","","","1","3","4","2","14","4","","3","5","32","1","2","25","2","3","3","13","29","69","62","2","103","14","1622","6645.815, 9101.878","","","","","3","","","","","","","2","","","1","","","","1","2","","","","1","","","","","","","","","","","","","1","1","","1","","","","3","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
