Depth (cm),Volume [ml],Mark added,Mark founded,Acacia ,Acalypha,Acanthaceae ,Afzelia  ,Aizoaceae  ,Alchornea ,Alnus,Anthocerotaceae undifferentiated,Antidesma-type  ,Apiaceae,Apocynaceae ,Arecaceae ,Artemisia ,Vernonia-type,Asteraceae Liguliflorae  ,Asteraceae Tubuliflorae,Balanites,Baphia-type,Isoberlinia-type,Betula ,Bignoniaceae ,Blepharis ,Boraginaceae,Borreria ,Boscia,Bosqueia ,Boswellia,Brassica-type,Bryonia,Cadaba  ,Calligonum ,Capparidaceae ,Carpinus ,Cassia-type,Caryophyllac./Chenopodiac./Amaranthac,Cedrus,Celtis ,Hippocrateaceae,Martretia ,Cistaceae,Cleome,Cocculus,Coffea-type,Cola nitida-type,Combretaceae,Commicarpus,Commiphora,Convolvulaceae,Corchorus,Corylus,Crassulaceae ,Cyperaceae ,Dichrostachys cinerea ,Diospyros ,Dobera-type,Dodonaea viscosa ,Ephedra ,Ericaceae,Euphorbia ,Euphorbiaceae indeterminata,Fagonia,Fagus ,Filipendula,Fraxinus,Geraniaceae  ,Grewia ,Gymnosporia ,Hedera ,Helianthemum ,Heliotropium-type,Hymenocardia  ,Hyphaene,Hypoestes type,Icacinaceae undifferentiated  ,Ilex ,Indigofera-type ,Isoetes,Jasminum,Jatropha,Juglans,Juniperus ,Justicia-type ,Lamiaceae,Lannea ,Leguminosae ,Liliaceae,Maerua ,Mallotus,Malvaceae,Manilkara ,Monolete spore sculptured,Monolete psilate ,Myrica ,Myriophyllum ,Myrtaceae,Neurada ,Nitraria,Nyctaginaceae ,Ochnaceae ,Olax,Olea ,Oleaceae indeterminata ,Ophioglossum ,Ostrya ,Parinari,Phillyrea,Phoenix,Phyllanthus ,Picea ,Pinaceae,Plantago ,Platanus ,Plumbaginaceae undifferentiated,Poaceae,Podocarpus ,Polypodium,Pteris,Pterocarpus,Pterocarya,Quercus ,Ranunculaceae,Rhizophora,Rhus ,Rosaceae,Rubiaceae-type,Rubiaceae,Rumex,Sapium-type,Sapotaceae/Meliaceae,Securinega,Solanum,Sterculia-type,Symplocaceae,Tamarix,Thymelaeaceae,Tilia,Tribulus,"Fern spores, trilete ",Trilete psilate,Tsuga,Typha,Typha latifolia,Uapaca,Ulmus,Urtica,Varia,Ziziphus 
1.4,18,21700,4889,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,6,0,0,0,18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0
16.4,16,21700,10459,0,0,0,0,0,0,5,0,0,0,0,0,12,0,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,2,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,3,0
31.4,16,21700,2103,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
46.4,16,21700,3410,1,0,0,0,0,0,0,0,0,0,0,0,31,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,67,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
61.4,13,21700,6716,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
95.5,16,21700,2109,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
109.9,17,21700,4375,1,0,0,0,0,0,1,0,0,0,0,0,64,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,61,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0
124.9,12,21700,6497,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,32,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,52,0,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,56,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
140.4,16,21700,1194,0,0,0,0,0,0,0,0,0,0,0,0,45,0,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,2,0,1,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,38,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
158.4,16,21700,5469,0,0,1,0,0,1,0,0,0,1,0,0,107,0,21,41,1,0,0,0,0,1,0,0,0,0,0,2,0,0,18,1,0,0,296,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,90,0,0,0,1,264,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,1,199,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,1,0,20,0
