"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rumex","Cistaceae","Quercus (evergreen)","Brassicaceae","Erica","Olea/Phillyrea","Artemisia","Cichorioideae","Asteroideae","Cyperaceae","Poaceae","Pinus","Amaranthaceae","Corylus","Ephedra fragilis-type","cf. Juniperus","Polypodiaceae","Plantago","Typha/Sparganium","Poaceae (Cerealia-type)","Tamarix","Ruppia","Quercus (deciduous)","Alnus","Liliaceae","Lamiaceae","Scabiosa","Betula","Armeria","Caryophyllaceae","Euphorbia","Myriophyllum","Salix","Sambucus","Tilia","Apiaceae","Vitis","Fabaceae","Campanulaceae","Fraxinus","Pistacia","Centaurea","Rhamnus","Persicaria maculosa-type","Polygala","Coriaria","Buxus","Hedera","Echium","Ephedra distachya-type","Thymelaea","Sanguisorba minor-type","Hypecoum","Lygeum","Chamaerops","Cannabaceae"
2057,NA,NA,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2149,NA,NA,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,NA,NA,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2332,NA,NA,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2424,NA,NA,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515,NA,NA,270,0,3,65,0,8,1,51,7,8,70,79,72,29,3,6,3,0,1,73,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2606,NA,NA,280,0,0,29,0,4,0,11,0,1,2,50,18,17,0,1,0,0,1,190,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2695,NA,NA,290,0,2,50,0,12,0,40,4,3,63,60,133,326,0,9,3,1,1,1467,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2784,NA,NA,300,0,1,57,0,14,1,76,3,3,152,120,130,480,2,4,11,1,1,374,6,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2873,NA,NA,310,0,2,23,0,4,0,24,2,3,3,14,50,50,0,4,3,2,1,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2963,NA,NA,320,0,9,64,0,12,0,72,1,1,17,81,58,39,1,6,2,0,1,504,0,12,0,3,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3052,NA,NA,330,0,20,86,1,15,5,85,7,11,10,85,66,60,1,7,3,3,0,30,0,15,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3141,NA,NA,340,0,5,46,0,15,3,51,8,11,3,48,124,18,1,7,4,1,1,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3232,NA,NA,350,0,3,108,10,2,1,16,32,28,24,59,110,29,1,13,15,0,3,20,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
