"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rumex","Cistaceae","Quercus (evergreen)","Brassicaceae","Erica","Olea/Phillyrea","Artemisia","Cichorioideae","Asteroideae","Cyperaceae","Poaceae","Pinus","Amaranthaceae","Corylus","Ephedra fragilis-type","cf. Juniperus","Polypodiaceae","Plantago","Typha/Sparganium","Poaceae (Cerealia-type)","Tamarix","Ruppia","Quercus (deciduous)","Alnus","Liliaceae","Lamiaceae","Scabiosa","Betula","Armeria","Caryophyllaceae","Euphorbia","Myriophyllum","Salix","Sambucus","Tilia","Apiaceae","Vitis","Fabaceae","Campanulaceae","Fraxinus","Pistacia","Centaurea","Rhamnus","Persicaria maculosa-type","Polygala","Coriaria","Buxus","Hedera","Echium","Ephedra distachya-type","Thymelaea","Sanguisorba minor-type","Hypecoum","Lygeum","Chamaerops","Cannabaceae"
6603,NA,NA,1330,1,7,149,0,6,17,12,4,3,5,20,122,142,1,4,16,0,1,6,0,2,0,19,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
6665,NA,NA,1340,1,2,75,1,1,19,15,2,4,8,15,67,96,1,5,2,1,1,10,0,0,0,7,2,0,1,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6727,NA,NA,1350,0,2,9,0,1,4,5,0,0,0,5,25,23,0,3,3,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6850,NA,NA,1370,1,4,143,4,1,38,27,7,4,21,54,230,151,1,4,10,0,1,47,1,4,0,20,2,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,11,0,0,0,0,0,0,0,1,10,0,0,0,1,0,0
6912,NA,NA,1380,0,1,18,0,2,6,3,1,1,0,5,25,21,0,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
6973,NA,NA,1390,1,0,115,0,2,27,15,1,1,8,21,88,95,2,3,1,0,1,3,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7097,NA,NA,1410,0,6,79,4,4,9,18,10,1,10,16,99,61,3,5,5,1,1,2,0,1,0,15,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0
7344,NA,NA,1450,1,12,110,2,2,7,20,6,5,10,21,86,39,2,9,5,1,1,2,0,0,0,9,2,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,3,0,0
7590,NA,NA,1490,0,3,50,1,1,13,14,4,1,10,21,111,78,6,4,7,0,0,3,0,0,0,13,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
7772,NA,NA,1520,0,1,51,0,1,9,8,1,1,8,17,162,112,0,2,5,0,2,2,0,0,0,10,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
8013,NA,NA,1560,0,0,8,0,0,2,1,0,0,0,4,25,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8073,NA,NA,1570,0,0,7,0,1,2,1,0,0,0,4,15,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
