Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Thickness (cm) [cm],Acacia groupe I,Acacia groupe III,Adansonia,Adenium-type obesum,Aerva lanata-type,Aeschynomene-type,Alchornea,Allophylus,Alternanthera,Amannia-type,Amaranthaceae/Chenopodiaceae,Ambrosia,Anacardiaceae,Anthostema,Aphania,Artemisia,Ascolepis,Asystasia-type gangetica,Balanites,Basilicum-type,Blighia,Bombax,Bridelia,Caesalpinia-type,Caesalpinioideae,Caperonia senegalensis,Capparidaceae,Caryophyllaceae,Cassia-type,Cayratia-type,Ceiba,Celastraceae,Celtis,Centaurea perrottetii,Ceratopteris cornuta,Chrysobalanus/Parinari,Cissus-type,Clerodendron,Combretaceae,Combretum aculeatum-type,Combretum molle-type,Commelina benghalensis,Cyperaceae,Detarium,Dialium,Dichrostachys,Diospyros,Elaeis guineensis,Erythrococca,Euphorbia,Euphorbiaceae,Ficus,Galium-type,Gardenia imperialis,Gramineae,Guttiferae,Harungana,Indeterminables,Indetermines,Ipomaea-type,Jussiaea-type,Justicia flava-type,Kedrostis-type,Kohautia,Landolphia-type,Lannea-type,Laurembergia,Leucas-type,Liguliflorae,Lippia,Lophira,Lotus arabicus-type,Lycopodiaceae,Lygodium microphyllum,Macaranga,Mallotus,Malvaceae,Maytenus,Meliaceae,Micrococca mercurialis,Mitracarpus,Mitragyna inermis-type,Mitragyna stipulosa-type,Monocotyledoneae,Monoletes,Moraceae,Musanga,Myrtaceae,Naucleae,Nymphaea lotus-type,Ormocarpum-type,Pancovia,Pancratium-type,Papilionoideae,Parkia,Phoenix,Phyllanthus,Phyllanthus amarus-type,Phyllanthus reticularus-type,Plantago lanceolata,Polycarpaea,Polycarpon,Polygala,Polygonum senegalense,Potamogeton,Priva-type,Prosopis/Entada,Pseudospondias microcarpa,Pteris-type,Resedaceae,Rhamnaceae,Rhizophora,Rhus,Rubiaceae,Rutaceae,Salacia,Salix,Salvadora,Salvinia,Sapindaceae,Sapotaceae,Scrophulariaceae,Securinega,Sesbania sesban,Sesbania-type,Sorindeia juglandifolia,Spermacoce radiata-type,Spermacoce-type,Spores indeterminees,Syzygium,Tabernaemontana-type,Talinum-type,Tamarix,Tapinanthus-type,Teclea-type,Tetracera,Tiliaceae,Treculia,Trema,Trifolium-type,Triletes,Triletes lisses,Triumfetta-type,Tubuliflorae,Typha,Uapaca,Urticaceae,Verbenaceae,Vitaceae,Ximenia,Zanthoxylum zanthoxyloides,Zygophyllaceae,Zygophyllum
2007.552,2,2,,,,,,,39,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,,,,,22,,3,,,,,93,,,9,33,,,,,,,4,1,,3,1,,,,8,3,,,,,,9,,,,737,1,,,,,,,1,,,1,,,,,,,,3,,,,,,,,,,,,,1,,,,1,,,,,,3,,114,,,,2,1,,,2,,,,1,,,3,33,1,,,,,,,
2226.25,15,2,,,,,,,45,,,,1,1,2,,,,,,,,,,3,,,,,,,,,,,,,,,,1,1,1,,517,,,,,20,,,,,,,106,,,27,25,,,,,1,,,,,3,,,,,6,,,,,,,10,,,,864,,,,,1,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,7,,,,,,,,1,,80,8,,,,,,,,,,,1,,,3,27,2,,,,,1,,
2444.948,28,2,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,494,,,,,8,,,,2,,,88,,,17,2,,,,,,,,,,,,,,,2,,,,,,,6,,,,992,,,,,,,,,,,3,1,,,,,,,3,,,,,,,1,1,,,,,,,1,,,,,,,,2,,77,1,,,1,,,,5,,,,,,,4,7,,,,,,1,,
2562.708,35,2,1,,,,,,18,,,,3,1,,1,,,,,,,,,2,,,,,,,,,,1,,,,,,1,,,1,999,1,,,,6,,,,,1,,86,,,3,3,,,,,1,,4,,,,,,,,1,1,,,,,,1,,,,1104,,,,,12,,,,,,3,,,,,,,,2,,,2,,,,,1,,,,,,,2,,1,,,,,,1,,32,6,,,,,,,,1,,,,,,3,4,2,,,,,2,,
2781.406,48,2,,,2,,,,19,,1,4,2,,,18,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,80,2,,,,1,,,,1,,,68,,,40,19,,2,1,,,,2,,,,,8,,3,87,44,,,,,,6,1,,16,1176,2,,,,7,,,,,,32,3,,1,,,,,,,,,3,,,,,,5,,1,,,,,1,,,,,,,,1,60,,,,,1,1,,2,,,,,,3,2,17,,,,1,2,,
2983.281,60,2,,,,,,,12,,,,,,1,48,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,1,47,1,,,,7,,5,,,,4,66,6,,90,44,1,,,,,,2,,1,,,4,,,92,81,,,,,,15,1,,12,367,,,,,,,,,,,1,1,,,,,,,,,1,,2,,,,2,,1,,,,,,,1,,,,,,1,,,3,,,6,,,3,1,,,,,2,1,4,4,57,,,,,1,,
3151.51,70,2,,,,,,,40,1,,,2,,,26,,,,,,,,,,,,,,,3,,,,1,,1,,,,,,2,,43,2,,,,2,,,,1,,1,60,,,48,33,,,,,2,,1,,,,,20,,,48,109,,,,,,5,1,,26,204,1,,,,1,,,,,,3,1,,,,,,,,,,,1,,,,,,,,,1,,,,3,,,,,,,,2,15,,,3,,,,,2,,,,,1,3,4,25,,,,,1,,
3286.094,78,2,,,,,3,,31,1,,,1,1,,8,,,,,,,,,1,,,,,,1,,,,,,,,1,,1,3,,,439,6,,,,10,,,,,,,33,,,30,17,,,,,,,1,,2,,,13,,,23,93,,1,,,,12,4,,2,813,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,2,,,,,1,,4,,,,,,1,,39,10,,,,,1,4,,,,,,,1,1,21,9,,,,,3,,2
3521.615,92,2,,,,,,,12,,,,,,,11,,,,,,,,1,,,,,,1,,1,,,1,,,,,,,,,,36,,,1,,,,,2,1,,,32,,,77,33,,,,,,,,,,,,,,1,48,95,,,,,,1,,,8,97,,,,,7,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,,3,2,,,1,,,12,,1,2,,,,,1,2,22,,,,,3,,
3841.25,111,2,,,,1,,,25,,,,1,,,60,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,64,,,1,3,2,,5,4,6,1,2,74,1,1,60,45,,,,,,,1,1,1,1,,14,,,38,77,,,,,,3,1,,,91,,,,,2,,,,,,,,,,,,,,,1,,,,,,,12,,1,,,1,,1,1,10,,,,,,1,,2,28,,,4,,,9,,6,,,,1,,,3,103,,2,,,5,,
3992.656,120,2,,,,,,,15,1,,,,,,48,,,,2,,,,,,,,,,,,,,,1,,,3,,,,,2,2,67,3,,,,1,2,,1,4,,,67,,,37,25,1,,,,,,,2,,,,32,,,55,81,,,,,,2,4,2,3,102,,,,,1,,,,,,1,2,,,,,,,,,,,,,1,,3,2,,,,,,,,5,,2,,,,,,5,32,1,,3,,,17,,5,,1,1,,,1,2,39,2,,,,2,,
4177.708,131,2,,,,,,1,19,,,,1,,,23,,,,,,1,,,2,1,,2,,,,,,,1,,,4,,,,,,,100,,,1,1,3,,,,2,,6,87,,,43,56,,,,,,,,13,1,,,,2,1,69,53,,,,1,,1,1,,1,36,,,1,,,1,,,,,,5,,,,,2,,,,,,,,1,,6,,3,,,,,,,1,,,2,1,,,,4,84,,,,,2,19,,1,,,,,,,2,4,,,,,3,,
4541.355,148,2,,,,,,,34,,,,,,,16,,,,,,,,,4,,,,,,,,,,1,,,1,,,,,2,,71,1,,,,2,,,,,,5,88,,,,34,,,,,,,2,3,,1,,7,,2,102,89,,,,,,6,8,,,47,,1,,,1,,,,1,,1,5,1,,,,,,,,,,,,2,,5,,4,,,2,,,,,,1,,,,,,5,54,,1,6,,,10,,5,,,,2,,2,,1,,,,,4,,
4837.711,161,2,,,4,,,,63,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,1,75,2,,,,,1,,3,4,,,73,,,30,13,1,,,,,,1,,1,1,,1,,,86,39,1,,,,,4,4,,,49,,,,,,,,,,,1,6,,,,,,,,,,,,,,,12,,2,,,1,,,,2,,5,,,,,,2,85,,,5,,1,13,,4,2,,,,,1,2,1,,,,,,,
5042.88,170,2,,,,,,,37,,,,,,,11,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,3,1,150,,,1,,6,2,,,4,,5,84,,,13,23,,,,,,,,1,1,,,,2,,74,40,,,,,,1,8,,1,145,,,,,,,,,,,1,1,,,,,,,,,,,,,,,8,,1,,,1,,,,2,,2,,,,1,1,7,62,,,6,,,7,,4,,,,,1,1,5,3,,,,,1,,
5430.422,187,2,,,,,,,25,1,,,,,,13,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,62,,,,4,,2,,,4,,6,61,,,44,29,,,,,,2,1,3,,,,1,,2,61,52,1,,,,,2,4,,,28,,,,1,2,,,,,,1,3,,,,,,,,,1,,,,,,2,,2,,,,,,1,,,1,,,,,,2,107,,,1,,1,25,,7,,,,,1,1,,,,,,,11,,
5498.812,190,2,,,,,,,20,,,,1,,,23,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,72,2,,,1,,4,2,,5,,5,72,,,33,17,,,,,,,,,,,,2,,,70,50,,,,,,3,9,,,34,,,,,,,,,,,,6,,,,,,,,,,,,,,,4,,4,,,,,,,,,3,,,,,,5,94,,,1,,,20,,5,,,1,,2,,,1,,,,,1,,
5795.167,203,2,,,,,,,56,,,,1,,,5,,,,,,,,,,,,,,,1,,,,1,,,5,,,,,,,46,4,,,2,1,,,,1,,1,58,,,33,23,,,,,,,,,,,,,,,92,78,,,1,,,1,3,,,26,,,2,,,,,,,,6,3,,,,,,,,,,,,,4,,16,,2,1,,1,,,,,,7,,,,,,,59,,,3,,,28,2,3,,,,,1,,1,,,,1,,7,,
6000.336,212,2,,,,,,,28,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,94,,,,9,,1,,,1,,,92,,,26,6,,,,,8,,,,,,,,,1,297,34,,,,,,,7,,,32,,,,,2,,,,,,1,2,,,,,,,,,,,,,,,5,,1,,,,,,,,,3,,,,,,,79,,1,1,,,,,2,,,2,,,,,,,,,1,7,,
6114.319,217,2,,,,,,,37,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,47,2,1,,2,,,1,,2,,1,53,,,42,14,,,,,,,,,,,,,,1,195,42,,,,,,4,4,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,,,,1,,1,,,,,,2,101,,,4,,,14,,4,,,3,,2,,1,3,,,,,10,,
6319.488,226,2,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,3,,,,,1,1,58,10,,,1,4,3,,,2,,,46,,1,70,23,2,1,,,,,,,,,,1,,,33,341,1,,,,,,11,,,32,,1,,,1,,,,,,2,,,,,,,,,,3,,,,2,1,9,,,,2,2,,,,,,,,,,1,,1,68,,,9,,,18,,2,,,,,3,1,,,,,,,1,,
6547.454,236,2,,,,,,,10,,,,,,,3,,,1,,,,,,3,,,,,,,,,,2,,,,,,,1,2,,21,7,,,,1,,,,5,,1,36,,,15,4,,,,,,,,,,,,,,,45,158,,,2,,,,25,,,37,2,,,,,,1,,,,10,2,,,,,,1,,,1,,,,,,7,,,,,1,,,,,,,,,,,,,313,,,2,,,25,,2,,,1,,,,,1,,,,,2,,
6889.402,251,2,,,,,,,53,,,,,1,,16,,1,,,,,,,1,,,,1,,,,,1,1,,,2,,,,1,1,1,110,4,,,2,5,3,1,,4,,1,49,,,31,26,,,,,1,,1,,,,,5,2,,96,64,,,,,,1,7,,,76,,,,,1,,,,,,1,1,,,,,,,,,,,,1,1,1,6,,,,,1,1,,,,,2,,,,1,,2,80,,,2,,,20,,,,,,,4,1,6,4,,,,,7,,
7254.148,267,2,,,,,,,52,,,,1,,,3,,,,,,,,,2,,,,,,,,,2,1,,,,,1,,,3,,43,8,,,4,1,,1,,1,,,30,,,,10,,,,,,,,,,,,,,,49,124,,,,,,2,6,,,45,,,,,1,,,,,,9,,,,,,,,,,,,,,,,7,,1,,,,,,,1,,2,,,,,,1,110,,,2,,,12,,1,,1,,,1,,1,,,,,,8,,
7573.3,281,2,,,,,,,39,,,,,,,3,1,,,,,,2,,5,,1,,,,,,,,,,,1,,,,,1,2,51,5,,1,,2,,,,1,,,37,,,19,6,1,,,,,,1,1,1,,,,,,54,208,,,,,,1,9,,1,38,1,1,,,,,,,1,,6,,,,,,,,,,,,,,4,,10,,,,1,,,,1,,,,,,4,,,,239,,,2,,,24,,,,,1,,1,,,,,,,,2,,
