"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Viburnum","Geraniaceae","Myriophyllum","Salix","Apiaceae","Fabaceae","Amaranthaceae","Poaceae (Cerealia) undiff.","Linaceae","Plantago coronopus-type","Myrtus communis","Pinus halepensis-type","Acanthus","Caryophyllaceae","Cistus monspeliensis","Typha latifolia","Asteroideae","Poaceae","Erica arborea","Quercus suber","Unknown (trilete)","Quercus canariensis","Lamiaceae","Alnus glutinosa","Arbutus unedo","Cichorioideae","Fraxinus","Sambucus","Campanulaceae","Olea europaea","Hypericum","Typhaceae","Liliaceae","Corylus","Sphagnum","Ephedra","Asphodelus","Thymelaeaceae","Lythrum","Polygala"
103,NA,NA,0,1,1,2,2,2,2,2,2,2,2,2,2,2,4,4,6,12,46,55,65,74,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,NA,NA,5,4,NA,NA,NA,3,NA,4,2,1,2,2,1,NA,1,1,2,9,50,50,50,34,81,1,1,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,NA,NA,10,NA,NA,1,NA,3,3,6,3,NA,NA,1,4,NA,1,2,NA,23,54,60,55,58,113,1,NA,5,5,8,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,NA,NA,15,NA,NA,NA,2,10,2,3,1,1,NA,6,2,NA,NA,3,NA,10,38,50,50,35,97,1,1,3,2,9,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,NA,NA,20,NA,NA,1,1,11,3,4,4,NA,1,2,1,NA,NA,NA,NA,10,28,48,36,31,95,NA,1,NA,3,12,NA,NA,2,2,1,2,NA,NA,NA,NA,NA,NA,NA
402,NA,NA,25,NA,NA,4,NA,6,1,NA,5,1,1,4,5,NA,NA,NA,1,1,34,85,35,47,99,NA,2,3,NA,5,1,NA,2,2,NA,1,1,NA,NA,NA,NA,NA,NA
462,NA,NA,30,NA,1,NA,4,6,NA,3,2,NA,1,2,2,NA,NA,3,NA,4,20,70,28,17,75,NA,2,NA,4,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,NA,NA,35,NA,NA,3,NA,12,2,3,3,NA,7,2,4,NA,NA,7,NA,10,25,80,30,16,96,NA,1,NA,6,1,NA,NA,4,7,NA,NA,NA,3,NA,NA,NA,NA,NA
582,NA,NA,40,NA,1,3,NA,10,2,2,NA,1,2,1,NA,NA,1,5,NA,17,26,63,20,20,85,NA,1,1,5,4,NA,NA,3,2,NA,NA,3,NA,1,NA,NA,NA,NA
641,NA,NA,45,NA,NA,1,NA,6,2,NA,1,NA,2,NA,1,NA,3,2,NA,10,25,60,25,20,71,NA,NA,4,8,2,NA,NA,4,8,NA,NA,6,NA,NA,2,NA,NA,NA
701,NA,NA,50,NA,NA,6,NA,3,NA,NA,1,NA,6,NA,NA,NA,NA,NA,2,15,50,64,30,30,63,2,NA,NA,3,NA,NA,NA,6,4,2,NA,NA,2,NA,NA,NA,NA,NA
761,NA,NA,55,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,8,45,50,35,29,70,NA,NA,2,NA,2,NA,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA
821,NA,NA,60,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,35,49,35,30,69,NA,NA,NA,NA,1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
