"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Zygnema-type","Ranunculaceae","Cedrus","Carduus-type","Cedrus (degraded)","Amaranthaceae (degraded)","Poaceae (crumpled)","Cyperaceae (degraded)","Sparganium (degraded)","Indeterminable (broken)","Indeterminable (obscured)","Glomus","Sparganium","Quercus coccifera-type","Pinaceae (degraded)","Amaranthaceae (broken)","Cyperaceae (corroded)","Poaceae","Spirogyra","Spirogyra (type 132, HdV)","Gelasinospora-type","Amaranthaceae (crumpled)","Pseudopediastrum boryanum-type","Cichorieae","Cyperaceae (broken)","Pinus (degraded)","Indeterminable (crumpled)","Cyperaceae (crumpled)","Algae? (type 128A, HdV)","Pinus (broken)","Amaranthaceae","Pinus","Algae? (type 128B, HdV)","Cyperaceae","Pinus (fragmented)","Lycopodium spike","Pinus (crumpled)","Pinus (corroded)","Ceratophyllum","Centaurea cyanus-type","Quercus undiff. (crumpled)","Poaceae (broken)","Nymphaea","Indeterminable (corroded)","Indeterminable (degraded)","Anthemis-type","Centaurea solstitialis-type","Butomus","Cedrus (broken)","Typha latifolia (crumpled)","Poaceae (Cerealia-type, crumpled)","Abies","Artemisia","Asteraceae undiff.","Ericaceae","Typha latifolia","Apiaceae","Centaurea undiff.","Quercus coccifera-type (broken)","Quercus coccifera-type (crumpled)","Ephedra fragilis-type","Quercus cerris-type","Asteraceae undiff. (crumpled)","Triletes","Poaceae (Cerealia-type)","Botryococcus","Typha latifolia (broken)","Caryophyllaceae","Mougeotia-type","Myriophyllum","Plantago lanceolata","Potamogeton","Sanguisorba minor-type","Oleaceae (obscured)","Poaceae (Cerealia-type, corroded)","Typha latifolia (degraded)","Unknown (type 610)","Poaceae (corroded)","Lemna-type","Dinoflagellata","Lythrum","Fabaceae","Pistacia","Juglans regia","Juniperus","Sparganium (crumpled)","Pediastrum simplex-type","Urtica-type","Quercus undiff. (degraded)","Pinaceae (crumpled)","Sparganium (broken)","Quercus undiff. (broken)","Galium-type","Humulus/Cannabis-type","Oleaceae (broken)","Quercus undiff. (corroded)","Coelastrum","Ulmus","Aster-type","Poaceae (degraded)","Brassicaceae","Dipsacoideae","Thalictrum-type","Epilobium-type","Thymus-type","Oleaceae (crumpled)","Pinaceae (broken)","Poaceae (Cerealia-type, broken)","Cystopteris fragilis-type","Platanus","Convolvulaceae","Fraxinus ornus-type","Thelypteris phegopteris-type","Quercus undiff. (obscured)","Olea-type","Corylus-type","Plantago undiff.","Quercus undiff.","Geraniaceae","Unknown"
297.375,NA,NA,0.5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,6,6,7,7,8,9,9,9,10,12,14,15,17,29,34,35,36,36,38,41,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491.5179,NA,NA,12.5,2,3,NA,1,1,NA,6,1,NA,1,NA,NA,10,1,NA,NA,2,3,6,NA,3,2,4,4,14,165,9,12,6,30,17,21,52,45,35,79,58,4,1,1,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620.9464,NA,NA,20.5,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,2,3,1,1,NA,1,3,5,NA,NA,NA,3,2,NA,102,2,1,NA,78,1,50,3,6,59,68,29,75,NA,NA,1,1,5,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
750.375,NA,NA,28.5,10,NA,NA,2,NA,NA,7,NA,NA,NA,2,2,2,1,NA,NA,NA,17,3,1,NA,NA,NA,NA,NA,81,8,4,2,39,1,82,12,4,51,50,60,1,NA,NA,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
879.8036,NA,NA,36.5,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,16,5,1,NA,NA,NA,7,1,NA,NA,NA,NA,1,3,79,1,3,NA,63,3,82,12,23,36,110,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
944.5179,NA,NA,40.5,2,2,NA,NA,2,NA,5,1,NA,3,2,13,NA,3,2,NA,5,1,1,3,NA,NA,NA,5,5,150,3,16,NA,28,4,15,52,20,37,60,24,65,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073.946,NA,NA,48.5,9,1,NA,3,1,NA,6,NA,NA,2,3,24,11,10,2,NA,NA,20,27,5,NA,NA,2,2,19,48,10,13,NA,59,4,79,42,137,70,145,38,1,NA,1,NA,2,5,1,1,3,6,1,1,NA,NA,NA,2,NA,NA,10,NA,1,1,3,NA,NA,NA,NA,2,NA,1,NA,NA,1,1,1,1,1,1,1,2,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1332.804,NA,NA,64.5,5,7,1,NA,NA,NA,9,NA,NA,2,18,3,32,5,1,1,1,17,12,7,1,1,7,2,5,12,18,13,4,NA,19,75,90,99,33,58,11,2,22,NA,NA,4,11,1,NA,1,NA,NA,1,1,NA,NA,3,1,NA,6,NA,2,NA,1,NA,1,NA,NA,2,NA,1,NA,NA,11,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1462.232,NA,NA,72.5,4,10,1,NA,1,NA,10,2,NA,3,9,1,20,7,NA,NA,1,22,7,7,NA,NA,14,2,33,33,10,52,NA,57,4,77,69,82,84,90,36,28,22,1,1,2,15,1,2,NA,NA,NA,5,1,NA,NA,NA,1,NA,18,NA,NA,NA,NA,NA,1,1,NA,NA,1,2,NA,NA,3,NA,1,1,NA,NA,5,5,2,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1591.661,NA,NA,80.5,7,90,2,7,NA,NA,10,1,NA,4,15,3,15,5,NA,NA,4,26,52,12,NA,NA,19,6,32,3,11,178,NA,36,6,52,96,311,46,202,11,4,16,NA,2,4,120,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,12,1,2,2,NA,NA,NA,NA,4,1,NA,NA,3,3,NA,NA,NA,NA,3,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
