"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Castanea","Vitis","Rumex acetosa-type","Poaceae (Cerealia-type)","Brassica-type","Ostrya/Carpinus orientalis","Quercus coccifera-type","Apium-type","Hyoscyamus","Isoëtes","Ophioglossum","Polypodium","Osmunda regalis","Polygonum aviculare-type","Apiaceae","Knautia","Carduus-type","Ephedra fragilis-type","Dryopteris-type","Poaceae","Quercus cerris-type","Sparganium-type","Pinus","Centaurea solstitialis-type","Asteroideae","Unknown","Pteridium","Cyperaceae","Amaranthaceae","Cichorioideae","Fagus","Tilia","Alnus","Urtica","Humulus/Cannabis","Juniperus","Helianthemum","Carpinus betulus","Olea","Artemisia vulgaris-type","Paliurus","Arbutus","Corylus","Plantago lanceolata-type","Galium-type","Filago-type","Ericaceae","Ranunculus undiff.","Senecio-type","Matricaria-type","Clematis-type","Caryophyllaceae","Betula","Euphorbia","Malvaceae","Rhus","Lythrum","Fabaceae","Pistacia","Orchidaceae","Alisma","Linum","Hedera","Asphodelus","Botrychium","Trifolium-type","Abies","Plantago maritima-type","Plantago coronopus-type","Gentianaceae","Salix","Valeriana","Plumbaginaceae","Fraxinus ornus","Scrophularia/Verbascum","Liliaceae","Convolvulus","Fraxinus excelsior","Ranunculus sceleratus-type","Rosaceae","Tamarix","Capsella-type","Gossypium","Nymphaea","Picea","Ulmus","Juglans","Stachys-type","Filipendula","Myriophyllum spicatum/M. verticillatum","Cladium mariscus","Poterium sanguisorba","Ranunculus acris-type","Plantago undiff.","Euphorbiaceae","Thymus/Mentha","Mercurialis annua","Thymelaeaceae","Viburnum-type","Echium-type","Hymenophyllum","Thalictrum","Typha latifolia","Lemna","Polygonaceae","Plantago major-type","Teucrium","Cirsium/Gundelia","Hypericum perforatum-type","Solanum dulcamara","Bunium-type","Calligonum","Calystegia","Phillyrea","Noaea-type","Oleaceae","Plantago media-type","Digitalis","Xanthium","Ranunculus sect. Batrachium-type","Artemisia herba-alba-type","Ranunculaceae","Campanulaceae","Scabiosa","Armeria/Limonium","Platanus","Lysimachia","Malva","Anemone","Theligonum","Potentilla-type","Rhinanthus-type","Matthiola","Sambucus nigra-type","Pteris","Allium","Geranium","Cotinus coggygria","Potamogeton","Brassicaceae","Gentiana","Crocus","Acer","Vicia-type","Buxus","Colchicum","Equisetum","Lycopodium","Taxus","Hystrix","Radiola","Cyclamen","Scrophulariaceae","Fagopyrum","Bupleurum-type","Ephedra distachya-type","Menyanthes trifoliata","Cornus","Geraniaceae","Salvia","Datisca","Butomus umbellatus","Valerianella","Anagallis","Carthamus","Prunus-type","Rhamnus","Pimpinella-type","Primulaceae","Rhamnaceae","Verbena","Scilla-type","Boraginaceae","Morus","Acanthus","Mesembryanthemum","Thelypteris palustris","Lotus-type","Heliotropium-type","Sideritis","Asplenium"
625,745,528,45,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4,4,6,7,8,9,9,10,12,16,22,66,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,934,734,60,NA,NA,NA,NA,NA,2,4,9,NA,NA,15,6,3,NA,15,6,NA,NA,NA,13,31,35,1,7,11,28,28,64,24,15,102,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103,1194,1015,80,1,2,NA,NA,2,6,1,12,6,NA,7,NA,NA,NA,21,9,1,5,NA,2,33,53,72,41,11,12,62,6,55,286,93,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,NA,6,NA,1,NA,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390,1483,1299,100,4,NA,2,NA,2,2,2,4,NA,NA,6,1,NA,NA,14,15,3,1,NA,2,21,20,23,31,6,8,18,13,33,195,66,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,28,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1690,1789,1587,120,5,NA,NA,1,2,3,3,13,2,NA,4,NA,NA,NA,13,11,NA,NA,NA,2,30,24,51,32,2,11,64,6,42,267,59,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,3,32,NA,NA,NA,NA,NA,NA,1,1,1,1,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,2113,1889,140,4,NA,NA,2,1,5,NA,17,9,NA,3,2,1,NA,10,NA,NA,NA,NA,4,19,38,38,35,2,7,26,1,33,154,15,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,4,NA,5,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2325,2449,2199,160,3,1,1,NA,2,2,1,8,6,NA,4,NA,1,NA,13,2,2,NA,NA,3,20,54,94,41,2,12,23,15,53,177,51,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,1,5,NA,NA,8,NA,9,3,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,28,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2661,2801,2525,180,10,2,NA,NA,NA,2,5,19,9,NA,1,1,NA,1,12,9,NA,3,NA,10,25,41,43,17,15,10,46,33,45,105,46,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,4,NA,7,6,NA,4,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3007,3165,2867,200,NA,1,2,NA,5,2,4,11,54,NA,2,1,NA,NA,10,22,NA,4,NA,1,159,39,178,21,NA,2,29,2,227,197,9,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,5,NA,34,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,1,3,NA,2,NA,1,NA,1,NA,1,2,NA,27,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,5,6,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3184,3351,3041,210,5,NA,NA,NA,4,1,3,2,NA,NA,3,NA,1,NA,3,1,NA,NA,NA,51,20,17,39,22,2,3,6,13,8,25,3,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
