"age_NA","ageolder_BP","ageyounger_BP","depth","Betula","Apiaceae","Alnus","Asteroideae","Cladium mariscus","Salix","Plantago lanceolata-type","Sanguisorba-type","Fabaceae","Sparganium-type","Cichorioideae","Ranunculaceae","Myriophyllum spicatum/M. verticillatum","Pistacia","Cyperaceae","Poaceae (Cerealia-type)","Juniperus","Pinus","Quercus cerris-type","Poaceae","Galium-type","Olea","Artemisia herba-alba-type","Amaranthaceae","Fraxinus ornus","Juglans","Potamogeton","Caryophyllaceae","Urtica","Ranunculus","Nymphaea","Vitis","Brassicaceae","Rosaceae","Noaea-type","Thymus/Mentha","Quercus ilex-type","Platanus","Fagus","Helianthemum","Centaurea solstitialis-type","Ericaceae","Ranunculus sect. Batrachium-type","Polygonum","Rumex acetosa-type","Papaver","Lythrum","Plantago maritima-type","Ranunculus arvensis-type","Ostrya/Carpinus orientalis","Corylus","Phillyrea","Plantago major-type","Plantago coronopus-type","Rhamnus","Datisca","Carpinus betulus","Typha latifolia","Campanula-type","Picea","Ephedra distachya-type","Ephedra fragilis-type","Arceuthobium oxycedri","Hypericum","Daphne","Tamarix","Artemisia vulgaris-type","Cotinus coggygria","Vitex","Menyanthes trifoliata"
NA,NA,NA,500,1,1,1,1,1,2,2,2,3,4,5,5,5,6,12,18,38,44,48,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1250,1,1,NA,9,NA,NA,NA,1,NA,2,7,NA,1,1,11,NA,14,31,159,25,1,1,1,2,3,8,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1100,3,NA,NA,2,NA,1,1,1,NA,3,NA,NA,1,2,2,9,12,39,104,39,2,1,6,4,NA,1,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1120,1,NA,NA,4,NA,NA,1,NA,NA,6,NA,NA,NA,NA,19,34,45,54,137,79,4,NA,3,3,4,NA,2,2,NA,NA,1,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,980,5,1,NA,1,NA,2,3,1,NA,5,1,NA,1,1,19,6,22,85,59,60,1,NA,7,2,2,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,450,NA,4,NA,6,NA,4,2,1,NA,4,7,NA,NA,NA,12,19,40,62,88,65,2,NA,4,5,NA,6,8,4,NA,3,NA,NA,NA,NA,NA,NA,NA,2,2,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,752,5,2,1,4,1,3,NA,1,NA,11,NA,NA,NA,5,18,NA,48,77,126,113,5,NA,8,4,2,NA,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,470,NA,6,1,4,NA,1,2,NA,NA,20,3,NA,1,1,19,NA,30,47,48,89,4,NA,6,5,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,800,1,1,1,3,NA,2,2,3,NA,10,2,NA,NA,5,6,NA,64,109,342,133,3,1,31,5,NA,NA,6,4,NA,NA,1,NA,NA,NA,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,700,7,1,1,5,2,NA,NA,1,NA,5,NA,NA,8,3,15,3,51,126,178,70,3,NA,9,4,2,NA,21,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,650,NA,NA,1,6,3,NA,1,3,NA,26,1,NA,NA,7,22,NA,161,105,176,112,1,NA,15,7,3,2,206,NA,NA,NA,1,1,NA,NA,3,NA,NA,5,NA,2,1,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,600,2,3,NA,2,1,NA,2,1,3,4,NA,NA,NA,7,10,4,35,68,144,78,2,NA,8,6,3,1,2,NA,1,3,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1140,1,2,NA,11,1,1,7,7,NA,12,3,NA,NA,3,19,NA,32,59,186,106,2,NA,12,3,4,NA,10,NA,NA,NA,1,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,950,6,6,NA,2,1,3,14,4,NA,6,1,NA,NA,11,37,NA,42,140,394,115,5,NA,31,7,6,2,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1020,NA,1,NA,2,NA,2,2,NA,NA,17,2,NA,2,1,14,NA,29,43,55,77,2,1,7,1,NA,2,3,NA,NA,5,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,550,4,1,NA,1,NA,4,3,1,NA,12,2,NA,2,3,13,NA,55,54,110,67,3,4,3,5,3,1,6,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1060,1,3,NA,3,2,1,1,1,NA,9,6,NA,8,7,14,13,43,127,111,79,8,1,4,3,NA,NA,NA,1,NA,3,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1000,2,2,NA,5,NA,5,NA,NA,5,22,9,NA,15,2,25,6,37,59,60,72,3,NA,14,3,3,6,9,1,1,5,4,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,850,NA,4,NA,4,NA,5,3,3,NA,36,1,NA,4,3,15,8,59,95,285,109,2,NA,22,9,NA,9,5,3,NA,NA,1,NA,NA,NA,3,NA,NA,NA,1,2,NA,NA,1,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1170,NA,NA,NA,4,1,1,2,3,NA,8,5,NA,1,1,9,4,73,43,33,29,1,NA,5,NA,1,1,1,3,4,1,NA,NA,2,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,11,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1200,NA,1,NA,5,1,7,3,3,NA,16,24,NA,37,1,31,NA,48,35,99,96,6,4,64,14,2,12,42,2,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA
