"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Fagus","Cichorioideae","Apiaceae","Fabaceae","Mentha-type","Rumex/Oxyria","Abies","Artemisia","Quercus","Asteraceae","Brassicaceae","Sparganium","Quercus ilex-type","Fraxinus ornus","Quercus cerris-type","Poaceae (Cerealia)","Unknown","Lythrum","Quercus robur-type","Pteridium","Poaceae","Cyperaceae","Salix","Alnus","Amaranthaceae","Pteridophyta undiff.","Pinus","Corylus","Juglans","Rosaceae","Fallopia convolvulus","Ostrya/Carpinus orientalis","Caryophyllaceae","Rubiaceae","Spergularia-type","Castanea","Rhamnus/Frangula","Typha","Thalictrum","Vitis","Viburnum opulus","Plantago lanceolata-type","Fraxinus excelsior","Hedera helix","Juniperus","Dryopteris","Platanus","Pistacia","Myriophyllum spicatum","Cistus incanus-type","Varia","Ranunculaceae","Phillyrea","Ulmus","Erica","Carpinus betulus","Centaurea jacea","Centaurea scabiosa","Potamogeton","Humulus","Teucrium","Geranium","Helianthemum","Poterium sanguisorba","Buxus sempervirens","Calicotome villosa","Tilia","Rumex acetosella","Ericaceae","Picea","Acer","Ilex aquifolium","Ephedra","Olea","Cistus creticus","Cornus","Periploca","Paliurus spina-christi","Urtica","Cotinus coggygria","Potentilla","Epilobium","Scabiosa","Gypsophila","Osyris alba","Centaurea cyanus","Ononis-type","Vaccinium-type","Trifolium","Vitex agnus-castus","Arbutus","Betula","Campanulaceae","Cercis siliquastrum","Myosotis","Asphodelus","Lonicera"
2391,NA,NA,419,7,3,1,7,4,5,5,7,5,1,2,14,21,3,8,7,1,10,24,48,43,31,33,120,6,11,40,2,4,5,4,18,2,3,3,NA,NA,10,NA,21,NA,4,4,3,4,1,1,NA,NA,1,2,2,NA,NA,1,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2425,NA,NA,425,5,2,3,2,3,3,5,7,2,9,1,5,12,3,4,2,3,NA,19,40,30,23,50,126,7,18,23,11,1,3,3,9,1,2,8,1,NA,4,1,21,NA,9,5,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,2,2,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2454,NA,NA,430,3,5,1,7,2,9,1,10,4,5,5,8,24,8,5,1,6,4,21,31,62,49,61,173,6,13,37,17,7,6,3,8,2,2,8,2,NA,10,NA,3,NA,7,4,2,1,NA,NA,NA,NA,2,2,3,NA,NA,4,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2511,NA,NA,440,3,3,2,10,3,7,7,9,4,5,14,33,38,7,15,6,2,5,45,25,78,47,45,115,6,32,61,20,1,7,NA,24,1,4,9,3,1,33,2,10,NA,20,2,1,10,NA,NA,1,NA,1,1,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2598,NA,NA,455,2,7,4,4,2,5,NA,8,2,4,NA,16,14,6,3,6,3,NA,12,12,49,33,37,61,4,1,14,6,9,14,1,11,2,1,6,NA,NA,5,NA,2,1,8,3,1,1,NA,NA,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA,5,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2638,NA,NA,462,6,7,3,3,3,3,3,6,5,9,3,6,27,7,7,2,6,1,23,37,67,35,51,104,4,10,24,12,8,7,12,12,NA,1,5,NA,NA,3,2,5,NA,8,2,2,5,2,NA,1,NA,1,2,1,2,1,2,NA,NA,NA,3,1,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
2684,NA,NA,470,5,4,6,3,3,5,2,5,3,13,4,23,22,8,6,4,4,NA,24,12,69,38,66,104,7,11,24,10,10,9,5,9,NA,4,9,2,NA,16,NA,4,NA,8,3,5,2,NA,NA,1,NA,1,4,3,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,3,NA,1,1,1,NA,NA,NA
2753,NA,NA,482,NA,NA,NA,NA,NA,NA,3,3,2,2,1,NA,4,1,2,NA,3,NA,9,2,8,5,4,20,1,7,53,2,NA,NA,NA,12,NA,2,NA,NA,NA,NA,1,3,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2799,NA,NA,490,5,3,NA,1,1,2,4,2,4,1,3,2,19,1,6,NA,1,NA,34,6,20,12,3,191,5,24,37,9,2,2,NA,11,NA,NA,3,NA,NA,NA,NA,10,NA,1,4,1,1,NA,NA,NA,NA,NA,1,NA,1,5,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2868,NA,NA,502,7,2,NA,2,1,3,6,1,3,1,2,3,9,2,7,1,1,NA,25,9,12,8,1,87,2,48,68,12,NA,2,1,8,NA,2,NA,NA,NA,1,1,12,NA,4,4,4,3,14,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
