"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Fagus","Cichorioideae","Apiaceae","Fabaceae","Mentha-type","Rumex/Oxyria","Abies","Artemisia","Quercus","Asteraceae","Brassicaceae","Sparganium","Quercus ilex-type","Fraxinus ornus","Quercus cerris-type","Poaceae (Cerealia)","Unknown","Lythrum","Quercus robur-type","Pteridium","Poaceae","Cyperaceae","Salix","Alnus","Amaranthaceae","Pteridophyta undiff.","Pinus","Corylus","Juglans","Rosaceae","Fallopia convolvulus","Ostrya/Carpinus orientalis","Caryophyllaceae","Rubiaceae","Spergularia-type","Castanea","Rhamnus/Frangula","Typha","Thalictrum","Vitis","Viburnum opulus","Plantago lanceolata-type","Fraxinus excelsior","Hedera helix","Juniperus","Dryopteris","Platanus","Pistacia","Myriophyllum spicatum","Cistus incanus-type","Varia","Ranunculaceae","Phillyrea","Ulmus","Erica","Carpinus betulus","Centaurea jacea","Centaurea scabiosa","Potamogeton","Humulus","Teucrium","Geranium","Helianthemum","Poterium sanguisorba","Buxus sempervirens","Calicotome villosa","Tilia","Rumex acetosella","Ericaceae","Picea","Acer","Ilex aquifolium","Ephedra","Olea","Cistus creticus","Cornus","Periploca","Paliurus spina-christi","Urtica","Cotinus coggygria","Potentilla","Epilobium","Scabiosa","Gypsophila","Osyris alba","Centaurea cyanus","Ononis-type","Vaccinium-type","Trifolium","Vitex agnus-castus","Arbutus","Betula","Campanulaceae","Cercis siliquastrum","Myosotis","Asphodelus","Lonicera"
-19,NA,NA,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,5,6,12,15,15,35,63,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,10,NA,3,1,NA,NA,NA,2,2,1,7,3,NA,3,1,NA,NA,4,3,5,9,7,9,4,20,27,47,67,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,20,NA,4,NA,1,NA,NA,2,2,1,4,NA,1,4,NA,NA,NA,2,1,5,5,3,3,4,22,14,54,65,1,NA,2,1,1,1,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,30,1,NA,1,1,NA,NA,3,4,NA,1,3,5,5,5,1,2,3,4,4,2,6,4,21,23,11,36,50,1,2,2,NA,2,NA,2,1,NA,NA,4,1,1,1,2,2,2,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,NA,NA,40,7,5,NA,1,2,8,8,4,3,5,9,23,15,6,2,1,4,14,12,4,17,26,54,79,18,103,71,3,4,11,3,8,NA,6,1,1,6,2,NA,1,NA,5,7,NA,3,19,1,1,1,1,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,NA,NA,50,3,NA,NA,3,NA,2,4,4,NA,2,7,15,7,9,2,4,2,7,13,5,21,13,19,220,7,115,53,3,2,4,1,10,NA,NA,2,NA,9,NA,NA,3,NA,6,1,NA,6,77,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,NA,NA,60,7,1,3,6,NA,7,3,6,4,3,4,12,12,5,1,1,4,4,10,7,37,16,40,145,9,90,61,5,3,5,2,7,1,1,NA,4,7,11,1,4,NA,6,4,NA,7,17,2,NA,1,NA,NA,NA,1,3,NA,1,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,NA,NA,70,3,1,2,3,NA,1,3,3,1,1,4,7,4,3,1,2,1,4,4,4,16,18,25,170,6,128,45,5,5,6,NA,5,NA,NA,NA,2,29,6,NA,4,NA,3,NA,2,10,83,NA,1,1,2,1,NA,NA,2,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,NA,NA,80,2,3,NA,NA,NA,2,NA,6,NA,5,5,7,10,6,2,NA,1,6,7,3,17,12,28,186,6,63,27,7,3,1,1,2,1,1,1,1,3,1,NA,1,NA,5,2,2,2,15,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,NA,NA,90,2,1,NA,NA,1,3,2,7,NA,6,5,5,6,4,NA,NA,NA,3,6,8,10,15,32,255,2,60,34,3,NA,7,NA,7,NA,2,NA,NA,NA,NA,NA,1,NA,2,4,1,1,24,NA,1,NA,NA,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568,NA,NA,102,3,4,NA,2,NA,NA,NA,2,NA,1,2,6,9,6,2,NA,2,6,17,5,12,22,32,206,7,66,37,5,2,2,2,5,NA,1,1,NA,1,NA,1,5,NA,4,2,NA,1,11,NA,4,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
614,NA,NA,110,2,1,1,NA,1,4,1,6,NA,7,3,6,8,8,1,3,4,8,11,7,14,10,27,343,7,54,39,8,5,5,NA,13,2,NA,1,NA,3,NA,1,2,NA,3,6,NA,1,42,1,1,NA,NA,2,NA,NA,1,1,1,1,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
671,NA,NA,120,5,NA,NA,2,NA,4,2,6,NA,2,4,7,18,11,3,1,2,7,16,8,14,20,48,301,1,44,38,8,3,7,1,9,NA,NA,1,NA,7,NA,NA,5,NA,6,14,2,3,8,1,3,NA,1,2,NA,1,3,4,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
769,NA,NA,137,NA,1,NA,NA,1,1,2,1,3,3,NA,3,15,8,3,1,8,7,16,4,22,21,36,238,9,57,46,11,2,9,NA,7,NA,2,NA,1,2,3,1,3,NA,3,NA,NA,NA,8,3,2,NA,NA,2,NA,NA,4,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,NA,NA,150,8,3,1,NA,2,6,2,9,2,7,3,7,15,4,8,2,NA,12,30,3,16,48,8,113,10,125,72,10,1,8,NA,15,NA,2,NA,NA,3,4,NA,4,NA,6,11,1,2,58,NA,2,10,NA,1,NA,NA,5,4,2,2,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901,NA,NA,160,2,NA,NA,3,1,1,2,2,2,4,1,5,12,5,6,NA,2,10,18,5,28,43,9,136,7,114,44,12,NA,6,1,10,NA,3,NA,NA,6,2,NA,4,NA,3,7,NA,1,23,NA,1,5,NA,1,3,NA,9,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
959,NA,NA,170,10,3,NA,NA,NA,8,3,11,4,5,2,12,18,NA,7,4,4,7,24,3,31,46,5,70,4,110,75,11,NA,7,1,16,NA,1,NA,NA,5,13,1,4,NA,1,9,NA,4,47,NA,2,21,NA,1,1,NA,3,2,2,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,NA,NA,180,5,NA,NA,NA,NA,1,1,3,NA,4,NA,3,4,4,3,NA,3,1,12,4,20,39,2,26,4,41,56,7,NA,3,NA,14,NA,NA,NA,NA,NA,9,NA,3,NA,3,4,NA,3,NA,NA,2,7,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102,NA,NA,195,11,NA,1,3,NA,1,2,6,1,4,1,10,16,7,10,2,7,4,31,4,30,67,11,126,13,153,79,14,NA,12,1,12,NA,1,NA,NA,2,8,NA,3,NA,6,4,2,6,49,NA,NA,19,NA,NA,1,NA,6,3,3,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177,NA,NA,208,4,NA,NA,NA,NA,4,3,3,4,4,NA,14,10,5,7,NA,4,2,22,10,23,25,10,141,2,82,41,8,1,4,NA,8,NA,1,1,NA,1,2,NA,12,NA,1,4,1,1,11,NA,1,NA,NA,2,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1275,NA,NA,225,1,1,NA,1,NA,1,3,4,1,1,1,8,2,3,3,1,2,1,7,20,8,30,10,57,8,13,22,NA,1,NA,NA,1,NA,1,3,NA,NA,2,1,7,NA,2,2,NA,2,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304,NA,NA,230,4,NA,2,2,NA,NA,3,3,NA,5,3,11,8,3,6,NA,5,NA,14,6,24,22,10,170,3,122,63,6,NA,8,NA,10,NA,1,NA,NA,4,1,NA,6,NA,4,5,1,2,23,NA,4,NA,NA,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1361,NA,NA,240,4,NA,3,1,NA,1,2,5,3,1,2,4,7,1,4,NA,4,1,12,2,7,12,12,155,1,53,33,11,NA,3,NA,3,NA,2,2,NA,3,NA,NA,8,NA,1,1,1,2,33,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1447,NA,NA,255,4,NA,NA,1,NA,1,NA,5,1,1,2,7,7,3,3,NA,2,1,12,2,10,20,10,263,2,87,28,6,1,2,NA,7,1,1,1,NA,1,NA,NA,4,NA,2,2,1,NA,18,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1522,NA,NA,268,1,2,NA,NA,NA,1,2,2,NA,4,4,8,9,2,3,NA,1,1,15,NA,9,13,18,277,2,83,32,6,1,3,NA,11,NA,NA,1,NA,NA,NA,NA,4,NA,3,NA,NA,NA,31,NA,NA,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1591,NA,NA,280,10,1,NA,NA,1,2,3,3,2,6,3,18,7,6,9,2,3,1,27,1,25,19,9,242,6,126,45,16,1,1,NA,14,1,1,NA,NA,1,2,NA,7,NA,2,3,NA,2,52,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
