"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Artemisia","Amaranthaceae","Plantago lanceolata-type","Helianthemum","Corylus avellana","Castanea sativa","Teucrium","Anthemis-type","Silene foetida-type","Sedum-type","Filago-type","Gentiana lutea/G. pneumonanthe","Jasione-type","Botrychium","Pteridium aquilinum","Cichorioideae","Brassicaceae","Arenaria","Genista-type","Plantago coronopus","Campanula","Calluna vulgaris","Erica umbellata","Polypodiales (monolete)","Alnus glutinosa","Galium-type","Pedicularis sylvatica","Erica australis","Ranunculus","Juniperus communis","Poaceae (Cerealia)","Betula pubescens","Halimium/Tuberaria","Narcissus pseudonarcissus-type","Rumex acetosella-type","Quercus ilex-type","Plantago subulata-type","Erica arborea-type","Quercus robur-type","Cyperaceae","Olea europaea","Pinus pinaster","Potentilla","Poaceae","Lycopodium spike","Vitis","Juglans","Cirsium-type","Aster-type","Dianthus lusitanus-type","Apiaceae","Colchicum montanum","Stellaria","Narcissus bulbocodium","Paronychia polygonifolia-type","Armeria","Menyanthes trifoliata","Micranthes stellaris-type","Caryophyllaceae (porate)","Pinus sylvestris-type","Viola","Rumex obtusifolius-type","Filipendula","Hedera helix","Ilex aquifolium","Chaerophyllum temulum","Silene dioica-type","Daphne/Thymelaea","Daucus","Pimpinella saxifraga-type","Saxifraga granulata-type","Ornithopus","Hedwigia","Minuartia recurva","Peucedanum-type","Ulmus","Lysimachia","Centaurea","Linum","Plantago major-type","Frangula alnus","Ulex","Phillyrea","Centaurea nigra-type","Ornithogalum-type","Silene ciliata-type","Sphagnum","Centaurium","Pistacia","Rosaceae","Sorbus aucuparia","Salix","Xanthium","Eryngium","Parnassia palustris","Carum verticillatum","Senecio","Sparganium","Silene vulgaris-type","Asphodelus albus","Cytisus scoparius","Conopodium majus","Cistus ladanifer-type","Radiola linoides","Lavandula","Fraxinus angustifolia","Polypodium","Heracleum","Asteroideae","Solidago","Fritillaria lusitanica","Polygonum aviculare-type","Succisa","Prunus","Echium","Anthriscus sylvestris","Rhinanthus/Veronica","Myriophyllum alterniflorum","Hypericum perforatum-type","Mercurialis","Montia fontana","Cerastium","Nymphaea","Epilobium","Veratrum album","Trifolium-type","Valerianella","Physospermum cornubiense","Poterium sanguisorba","Thelypteris palustris","Ephedra distachya-type","Fabaceae","Pimpinella anisum","Thalictrum","Unknown (cf. spore)","Anthriscus cerefolium","Astrantia","Linum catharticum-type","Lythrum","Fagus sylvatica","Robinia pseudoacacia","Chrysosplenium","Marchantiophyta","Cicuta virosa","Taxus baccata","Centaurea scabiosa-type","Primula vulgaris-type","Solanum dulcamara","Apium nodiflorum","Papaver rhoeas-type","Pentaglottis sempervirens","Sambucus nigra","Arnoseris minima","Athyrium filix-femina","Dryopteris filix-mas-type","Arbutus unedo","Rumex acetosa-type","Erica","Meum-type","Bupleurum","Ephedra fragilis-type"
33.63,NA,NA,2,"11329, 1","0.282","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","3","3","3","4","4","4","4","6","6","7","7","7","9","10","10","11","28","33","37","80","129","163","385","161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
133.57,NA,NA,5,"11329, 1","0.282","2","1","","","","","","4","","","","3","","","8","2","6","2","","17","5","7","7","3","5","8","","7","2","2","17","7","3","1","6","15","24","44","41","49","129","167","73","712","430","1","1","1","1","1","2","2","3","3","3","4","4","4","6","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
216.86,NA,NA,7.5,"11329, 1","0.282","3","3","1","","","5","","3","","8","","2","1","1","16","7","2","19","2","1","2","16","5","10","11","17","","16","2","2","17","9","6","1","16","9","19","86","55","23","104","38","79","268","85","","","","2","","6","","","","10","1","","5","","7","1","1","1","1","1","1","2","2","2","2","2","2","2","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
300.14,NA,NA,10,"11329, 1","0.282","7","2","","","","1","","4","","9","1","4","","4","14","13","3","9","","68","12","41","16","22","14","47","","62","5","1","26","5","5","","10","5","82","112","73","29","149","60","225","632","333","","2","","5","","20","","","","4","3","","6","26","23","","","","","1","","","2","","","","","","1","","1","1","1","1","1","1","1","1","1","1","1","1","2","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
466.71,NA,NA,15,"11329, 1","0.282","13","1","","","","5","","9","2","2","1","9","","1","13","13","10","2","","68","6","25","40","7","2","15","","17","7","2","29","15","2","","11","20","61","201","108","8","70","20","65","500","452","","3","","2","","28","1","6","1","24","5","","13","14","2","","","","","","","","1","","","","","2","","","","","","","","","","","","","1","1","","","5","","1","1","1","1","1","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
566.97,NA,NA,20,"11329, 1","0.282","8","1","4","","27","3","","4","","6","1","4","3","","14","6","2","4","3","2","4","74","3","15","19","54","7","3","4","","3","27","","1","19","10","31","82","74","33","3","4","43","1428","272","","","","","1","7","1","","","6","2","","1","","2","","","","","","1","1","","","","","","","","12","","","","","1","","","1","","3","","3","","","","","","","1","","","","","","1","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
624.65,NA,NA,28.5,"11329, 1","0.282","6","1","","","1","4","","","","3","","10","","1","6","3","4","2","5","9","7","40","10","10","19","29","","48","22","","18","8","1","","2","4","28","34","101","28","","20","19","295","238","","","","2","","31","","","10","2","5","","6","2","6","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
661.97,NA,NA,34,"11329, 1","0.282","","","","3","1","1","","","","2","","10","1","","3","1","2","","8","16","4","30","2","7","14","22","","3","18","6","1","6","2","","","8","19","29","91","4","3","16","23","676","211","","","","","","16","1","","4","1","3","","","4","4","","","","","","","","","","","","","","","","","","","","","","","","2","","","","2","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
736.62,NA,NA,45,"11329, 1","0.282","11","3","1","","","17","","1","4","8","","2","4","2","8","17","11","","2","46","6","14","2","24","16","10","","12","6","1","12","20","1","1","15","14","36","112","90","675","6","8","53","798","248","","1","2","3","","46","1","","","13","9","1","8","5","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","2","6","","1","","2","","","","","5","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
804.48,NA,NA,55,"11329, 1","0.282","1","","","","","3","","","","2","","3","","","9","","","1","","9","3","14","1","15","14","6","","19","5","","12","4","1","","","5","19","9","43","61","","","8","102","88","","","","1","","17","","","2","1","6","","1","3","6","","1","","","","","","1","","","","","","","","","","","","","","","","","","","4","","","2","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
