"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Corylus","Thalictrum","Ulmus","Apiaceae","Poaceae (Cerealia-type)","Echium","Solanum dulcamara","Lysimachia","Ostrya","Phillyrea","Fraxinus excelsior","Erica arborea","Quercus ilex","Abies","Juglans","Pistacia","Pinus","Plantago","Centaurea","Amaranthaceae","Artemisia","Rumex","Asteroideae","Cichorioideae","Brassicaceae","Polypodiophyta (monolete)","Typha angustifolia/Sparganium","Castanea","Olea","Alnus","Quercus robur-type","Poaceae","Fagus","Osmunda-type","Cyperaceae","Ranunculaceae","Filipendula","Mentha","Cannabaceae","Botrychium","Pteridium","Isoëtes","Acer","Lamiaceae","Sedum","Potamogeton","Ranunculus sect. Batrachium-type","Typha latifolia","Fraxinus ornus","Fumaria officinalis","Urticaceae","Carpinus","Morus","Vitis","Convolvulus","Armeria","Cistaceae","Galium","Rosaceae","Papaver","Hedera helix","Salix","Mercurialis","Betula","Juniperus","Polygonum aviculare-type","Campanulaceae","Alisma","Volvocaceae","Liliaceae","Fabaceae","Scrophulariaceae","Helleborus","Nymphaeaceae","Cynoglossum","Selaginella","Ephedra","Tilia","Populus","Viscum","Botryococcus","Centaurium erythraea","Buxus sempervirens","Sambucus racemosa","Prunus","Viburnum","Taxus","Cerinthe","Linum","Knautia","Celtis australis","Valerianoideae","Sambucus","Helianthemum","Ilex","Ligustrum","Poterium sanguisorba","Primula","Gentianaceae","Epilobium","Picea","Lythrum","Geranium","Carthamus-type","Hypericum","Euonymus","Ceratophyllum","Parnassia","Theligonum","Dryopteris","Asperula","Solanum nigrum","Androsace","Sorbus-type","Cirsium","Scabiosa","Dipsacoideae","Saxifraga","Plumbaginaceae","Euphorbia","Myriophyllum","Polygonum","Malvaceae","Anthericum"
14,NA,NA,40,"1","1","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","4","4","4","5","6","6","6","7","9","9","10","12","17","27","27","42","78","173","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25,NA,NA,44,"1","","2","","","3","","","","3","","2","2","","","","1","","2","","3","4","5","6","3","","5","4","6","12","16","17","48","98","16","58","1","1","1","1","1","4","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33,NA,NA,48,"","","2","","","2","","","","1","","","","1","","","","1","1","","2","2","1","1","1","","37","3","8","8","389","11","14","51","63","69","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
43,NA,NA,52,"3","4","","2","2","","","","","1","","1","1","2","","","","","","","2","2","4","3","4","3","82","11","11","3","187","7","10","62","37","14","","","","","","","","","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53,NA,NA,56,"","1","2","2","5","1","","","","","1","","4","","","1","2","4","1","","6","7","1","1","2","4","87","20","16","10","540","45","12","81","86","15","","","","","","","","","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
64,NA,NA,60,"","","","","17","3","","","","9","1","","","2","","","2","","","","2","2","","","2","","100","16","3","5","975","20","10","50","17","11","","","","","","2","39","","","","","","","5","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
76,NA,NA,64,"","","5","1","2","1","","","","2","","1","1","","","2","4","4","2","","1","1","2","1","","","46","18","4","9","276","19","8","51","10","35","","","","1","","","","1","1","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
87,NA,NA,68,"","4","","2","2","1","","1","","1","","1","1","2","","","","1","","","","","2","","","","30","12","11","3","187","7","2","62","15","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
97,NA,NA,72,"","","","","7","1","","","","6","","1","1","","1","","4","2","2","","1","","3","2","","1","103","15","2","4","548","11","14","116","5","30","","","","","2","2","20","","","","","","","1","","1","","","2","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
117,NA,NA,80,"","","1","","2","1","","","","1","","","","","","","","11","","","","2","","1","","4","99","9","2","","408","11","15","44","24","38","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
127,NA,NA,84,"","","4","","8","","","","","3","","","2","","","","","","3","","","3","","1","","","128","25","7","5","1040","16","","91","","34","2","","","","","5","18","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
