"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Diospyros","Tetrorchidium","Detarioideae","Calycobolus","Quassia silvestris","Nesogordonia","Trilepisium madagascariense","Arecaceae","Asteraceae","Euphorbiaceae","Syzygium guineense","Illigera","Sapindaceae","Lophira alata","Triplochiton scleroxylon","Gilbertiodendron","Unknown (trilete)","Convolvulaceae","Grewioideae","Pandanus","Alstonia boonei","Indeterminable (degraded)","Pycnanthus","Poaceae","Combretaceae/Melastomataceae","cf. Dasylepis","Macaranga","Alchornea","Celtis","Selaginella","Unknown (monolete, type A)","Cyperaceae","Unknown (monolete)","Tabernaemontana","Blighia","Uncaria","Morelia senegalensis","Palisota","Moraceae","Zanthoxylum","Hannoa","Peperomia","Amaranthaceae","Typha","Ficus","Meliaceae","Annonaceae","Ipomoea","Elaeis guineensis","cf. Corchorus","Allophylus","Psydrax subcordata","Panda oleosa","Chytranthus macrobotrys","Trichilia","Podocarpus","Ceiba pentandra","Tieghemella","Menispermaceae","Homalium","Salicaceae","Hymenocardia","Melochia","Cleistanthus","Rinorea","Lippia","Celastraceae","Capparaceae","Passifloraceae","Dichapetalum","Thomandersia hensii","Securinega","Strombosia","Xyris","Piptostigma","Mallotus","Capparis","Phyllanthus","Holoptelea grandis","Rubiaceae","Vigna","Cynometra","Sterculioideae","Drypetes","Borassus","Scytopetalum","Cercestis","Leptaulus daphnoides","Bridelia","mimosoid clade","Vepris","Tessmannia","Commelinaceae","Premna","Polygalaceae"
205,NA,NA,4,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,5,5,6,6,10,13,17,27,38,42,52,58,61,102,212,981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,NA,NA,6,NA,NA,NA,NA,NA,1,1,2,1,1,NA,NA,1,4,9,3,4,NA,5,NA,8,2,NA,9,29,37,36,84,58,192,140,126,1616,1,1,1,1,1,2,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,NA,NA,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,4,4,4,4,1,NA,NA,13,1,NA,23,19,15,51,134,7,119,102,40,1563,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,2,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,NA,NA,10,1,NA,1,NA,NA,5,2,3,NA,NA,NA,NA,NA,3,7,3,12,NA,4,NA,10,10,7,16,13,36,35,93,41,159,147,92,1285,NA,NA,1,NA,7,1,NA,2,NA,3,NA,NA,NA,1,6,1,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
614,NA,NA,12,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,6,4,1,4,NA,3,NA,10,4,NA,13,27,9,53,119,10,80,65,89,881,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,3,NA,13,6,NA,NA,NA,NA,NA,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717,NA,NA,14,NA,NA,2,1,NA,NA,3,5,3,1,NA,3,NA,2,6,7,12,NA,19,1,6,11,1,10,7,45,40,91,22,152,118,105,1551,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,3,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
940,NA,NA,16,NA,NA,2,NA,NA,1,2,NA,2,1,NA,NA,2,3,4,1,13,3,4,NA,12,3,1,10,17,15,56,123,15,95,64,59,1522,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,2,5,10,3,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1163,NA,NA,18,NA,1,NA,NA,NA,1,NA,NA,3,NA,NA,4,2,3,2,3,16,1,19,1,10,22,2,22,11,41,31,68,18,88,148,104,849,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,5,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,2,2,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1385,NA,NA,20,NA,NA,1,NA,NA,NA,NA,1,2,3,NA,1,1,2,9,4,13,NA,6,2,11,13,NA,17,13,12,44,131,21,114,53,86,827,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,1,NA,7,NA,NA,1,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,NA,NA,22,1,7,3,NA,NA,2,NA,3,1,NA,NA,5,1,5,5,6,9,NA,13,1,4,12,NA,21,13,19,24,69,35,119,125,119,953,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,14,5,10,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,9,1,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
