Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acalypha cf. crenata,Alchornea,Allophylus,Amaranthaceae/Chenopodiaceae,Annonaceae,Antidesma,Apocynaceae,Artemisia,Bombax,Borreria,Brassicaceae,Bridelia,Burkea,Butyrospermum,Caesalpinioideae,Capparidaceae,Cassia,Celtis,Cf Zornia,Chrozophora,Cissampelos cf. mucronata,Cissus,Combretaceae,Commelinaceae,Commiphora,Compositae,Cordia,Cyperaceae,Detarium,Elaeis guineensis,Entada,Ephedra,Euphorbiaceae,Ficus,Gardenia imperialis,Gramineae,Heliotropium,Hydrocharitaceae,Hymenocardia,Hyphaene/Borassus,Indetermines,Indigofera,Irvingiaceae,Khaya,Kohautia,Lactuceae,Lamiaceae,Lannea/Sclerocarya,Laurembergia,Liliaceae,Lythraceae,Macaranga,Maerua,Malvaceae,Mitracarpus scaber,Mitragyna,Monocotyledoneae,Monoletes,Moraceae,Morelia senegalensis,Nymphaea,Oldenlandia,Olea hochstetteri,Papilionoideae,Phoenix,Phyllanthus reticulatus-type,Podocarpus,Polycarpaea,Polygala,Polygonum cf. senegalense,Prosopis,Rubiaceae,Salvadoraceae,Scrophulariaceae,Securinega virosa,Sesbania,Solanum,Syzygium,Triletes,Typha,Uapaca,Urticaceae,Ziziphus
4703.335,158,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,12,,,,,,,,107,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
4822.751,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,98,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5061.583,170,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,124,,,,1,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5151.146,173,,,36,,1,1,,,,,,,,,1,,1,,,,1,,1,5,,,,,69,3,5,,,1,3,1,346,,,1,,15,1,,,,,1,,,,,,,,,3,,2,,1,,,,2,1,,1,,,,,,2,,2,,1,4,,3,4,,
5240.708,176,,1,22,,1,,,,1,,,,,1,,,1,,1,,,1,1,4,,,,1,58,5,9,,,,3,,364,,,3,,12,,2,1,,,1,,2,,1,,,,2,2,1,,1,6,2,,,2,,,,1,,,1,1,,,1,,,12,,7,4,,
5569.103,187,,,14,,3,,,,1,,,,,,,,,,1,,,,,6,,,,,54,1,,,,,,,427,2,,2,,4,,,,,,,,4,,,,,,,2,,,,3,,,,3,,,,,,,,,,,,,,5,,2,12,,
5897.498,198,,,8,,3,,,,,,,,1,,,2,,,,1,,,,3,,1,,1,51,1,2,1,,,,,330,,,,,9,,2,,,,1,1,1,,,2,,,1,,,,,4,1,,1,2,1,,,,,,,,,,5,,,4,,2,14,,
6225.893,209,,,7,,,,2,,,,,,,,,,,,1,,,,,5,,,,,64,,9,,,,,,436,,,3,,3,,,,,,,,3,,,,,,,1,1,,,1,,,2,1,,,,,,,,,,,3,,,1,,1,20,,
6375.163,214,,,19,,,,,,,,2,,,,,,,,,2,,,,2,,,1,1,64,,22,,,2,,,493,,,2,,7,,,,,,,,,4,1,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,1,,3,36,,
6673.703,224,,,3,,,,,,,,,,,,,,2,1,,,,,,2,,,,,56,,5,,,1,,1,418,,,,,7,,,,,,,,3,,,,,,,,,1,,,,,2,2,,,,,,,,,,1,1,,,4,1,,29,,
6972.244,234,,,7,,,1,1,,,1,,,,,,,,,,,,,,2,,,1,,61,4,3,,,,,,476,,,1,,4,,,,,,,,1,,,,,,,,,1,1,,1,,1,6,,,,,,,,,,,,,,4,,,20,1,
