"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Rumex","Apiaceae","Pistacia","Amaranthaceae","Lamiaceae","Typha angustifolia-type","Matricaria-type","Quercus cf. Q. canariensis","Cyperaceae","Brassicaceae","Plantago cf. P. lanceolata","Cedrus cf. C. atlantica","Quercus cf. Q. rotundifolia","Poaceae","Asteroideae","Plantago cf. P. major","Myriophyllum","Cupressaceae","Fraxinus","Potamogeton","Phillyrea","Plantago cf. P. coronopus","Caryophyllaceae","Cichorioideae","Plantago undiff.","Ranunculus","Alisma-type","Hypericum","Cirsium-type","Herniaria-type","Cladium","Typha latifolia","Pinus","Hedera","Ephedra cf. E. distachya","Helianthemum","Olea","Euphorbia","Ephedra cf. E. fragilis","Ilex"
140,359,-44,1602,1,1,1,1,1,1,1,1,1,2,2,2,12,30,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,400,2,1632,NA,NA,1,NA,1,NA,2,NA,1,3,2,1,20,27,43,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,457,47,1664,1,1,2,NA,1,NA,1,1,NA,1,1,1,22,29,39,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,491,70,1680,2,1,NA,1,NA,NA,2,NA,1,1,2,NA,23,45,22,NA,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,527,94,1696,2,1,2,1,1,NA,1,NA,1,1,1,1,22,42,26,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,618,147,1732,1,NA,1,NA,1,NA,2,NA,1,1,1,NA,16,51,25,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,750,199,1764,1,2,1,1,1,NA,1,NA,1,1,1,1,6,43,37,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,798,228,1780,2,1,1,NA,1,NA,3,1,1,2,1,1,7,37,41,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,833,254,1793,NA,2,2,1,1,NA,1,NA,1,1,2,NA,10,39,41,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,913,345,1832,1,1,2,1,1,NA,1,NA,3,1,NA,1,13,40,35,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
