"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Fabaceae undiff.","Sparganium-type","Pistacia","Poaceae (Cerealia) undiff.","Secale","Carpinus betulus","Ephedra distachya-type","Ostrya/Carpinus orientalis","Plantago coronopus-type","Fraxinus excelsior-type","Quercus cerris-type","Serratula-type","Betula","Rumex-type","Phillyrea","Varia","Fagus","Sample quantity","Corylus","Centaurea cyanus","Dipsacoideae","Galium-type","Cyperaceae undiff.","Plantago lanceolata-type","Matricaria-type","Cichorioideae","Poaceae","Juniperus-type","Quercus pubescens/Q. robur-type","Spike","Pinus","Artemisia","Amaranthaceae","Botryococcus","Ulmus","Brassicaceae","Sarcopoterium spinosum/Poterium sanguisorba","Centaurea solstitialis","Helianthemum-type","Quercus indet.","Apiaceae","Typha latifolia-type","Ephedra fragilis-type","Quercus ilex/Q. coccifera-type","Alnus","Rosaceae undiff.","Prunella-type","Fraxinus ornus","Xanthium-type","Thalictrum","Pimpinella-type","Polygonum aviculare-type","Euphorbiaceae","Cistus albidus-type","Platanus orientalis","Mentha-type","Polypodiaceae undiff.","Filipendula","Asphodelus-type","Salix","Acer","Senecio-type","Centaurea scabiosa-type","Armeria maritima-type","Elaeagnus","Liliaceae undiff.","Pulmonaria-type","Polypodium vulgare","Ranunculus-type","Erica-type","Juglans","Vicia-type","Sorbus-type","Alchemilla-type","Calystegia-type","Nonea-type","Erodium-type","Medicago sativa-type","Picea","Vitis","Linum undiff.","Populus","Triticum-type","Humulus/Cannabis-type","Abies","Reseda-type","Plantago major/P. media-type","Pteridium","Rumex aquaticus-type","Tilia","Castanea","Limonium vulgare","Myriophyllum-type","Astragalus-type","Stachys-type","Phyteuma-type"
203,NA,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3.6,4,4,4,4,5,5,5,8,10,15,23,83,96,114,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,NA,NA,26,3,1,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,4,3,3,NA,1,NA,2,7,3,1,13,9,15,39,105,204,77,1,1,1,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,NA,NA,42,1,NA,1,NA,NA,NA,2,NA,2,NA,NA,1,NA,2,1,NA,1,NA,3.2,1,NA,NA,3,2,3,2,5,15,28,11,65,202,59,72,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,NA,NA,66,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,7,3.4,NA,1,1,1,NA,1,1,NA,10,12,11,30,144,142,80,130,1,NA,NA,NA,4,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1082,NA,NA,90,1,NA,NA,NA,3,NA,4,NA,NA,1,NA,1,NA,2,1,NA,1,3,2.2,NA,NA,NA,3,1,12,1,3,85,45,29,207,129,81,9,963,NA,3,3,NA,NA,NA,1,NA,NA,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1238,NA,NA,106,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,2,NA,1,NA,NA,2,3.2,5,NA,1,1,1,11,5,5,25,10,45,34,113,143,29,60,2,1,1,1,8,NA,2,NA,NA,NA,3,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1338,NA,NA,130,1,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,2,2,3.2,8,NA,NA,2,NA,19,2,19,27,13,12,74,154,141,89,3,NA,2,1,NA,2,NA,1,1,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,NA,NA,146,2,NA,1,1,5,1,1,NA,2,NA,NA,NA,1,1,3,NA,NA,NA,2.4,7,2,NA,9,10,24,4,7,62,10,27,105,50,171,28,16,3,NA,5,NA,4,NA,5,NA,NA,NA,3,2,NA,NA,NA,1,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1536,NA,NA,170,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,2,3.2,1,1,NA,NA,4,9,1,3,31,3,15,72,163,131,18,27,NA,2,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1630,NA,NA,186,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,3,5,NA,NA,1,7,1,3,NA,64,28,37,58,242,15,5,920,NA,NA,NA,NA,1,NA,4,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
