"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Brassicaceae","Quercus ilex-type","Sparganium-type","Ulmus","Acer","Asteroideae","Rubiaceae","Filipendula","Olea","Erica arborea-type","Quercus pubescens-type","Artemisia","Fraxinus ornus","Amaranthaceae-type","Cyperaceae","Cichorioideae","Anthemis-type","Quercus cerris-type","Lemnoideae","Plantago lanceolata-type","Phillyrea","Thalictrum","Apiaceae undiff.","Poaceae","Myriophyllum alterniflorum","Lycopodium spike","Callitriche","Plantago major","Platanus","Ostrya-type","Populus","Poaceae (Cerealia)","Rumex acetosa-type","Eucalyptus","Centaurium","Sorbus-type","Trifolium pratense-type","Sedum-type","Cladium mariscus","Ilex aquifolium","Pimpinella major-type","Ranunculus sect. Batrachium","Sphagnum","Polypodium","Ranunculus acris-type","Aster-type","Plantago maritima-type","Peucedanum-type","Chaerophyllum hirsutum-type","Rumex scutatus-type","Pteridium aquilinum","Sporormiella","Trifolium repens-type","Corylus avellana","Daucus","Mercurialis annua","Pteridophyta (monolete) undiff.","Cercophora-type","Paronychia-type","Centaurea nigra-type","Urtica membranacea-type","Alnus glutinosa-type","Pinus","Urtica dioica-type","Alisma-type","Juniperus-type","Oenanthe","Plantago coronopus-type","Ceratophyllum","Potamogeton-type","Betula","Potentilla-type","Rumex","Pistacia","Bupleurum","Echium-type","Hedera helix","Silenoideae-type","Salix","Rosaceae","Helianthemum","Lythrum portula","Mentha-type","Serratula-type","Fraxinus excelsior-type","Fagus sylvatica","Ranunculus-type","Phragmites australis","Utricularia","Rumex obtusifolius-type","Carpinus betulus","Liliaceae-type","Castanea sativa","Eryngium","Genista-type","Ephedra fragilis-type","Gnaphalium-type","Cyperus-type","Ammi-type","Falcaria-type","Turgenia latifolia","Carduus","Spergula-type","Anthriscus sylvestris-type","Isoëtes","Rubus","Abies","Euphorbia","Juncaceae","Heliotropium","Vicia-type","Hypericum perforatum-type","Papaver rhoeas-type","Solanum dulcamara","Asphodelus albus-type","Trifolium-type","Picea","Apium-type","Smyrnium-type","Fabaceae undiff.","Vitis","Cannabis sativa","Astragalus-type","Humulus lupulus","Daphne","Glomus","Anthyllis","Podospora-type","Cerastium-type","Linum","Osmunda regalis","Cuscuta","Geranium","Rosa","Scabiosa","Silene dioica-type","Viburnum tinus","Loranthus europaeus","Urtica pilulifera","Typha latifolia-type","Corrigiola litoralis","Anemone-type","Cirsium","Senecio-type","Juglans regia","Foeniculum-type","Morus","Prunus-type","Cistus","Sambucus nigra-type","Saxifraga granulata-type","Lygeum spartum","Heracleum","Odontites-type","Carlina","Sanicula europaea","Gladiolus-type","Colchicum-type","Taxus baccata","Theligonum cynocrambe","Ceratonia siliqua","Knautia","Ephedra distachya-type","Calendula","Cynoglossum officinale-type","Cyclamen purpurascens","Gelasinospora","Pteridophyta (trilete) undiff.","Lotus-type","Tilia","Matthiola-type","Epilobium","Calligonum","Polygonum aviculare-type","Allium-type","Melampyrum","Lysimachia vulgaris-type","Ophioglossum lusitanicum","Linaria-type","Scilla-type","Lamiaceae undiff.","Sanguisorba minor-type","Cerinthe","Valerianoideae","Nymphaea","Caltha-type","Viola"
-48.82,NA,NA,1,"18584, 3","1","2","2","3","3","3","3","3","3","3","3","3","4","4","6","9","9","9","9","12","12","12","14","47","187","360","-9999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-17.9,NA,NA,6,"18584, 3","1","2","5","1","1","","","4","","25","2","18","6","1","2","16","14","3","33","4","6","","","","140","326","890","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","5","8","8","8","12","16","18","21","1605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6.84,NA,NA,10,"18584, 3","1","","","1","6","3","17","","4","6","","20","3","14","1","13","21","1","24","5","10","1","","57","20","456","899","","","","","","2","","","","6","","","","1","","","","1","","","","","","","","","","2","","","","","","","","6","4","","1","","","","21","263","1","1","1","1","1","1","1","1","2","2","2","2","3","3","4","10","14","534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31.58,NA,NA,14,"18584, 3","1","1","10","","","","","5","","21","1","8","5","1","4","14","17","7","11","100","7","","","","283","261","435","1","2","","","","1","1","2","","","","","","","","23","","","3","3","","1","1","","1","1","1","3","4","2","2","3","2","","","5","2","1","19","4","83","24","2","1033","","2","","6","","","","","","","1","","","","","3","","","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
81.05,NA,NA,22,"18584, 3","1","2","11","","1","","1","4","","24","3","3","10","","6","17","30","13","5","","6","1","","1","409","181","377","","","","","","1","1","","","","2","","","","","18","","","","4","3","","","1","","9","12","4","4","1","1","6","4","4","","2","","1","25","5","137","35","","227","","1","","1","","","","","","","","1","1","","","","","","","","","1","5","1","1","1","2","","","1","","1","","","1","","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
130.52,NA,NA,30,"18584, 3","1","1","","","4","","16","","","5","3","7","6","13","7","7","82","22","7","","10","","","5","98","137","661","","","","1","","10","","","","","","","","","","25","","1","","","","","","","","","","1","","","41","","","","","","2","","18","","280","","11","28","","","1","","1","","5","3","","2","","","2","2","22","6","","88","","","","1","","","","","","","","","","","","","","2","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
179.99,NA,NA,38,"18584, 3","1","2","33","1","","","","7","","23","1","7","5","","2","9","36","14","15","","8","1","","5","266","31","319","","","","","","1","1","","","","1","1","","","","","","","","21","3","","","1","1","10","3","","","","3","1","1","5","","1","2","1","","","24","32","","232","","1","","1","2","","1","1","","","2","1","","","1","1","","","","","","3","","","","1","8","","","","","1","","","2","","","","","","","2","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
229.47,NA,NA,46,"18584, 3","1","3","26","2","","","1","6","","15","2","14","6","","1","9","63","24","20","","9","1","","3","203","10","322","1","","","","","3","","","","","2","","","","","7","","","","6","3","1","2","2","3","3","3","","1","2","12","1","6","2","","3","1","","1","2","22","42","","663","","1","","1","","1","1","1","","","2","3","","","","","","","","","","","1","","2","1","7","","","","","1","","1","3","","","","","","1","","","","1","","","","1","1","1","1","1","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
291.31,NA,NA,56,"18584, 3","1","","","","2","","17","","","5","5","35","5","18","9","19","27","5","10","1","18","","","3","98","155","223","","","","1","","11","","","","2","","","","1","","27","","","","","","","","","2","","","1","","","24","","","","","","1","","62","","673","","3","18","","","","","3","","3","3","3","","","","","1","6","6","3","58","","","","","11","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
328.41,NA,NA,62,"18584, 3","1","4","33","18","","","","7","","6","","53","8","2","4","23","21","22","89","2","3","2","","2","330","27","87","","","","","","1","","","1","1","4","","","3","1","25","1","1","","10","","","2","","5","6","9","","7","","14","2","2","3","","4","1","1","26","","487","13","","1","","","","","2","","3","1","","","","11","","","","5","","","","","","","1","","1","","2","1","","","","1","","","","","","","","","","","","","1","","","55","1","","1","2","","","","","","2","","","","1","1","1","1","1","1","2","2","3","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
