"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Closterium","Vitis","Acer","Rhamnus","Berberis","Cistus","Transeauina","Pistacia","Poaceae (Cerealia)","Lamiaceae","Ranunculus","Thecaphora","Mougeotia","Juglans","Genista-type","Betula","Ephedra fragilis-type","Puccinia","Corylus","Amaranthaceae","Ericaceae","Fraxinus","Plantago","Potamogeton","Olea","Phillyrea","Asteraceae","Typha","Indeterminable (unknown)","Quercus (deciduous)","Artemisia","Polygonum aviculare-type","Juniperus-type","Pseudoschizaea","Riccia lamellosa-type","Sordaria-type","Pinus pinaster","Cyperaceae","Spirogyra","Quercus (evergreen)","Zygnema","Fungi","Pinus nigra-type","Poaceae","Lycopodium spike","Charcoal","Botryococcus","Trichuris","Salix","Myriophyllum","Ulmus","Taxus","Caryophyllaceae","Brassicaceae","Helianthemum","Arbutus","Ephedra major subsp. major","Buxus","Hedera","Ilex","Unknown (type 128, HdV)","Desmidiaceae"
4571.5,NA,NA,76,"12542, 2","","","","","","","1","1","","","1","","2","1","","1","1","","3","8","2","2","1","13","1","2","8","","8","3","23","","11","8","","","31","12","39","14","61","10","87","30","163","286.88","2","","","1","1","1","1","3","1","","","1","","","",""
4745.9,NA,NA,78,"12542, 2","","","","","","1","3","","","","","","2","","1","","1","","2","2","2","1","2","2","1","","2","","11","8","7","1","2","3","1","","13","15","5","3","26","21","254","43","139","50.04","1","","","","","","1","3","1","","","","","","",""
4920.2,NA,NA,80,"12542, 2","","","1","","","","","1","","","","","","","","","1","","1","8","1","","","3","","","2","5","1","9","16","","12","22","","","20","22","3","6","11","35","179","28","150","118","1","","1","","","","2","","1","","","","","","",""
5105.5,NA,NA,82,"12542, 2","","","2","","","","","7","","","","","","","","1","","","","8","2","","","6","2","2","25","","10","7","18","","21","59","2","","51","13","8","11","9","13","107","27","150","296","2","","1","","","","","","1","","","","","","",""
5292.3,NA,NA,84,"12542, 2","3","","1","","","","","8","","1","","","","","","4","","","3","1","2","","","8","","4","12","4","3","21","7","","5","23","","","44","12","13","11","8","12","99","30","150","208","8","","3","","1","","","","","","","","1","","",""
5457.9,NA,NA,86,"12542, 2","","","1","","1","1","","5","","","","","","","1","9","1","","","2","5","2","","16","2","3","3","4","4","18","3","1","2","6","2","","39","31","34","13","14","10","114","33","150","23.52","6","","1","","2","","","","","1","","","2","","",""
5600,NA,NA,88,"12542, 2","","","2","1","","","","11","","","","","","","","8","","","2","1","5","5","1","14","9","7","2","","7","20","5","1","","","","","38","12","51","20","11","12","95","41","162","4.32","4","","2","","2","1","","","","2","1","","1","2","",""
5741,NA,NA,90,"12542, 2","","","6","1","","","","12","","","4","","1","","","4","1","","3","","7","2","","11","8","4","3","","5","22","3","","2","","","","32","9","45","28","12","","103","39","166","4.42","14","","2","","4","1","","","","2","","1","1","2","",""
5891.6,NA,NA,92,"12542, 2","","","1","1","","","1","8","","","3","","2","","","8","1","","7","","15","3","","12","2","10","2","","8","19","1","","1","","1","","27","6","23","49","38","","89","36","163","43.46","12","","2","","1","1","","","","2","","1","1","1","",""
6042.5,NA,NA,94,"12542, 2","2","","3","1","","","2","3","","","","","","1","","9","","","11","","12","8","2","23","1","9","1","","9","31","2","1","","2","","","21","1","16","29","12","3","80","44","160","12.8","9","","6","","1","","","","","3","1","1","1","1","",""
6213.4,NA,NA,96,"12542, 2","","","4","1","","1","1","10","","","3","","","1","","12","","","10","","7","14","","29","8","8","2","","10","40","3","","","1","","","8","","13","28","15","5","102","34","148","23.68","13","","1","1","1","1","","","","2","","2","1","","",""
6400.7,NA,NA,98,"12542, 2","","","5","2","1","1","","","","","5","","","1","","2","","","12","1","9","15","","25","12","1","2","","12","32","","","2","","1","","10","2","12","21","19","4","90","20","155","13.91","11","","2","2","3","2","","","","","","2","2","","",""
6587.3,NA,NA,100,"12542, 2","","","5","1","","1","","3","","","2","","","2","","5","","","9","","13","2","","14","4","3","2","","13","29","1","","","","","","15","1","18","18","17","3","79","28","150","5.66","11","","4","2","1","","","","","1","1","2","3","2","",""
6774.6,NA,NA,102,"12542, 2","","","4","","","","","2","","","9","","","1","","10","","","8","","5","3","2","26","1","2","","","10","23","","","","1","","","11","4","17","12","19","10","87","51","150","15.38","12","","2","2","2","1","","","","2","","1","","4","",""
6962.8,NA,NA,104,"12542, 2","","","3","","","","1","5","","","3","","","1","","12","","","3","","2","1","","26","1","","","","12","38","2","","1","","","","12","9","10","8","18","12","96","33","150","11.76","24","","5","2","","1","","","","","","","1","","",""
7153.8,NA,NA,106,"12542, 2","1","","1","","","1","","","","","2","","","","","15","","","6","","","7","","22","1","2","","1","11","50","6","","1","","","","8","8","18","3","10","8","88","32","153","14.28","12","","2","3","","","","","","","1","1","","","",""
7347.4,NA,NA,108,"12542, 2","1","","2","","","","1","2","","","1","","","","","7","","","2","1","","8","","23","3","","","","9","9","11","","5","1","","","22","7","12","1","13","11","115","49","150","20.4","18","","","1","","","","","","1","","","","","",""
7541,NA,NA,110,"12542, 2","1","","","","","","","1","","","8","","","","","3","","","","2","1","3","","15","1","","","8","9","8","7","","6","2","1","","30","12","39","","23","23","101","55","149","23.84","2","","3","","","","","","","","","1","","","",""
7745.2,NA,NA,112,"12542, 2","","","","","","","","6","","","4","","1","","1","8","","","8","3","1","2","","14","2","","1","13","7","5","11","1","8","12","3","","28","29","29","2","38","34","138","41","150","42","3","","1","","","","","","","","","","","","2",""
7945.7,NA,NA,114,"12542, 2","","","","","","1","","","","","1","","2","","","7","","","","4","2","1","2","21","","2","2","7","12","6","29","","12","28","","","31","19","14","3","51","65","170","38","157","138.16","3","","1","","","","1","","","","","","1","","",""
8144.5,NA,NA,116,"12542, 2","","","2","","1","","1","4","","","2","","3","","","5","","","2","4","4","","2","12","","","12","9","3","1","14","","27","51","","","41","8","11","","29","59","165","29","153","256.04","2","","","","","1","1","","","","4","1","","","",""
8346.1,NA,NA,118,"12542, 2","3","","","1","","","","","","2","","","3","","","4","","","1","10","3","","1","1","5","","20","14","","5","28","","36","99","1","","42","15","10","","12","23","193","50","137","192.18","4","","","","","","1","2","","","7","1","","","1",""
8543.5,NA,NA,120,"12542, 2","","","","","","2","","5","","4","","","","","","4","","","1","6","2","8","","","8","4","21","6","16","","11","","11","38","","","37","17","17","4","9","44","221","39","141","147.71","","","","","1","","2","1","2","1","2","","","","2",""
8751.5,NA,NA,122,"12542, 2","1","","3","","","","","","","2","","","5","","","","","","4","10","","5","","9","1","3","12","8","12","2","25","","31","8","","","33","32","18","","13","39","202","20","144","40.32","","","4","","","","3","2","3","","9","","","","1",""
8958.6,NA,NA,124,"12542, 2","1","","","","","","","3","","3","","","2","","","3","","","","11","2","","1","7","11","","11","7","11","6","12","","17","12","","","28","21","13","3","17","51","253","48","150","44","4","","2","","","","1","1","1","1","7","","","","1",""
9159.9,NA,NA,126,"12542, 2","2","","","","","1","","8","","","","","1","","1","","","","3","8","3","","2","4","2","","8","4","8","","37","","39","52","","","40","8","15","","12","43","276","41","150","150","7","","","","1","","1","2","","","5","","","","3",""
9358.3,NA,NA,128,"12542, 2","2","","1","","","1","1","","","","","","1","","","1","","","5","7","","1","1","3","8","","9","6","9","6","21","","12","31","2","","31","11","10","3","9","56","290","34","150","75.51","1","","2","","","1","1","1","","","2","","1","","2",""
9555.9,NA,NA,130,"12542, 2","1","","","","","","","12","","","","","1","","","","","","","12","1","1","","12","2","2","12","15","5","8","35","","24","28","","","26","35","13","1","11","49","286","59","150","58.33","3","","1","","","","","","","","3","","","","",""
9784.4,NA,NA,132,"12542, 2","3","","","1","","","","","","1","","","1","","","","","","2","1","","1","","1","1","1","15","8","9","","17","1","26","12","","","30","12","25","2","8","38","301","66","150","143.75","8","","","","","","2","","","1","","","","","3",""
10014.4,NA,NA,134,"12542, 2","2","","2","","","1","1","2","","","","","2","","","1","","","","","1","","1","11","","","8","7","3","5","21","","12","8","","","39","18","37","8","10","24","287","45","144","47.02","11","","","1","2","","","","","1","","","","","2",""
10235.1,NA,NA,136,"12542, 2","4","","","","","1","1","1","","","7","","1","","","6","","","4","","4","2","2","14","1","","6","2","3","","10","","10","3","","","27","13","45","14","12","3","351","25","143","117.18","9","","2","1","1","1","","","","","","","1","","1",""
10451.4,NA,NA,138,"12542, 2","3","","","4","","1","5","7","","","6","","5","","","5","","","1","","9","2","","15","4","5","5","2","5","4","12","","13","5","1","","24","3","38","29","27","4","288","48","148","96.65","2","","3","3","","","","","","","","","","","2",""
10671.1,NA,NA,140,"12542, 2","9","","1","3","","","3","3","","","4","","3","","","","","","5","","12","3","","18","10","7","5","1","1","7","13","","12","2","","","19","1","19","21","31","5","237","59","158","54.77","5","","1","2","","","","","","","1","2","","","5","2"
11072.7,NA,NA,142,"12542, 2","4","","","1","1","","1","","","","8","","2","","1","","","","","1","13","5","","13","2","9","4","","9","5","11","","15","3","1","","22","6","21","18","48","4","198","70","150","10","2","","","4","","","","","","1","2","","","","9","3"
11477.9,NA,NA,144,"12542, 2","6","","1","2","","1","8","3","","","5","","1","","","4","","","8","2","11","2","","11","5","4","3","","5","3","35","","45","","","","31","2","5","15","21","2","91","123","146","9.73","6","","","3","1","","","","","","3","1","","","13","3"
11931.1,NA,NA,146,"12542, 2","9","","","","","","12","","","","1","","1","","","8","","","6","3","1","2","","10","4","3","3","","7","5","31","1","38","","","","16","1","4","8","21","","135","100","150","18","5","","1","2","1","1","","1","","","3","2","","","21","1"
12439.1,NA,NA,148,"12542, 2","18","","","","","","5","","","","3","","","","","","","","5","7","2","3","1","11","3","1","1","","8","7","58","","29","","1","","10","","12","2","11","","90","141","169","69.85","4","","1","","","","1","1","","","5","","","","39","2"
12946.3,NA,NA,150,"12542, 2","28","","2","","","2","4","3","","","4","","1","","","1","","","1","4","8","11","","2","3","","4","","2","2","54","","31","","","","11","","10","3","13","12","120","96","178","13.96","2","","1","","","","1","3","2","","5","","","","43","1"
13572.4,NA,NA,152,"12542, 2","14","","","2","","","2","","","","1","","","","","2","","","","11","5","2","","8","","","5","","7","10","69","","27","","2","","9","","8","2","9","","91","131","170","6.8","3","","","","1","1","","","1","1","9","1","","","72","1"
14193.9,NA,NA,154,"12542, 2","15","","","","","","1","","","","","","","","","8","","","5","6","3","3","1","1","2","","11","","4","4","63","","16","","","","20","","5","10","4","3","99","109","170","8.88","","","1","","","1","1","1","1","","7","1","","","91","4"
14818.7,NA,NA,156,"12542, 2","25","","2","","","1","2","5","","","","","","","","10","","","5","13","1","4","","2","1","2","1","","9","14","79","1","21","","","","13","","4","6","14","12","100","98","170","21.79","4","","1","","","","","2","","","10","","","","89","1"
15441.2,NA,NA,158,"12542, 2","13","","","","","","1","2","","","","","","","","7","","","8","8","3","1","","1","","","1","","11","","75","","21","","1","","11","1","12","5","4","8","93","105","190","89.41","","","2","","","","1","2","3","","4","","","","102","1"
16060.7,NA,NA,160,"12542, 2","18","","","","","2","2","","","","","","","","","6","","","6","16","10","","","6","1","1","4","1","12","6","88","","18","","1","","9","","3","","12","1","103","99","190","52.15","2","","","","2","","3","2","1","","9","4","","","131","5"
16728.7,NA,NA,162,"12542, 2","12","","1","1","","","1","","","","","","","","","2","","","4","9","8","7","1","","2","","3","","1","12","81","","15","","","","9","","2","6","8","2","85","131","213","33.41","","","","","","1","1","1","1","1","6","","","","120","6"
17395.2,NA,NA,164,"12542, 2","8","","","","","1","1","1","","","","","","","","","","","3","19","2","6","2","","2","3","15","","1","","95","","12","","3","","21","1","","11","2","1","101","102","222","17.41","","","1","","","","","1","4","","7","","","","158","11"
18068,NA,NA,166,"12542, 2","2","","","","","","","","","","","","","","","","","","6","11","3","","1","2","","3","10","1","","8","87","1","9","","","","8","2","","3","1","3","79","134","226","22.74","","","2","","2","","1","1","","","10","","","","143","12"
18747.9,NA,NA,168,"12542, 2","5","","1","","","","","","","","","","","","","8","","","2","22","6","","1","","1","","","","8","9","113","","7","","1","","11","","","9","","1","112","93","238","34.22","","","2","","1","","","1","","","9","2","","","154","13"
19427.1,NA,NA,170,"12542, 2","8","","2","2","","2","","1","","","","","","","","6","","","3","12","8","2","","","2","1","","","5","8","99","","7","","","","10","1","","5","","2","89","115","247","13.17","","","1","","","","2","1","2","1","12","2","","","165","4"
20033.3,NA,NA,172,"12542, 2","2","","","1","","1","","2","","","","","","","","13","","","8","23","3","5","","1","2","2","1","","4","6","102","","10","","","","15","","","10","","1","90","121","299","11.28","","","3","","","","1","2","4","","14","","","","174","5"
