"age_NA","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Apiaceae","Dryopteris-type","Pediastrum duplex","Quercus robur-type","Betula","Pseudopediastrum kawraiskyi","Pseudopediastrum integrum","Cichorioideae","Monactinus simplex","Asteroideae","Sparganium-type","Artemisia herba-alba-type","Pseudopediastrum boryanum","Cyperaceae","Poaceae","Pediastrum undiff.","Pinus","Amaranthaceae","Abies","Plantago undiff.","Poaceae (Cerealia-type)","Clematis-type","Artemisia vulgaris-type","Centaurea solstitialis-type","Thalictrum","Galium-type","Unknown","Polygonum aviculare-type","Picea","Tilia","Linum","Thymus/Mentha","Polygonum sensu lato undiff.","Malva","Plantago lanceolata-type","Typha latifolia","Ulmus","Corylus","Ericaceae","Alnus","Carpinus betulus","Ephedra fragilis-type","Juniperus","Ephedra distachya-type","Matricaria-type","Salix","Centaurea scabiosa-type","Selaginella","Polypodium","Centaurea cyanus-type","Centaurea jacea-type","Rumex acetosa-type","Euphorbia","Fagopyrum","Centaurea","Lycopodium","Armeria/Limonium","Ranunculaceae","Filago-type","Juglans","Geraniaceae","Nymphaea","Myriophyllum spicatum/M. verticillatum","Ranunculus sect. Batrachium-type","Fagus","Ostrya/Carpinus orientalis","Rosaceae","Filipendula","Brassica-type","Acer","Plantago media-type","Plantago coronopus-type","Lonicera","Sambucus nigra-type","Scleranthus annuus","Ranunculus","Sanguisorba-type","Quercus ilex-type","Pteridium","Osmunda regalis","Capsella-type","Dipsacoideae","Ophioglossum","Fraxinus ornus","Equisetum","Plantago maritima-type","Lomelosia rotata-type","Xanthium","Buxus","Plantago major-type","Drosera","Scrophulariaceae","Hystrix","Vitis","Helleborus","Convolvulus","Centranthus","Arabidopsis-type","Fabaceae","Bistorta officinalis-type","Brassicaceae","Echinops","Potentilla-type","Pistacia","Rhinanthus-type","Fraxinus excelsior","Humulus/Cannabis","Teucrium","Lythrum","Alisma","Potamogeton","Noaea-type","Fallopia convolvulus-type","Cladium mariscus","Urtica undiff.","Cyperus longus-type","Rumex hydrolapathum","Carthamus","Ilex","Utricularia","Sinapis-type","Celtis","Persicaria maculosa-type","Ranunculus repens-type","Hedera","Oleaceae","Hypericum perforatum-type","Olea","Scrophularia/Verbascum","Phillyrea-type","Liliaceae","Stachys-type","Helianthemum","Taxus","Campanula-type","Lamiaceae","Nuphar","Papaveraceae","Anemone","Silene dioica","Spergularia-type","Cistus incanus-type","Sphagnum","Phyteuma-type","Genista-type","Silene-type","Scilla-type"
NA,NA,NA,610,1,1,3,5,5,7,10,11,11,23,23,31,53,58,75,89,127,165,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,580,NA,1,3,NA,13,5,NA,NA,11,NA,6,14,179,19,102,25,NA,393,332,1,1,1,1,1,1,2,2,16,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,NA,NA,3,NA,46,2,NA,NA,NA,NA,7,1,3,NA,NA,15,NA,173,36,32,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,1,1,1,2,2,3,6,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,570,1,NA,NA,NA,3,10,7,NA,9,2,7,10,175,7,118,58,NA,255,415,1,NA,NA,NA,3,3,NA,1,5,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,620,NA,3,2,NA,8,9,NA,NA,20,NA,28,46,198,2,22,60,NA,233,240,NA,NA,NA,NA,NA,5,NA,2,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,19,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,609,NA,1,6,1,4,7,4,NA,8,NA,27,81,200,5,87,62,NA,252,386,2,1,NA,NA,2,11,NA,NA,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,4,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,630,4,NA,1,NA,3,5,NA,NA,21,NA,22,5,107,NA,NA,67,NA,144,71,1,7,4,NA,8,5,NA,2,32,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,470,NA,1,1,9,17,6,NA,NA,3,9,7,31,37,NA,4,104,NA,152,26,1,NA,1,NA,NA,1,NA,4,4,NA,NA,NA,NA,NA,4,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,85,3,3,8,NA,35,NA,NA,NA,170,NA,6,68,NA,NA,9,19,NA,124,3,6,NA,5,NA,NA,14,NA,NA,9,4,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,640,4,NA,NA,NA,7,7,NA,NA,9,NA,14,2,116,NA,1,90,NA,263,85,1,2,NA,NA,1,1,1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,2,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
