"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Salix","Typha latifolia","Rosaceae undiff.","Stachys-type","Rhamnus","Plantago major-type","Juniperus","Centaurium","Echium","Calluna vulgaris","Ulex-type","Erica scoparia-type","Samolus","Radiola","Pistacia","Caryophyllaceae undiff.","Daphne","Apium inundatum-type","Frankenia","Mercurialis-type","Indeterminable (unknown)","Zygnemataceae","Polygonum aviculare-type","Potamogeton","Olea","Spergula-type","Cicendia filiformis","Spiniferites undiff.","Artemisia","Fraxinus","Helianthemum","Asphodelus","Rumex undiff.","Vitis vinifera","Cirsium-type","Serratula-type","Lamiaceae (hexacolpate)","Riccia","Anogramma leptophylla","Pediastrum","Typha/Sparganium","Asteraceae","Rumex acetosa-type","Arnoseris","Quercus (deciduous-type)","Ophioglossum lusitanicum","Plantago undiff.","Cistus ladanifer-type","Erica umbellata-type","Cistus monspeliensis-type","Alnus","Quercus suber-type","Brassicaceae","Ranunculus-type","Apiaceae undiff.","Erica australis-type","Myriophyllum alterniflorum","Cistaceae undiff.","Pinus","Tamarix","Pteridophyta (trilete) undiff.","Rumex acetosella-type","Myrtus","Plantago lanceolata-type","Quercus undiff.","Erica arborea-type","Triletes undiff.","Quercus ilex-type","Lingulodinium machaerophorum","Aster-type","Ericaceae undiff.","Plantago coronopus-type","Cyperaceae","Indeterminable undiff.","Amaranthaceae","Poaceae","Cichorioideae","Isoëtes undiff.","Fabaceae undiff.","Liliaceae undiff.","Trifolium-type","Scabiosa columbaria-type","Poaceae (>37 µm)","Poterium sanguisorba","Isoëtes","Pteridophyta (monolete) undiff.","Castanea","Selaginella denticulata","Cistus albidus-type","Tuberaria guttata","Halimium halimifolium-type","Spirogyra","Phillyrea","Betula","Nymphaea","Galium-type","Eryngium","Erodium","Anagallis tenella-type","Armeria/Limonium","Ilex aquifolium","Linaria","Myrica","Anthemis-type","Illecebrum verticillatum-type","Lotus-type","Ephedra distachya-type","Onobrychis-type","Linum undiff.","Pilularia globulifera","Myriophyllum spicatum","Helianthemum croceum-type","Pentapharsodinium dalei (cyst)","Valerianella","Centaurea nigra-type","Herniaria-type","Cheilanthes","Crassulaceae","Algae","Fumaria officinalis-type","Pseudoschizaea","Arbutus unedo","Osmunda regalis","Operculodinium centrocarpum","Operculodinium israelianum","Alisma","Ephedra fragilis-type","Alchemilla-type","Gynandriris sisyrinchium","Euphorbia","Lythrum salicaria-type","Polysphaeridium zoharyi","Jasione montana-type","Hypecoum","Polypodium vulgare-type","Hedera helix","Persicaria maculosa-type","Sambucus ebulus","Geranium","Nuphar","Centaurea scabiosa-type","Coronilla-type","Ononis-type","Boraginaceae undiff.","Rhus","Cynoglossum officinale-type","Scrophularia-type","Chamaerops","Corylus","Acer campestre-type","Teucrium","Convolvulus","Viburnum tinus","Halimium/Tuberaria"
12000.9,NA,NA,4232,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,8,NA,23,17,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,NA,NA,19,NA,NA,22,NA,1,NA,1,3,NA,9,NA,NA,11,96,NA,NA,2,NA,NA,20,1,1,2,NA,47,3,NA,14,120,62,12,41,50,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,16,1,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
12093.8,NA,NA,4295,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,8,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,7,1,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,1,20.5,NA,2,NA,NA,NA,7,NA,1,4,NA,17,1,NA,6,67,28,10,15,90,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12706.4,NA,NA,4645,3,NA,NA,NA,NA,NA,12,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,8,6,NA,NA,NA,1,NA,NA,NA,1,5,NA,NA,NA,6,NA,NA,22,NA,1,8,NA,NA,1,1,3,1,7,NA,NA,3,157,NA,1,1,NA,4,11,1,3,5,NA,19,5,NA,13,37,33,35,17,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12750.2,NA,NA,4670,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,3,NA,11,18,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,NA,NA,24,NA,1,4,NA,1,NA,1,NA,2,5,NA,NA,6,124.5,2,3,NA,NA,1,21,2,5,11,1,24,2,3,11,26,43,25,13,15,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12813.2,NA,NA,4706,2,NA,2,NA,NA,NA,13,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,66,11,2,NA,NA,2,NA,NA,NA,2,2,NA,4,NA,5,NA,NA,22,1,3,4,NA,NA,4,3,1,1,2,NA,NA,2,117.5,2,3,2,NA,6,19,1,3,15,1,20,NA,1,10,38,47,52,24,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
12881.5,NA,NA,4745,1,NA,NA,NA,NA,NA,20,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,20,15,3,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,5,NA,NA,25,NA,2,4,NA,NA,1,3,2,5,10,NA,1,5,138,4,2,5,NA,3,17,1,5,7,NA,38,3,NA,19,33,31,48,25,12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
12911.2,NA,NA,4762,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,26,9,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,40,NA,1,3,NA,NA,2,6,1,1,9,NA,NA,1,110.5,1,NA,NA,NA,NA,45,1,4,16,NA,28,4,1,12,43,51,52,24,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2
12960.3,NA,NA,4790,1,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,2,NA,12,7,4,NA,NA,2,NA,NA,NA,1,NA,NA,3,NA,2,NA,NA,29,NA,1,4,NA,1,3,1,3,3,9,NA,1,3,89,6,2,3,NA,NA,47,2,4,23,NA,22,3,NA,19,72,27,60,30,12,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13021.5,NA,NA,4825,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,3,6,2,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,1,NA,NA,42,NA,1,7,NA,1,2,10,4,3,11,NA,NA,4,76,2,NA,NA,NA,NA,54,NA,5,35,2,23,2,NA,13,29,23,47,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,1,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13091.5,NA,NA,4865,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,5,3,2,NA,NA,3,NA,1,2,2,2,NA,4,NA,1,NA,NA,40,NA,NA,9,NA,1,1,7,4,1,17,NA,NA,2,96.5,NA,3,NA,NA,NA,45,2,1,19,1,17,4,1,21,28,11,30,26,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
