"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Salix","Typha latifolia","Rosaceae undiff.","Stachys-type","Rhamnus","Plantago major-type","Juniperus","Centaurium","Echium","Calluna vulgaris","Ulex-type","Erica scoparia-type","Samolus","Radiola","Pistacia","Caryophyllaceae undiff.","Daphne","Apium inundatum-type","Frankenia","Mercurialis-type","Indeterminable (unknown)","Zygnemataceae","Polygonum aviculare-type","Potamogeton","Olea","Spergula-type","Cicendia filiformis","Spiniferites undiff.","Artemisia","Fraxinus","Helianthemum","Asphodelus","Rumex undiff.","Vitis vinifera","Cirsium-type","Serratula-type","Lamiaceae (hexacolpate)","Riccia","Anogramma leptophylla","Pediastrum","Typha/Sparganium","Asteraceae","Rumex acetosa-type","Arnoseris","Quercus (deciduous-type)","Ophioglossum lusitanicum","Plantago undiff.","Cistus ladanifer-type","Erica umbellata-type","Cistus monspeliensis-type","Alnus","Quercus suber-type","Brassicaceae","Ranunculus-type","Apiaceae undiff.","Erica australis-type","Myriophyllum alterniflorum","Cistaceae undiff.","Pinus","Tamarix","Pteridophyta (trilete) undiff.","Rumex acetosella-type","Myrtus","Plantago lanceolata-type","Quercus undiff.","Erica arborea-type","Triletes undiff.","Quercus ilex-type","Lingulodinium machaerophorum","Aster-type","Ericaceae undiff.","Plantago coronopus-type","Cyperaceae","Indeterminable undiff.","Amaranthaceae","Poaceae","Cichorioideae","Isoëtes undiff.","Fabaceae undiff.","Liliaceae undiff.","Trifolium-type","Scabiosa columbaria-type","Poaceae (>37 µm)","Poterium sanguisorba","Isoëtes","Pteridophyta (monolete) undiff.","Castanea","Selaginella denticulata","Cistus albidus-type","Tuberaria guttata","Halimium halimifolium-type","Spirogyra","Phillyrea","Betula","Nymphaea","Galium-type","Eryngium","Erodium","Anagallis tenella-type","Armeria/Limonium","Ilex aquifolium","Linaria","Myrica","Anthemis-type","Illecebrum verticillatum-type","Lotus-type","Ephedra distachya-type","Onobrychis-type","Linum undiff.","Pilularia globulifera","Myriophyllum spicatum","Helianthemum croceum-type","Pentapharsodinium dalei (cyst)","Valerianella","Centaurea nigra-type","Herniaria-type","Cheilanthes","Crassulaceae","Algae","Fumaria officinalis-type","Pseudoschizaea","Arbutus unedo","Osmunda regalis","Operculodinium centrocarpum","Operculodinium israelianum","Alisma","Ephedra fragilis-type","Alchemilla-type","Gynandriris sisyrinchium","Euphorbia","Lythrum salicaria-type","Polysphaeridium zoharyi","Jasione montana-type","Hypecoum","Polypodium vulgare-type","Hedera helix","Persicaria maculosa-type","Sambucus ebulus","Geranium","Nuphar","Centaurea scabiosa-type","Coronilla-type","Ononis-type","Boraginaceae undiff.","Rhus","Cynoglossum officinale-type","Scrophularia-type","Chamaerops","Corylus","Acer campestre-type","Teucrium","Convolvulus","Viburnum tinus","Halimium/Tuberaria"
8996.3,NA,NA,2020,10,NA,NA,NA,NA,4,1,NA,1,NA,NA,NA,NA,3,9,3,NA,NA,NA,NA,NA,14,NA,NA,9,2,2,11,NA,8,NA,1,2,NA,NA,3,1,12,NA,37,3,5,5,4,26,30,1,2,1,NA,2,14,20,8,28,3,2,2,70,2,5,3,NA,NA,38,3,33,20,8,38,6,1,90,42,35,95,128,1913,NA,1,NA,NA,1,1,NA,1,NA,NA,1,NA,1,11,9,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
9246.5,NA,NA,2100,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,9,NA,NA,6,1,NA,16,2,4,NA,4,2,NA,1,7,3,10,4,64,2,19,2,13,28,83,1,2,NA,1,3,4,10,3,32,3,2,1,94.5,3,11,2,NA,1,28,1,91,20,7,67,3,2,148,53,66,72,385,5417,2,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1,8,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
9427.3,NA,NA,2240,2,NA,NA,NA,NA,1,1,NA,4,NA,NA,NA,1,4,1,1,NA,NA,NA,NA,5,35,NA,NA,5,3,NA,17,1,5,NA,1,NA,NA,NA,7,NA,15,11,82,4,20,NA,12,20,146,NA,6,1,1,3,6,11,3,25,1,3,4,97.5,3,10,NA,NA,NA,22,3,117,26,2,79,4,1,165,46,165,48,515,10042,2,3,NA,NA,NA,NA,NA,4,NA,NA,1,1,1,15,5,NA,1,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
9680.6,NA,NA,2436,3,NA,NA,NA,NA,NA,2,1,2,1,NA,NA,NA,4,5,1,NA,4,NA,NA,2,17,NA,NA,3,NA,NA,8,NA,7,NA,4,NA,NA,1,13,2,22,4,115,5,18,1,12,23,110,NA,2,NA,1,3,11,16,7,37,NA,3,2,99.5,7,10,5,NA,NA,28,2,152,19,4,75,4,2,172,84,50,51,487,8127,2,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,14,4,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10215.4,NA,NA,2850,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,18,NA,1,NA,NA,NA,13,2,NA,NA,NA,NA,NA,NA,2,NA,4,1,1,NA,3,NA,17,1,54,NA,NA,NA,2,1,1,1,NA,5,1,1,3,8.5,1,4,NA,NA,NA,5,NA,68,4,14,16,3,NA,41,51,NA,5,356,2895,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10472.5,NA,NA,3049,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,4,NA,NA,NA,6,NA,15,NA,NA,NA,1,NA,NA,NA,NA,1,3,5,10,NA,2,NA,7,4,77,NA,NA,NA,NA,NA,NA,5,NA,11,NA,1,2,24.5,NA,7,NA,NA,NA,6,NA,47,4,50,17,1,NA,53,37,21,9,273,1606,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10758,NA,NA,3270,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,11,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,1,2,NA,6,2,7,NA,1,NA,3,3,72,NA,NA,NA,3,2,NA,6,1,13,1,NA,3,14,1,4,NA,NA,NA,4,NA,43,6,10,20,1,NA,46,56,26,11,309,699,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11022.9,NA,NA,3475,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,NA,2,NA,4,3,46,NA,2,NA,NA,NA,NA,3,1,11,NA,1,NA,13.5,1,2,NA,NA,NA,5,1,29,5,11,12,5,NA,32,35,12,4,249,1017,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11313.6,NA,NA,3700,2,NA,NA,NA,NA,5,5,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,7,NA,NA,1,15,NA,1,2,8,NA,NA,1,NA,NA,1,1,5,1,104,1,2,1,1,37,26,NA,1,NA,NA,3,9,13,5,30,NA,2,3,63,12,NA,NA,NA,NA,51,1,26,52,2,38,NA,NA,43,34,79,73,149,260,NA,4,NA,NA,NA,1,NA,2,NA,NA,NA,NA,2,4,NA,NA,NA,NA,6,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11572,NA,NA,3900,3,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,1,1,5,NA,NA,1,6,2,9,3,2,NA,NA,NA,NA,1,NA,1,4,1,14,NA,3,NA,3,27,4,NA,2,NA,2,NA,4,14,2,17,NA,1,3,96.5,3,2,1,NA,1,39,1,35,29,1,29,2,1,89,45,90,57,151,240,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,1,1,NA,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
