"age_NA","ageolder_BP","ageyounger_BP","depth","Cyperaceae","Ericaceae","Cichorioideae","Rhododendron","Ranunculaceae","Lamiaceae","Rumex undiff.","Urticaceae/Moraceae","Cistus","Sagina","Unknown (trilete, non-psilate)","Salix","Quercus ilex","Castanea","Plantago lanceolata","Alnus","Juglans","Quercus (deciduous)","Carpinus betulus-type","Indeterminable","Asplenium","Unknown (monolete, non-psilate)","Pteridium aquilinum-type","Fagus","Dryopteris filix-mas","Amaranthaceae","Poaceae","Unknown","Unknown (trilete, psilate)","Pinus","Unknown (monolete, psilate)","Pollen concentration","Artemisia","Boraginaceae","Vitis","Pistacia","Potamogeton","Pterocarya","Poterium sanguisorba","Tilia","Apiaceae","Rosaceae","Typha/Sparganium","Mercurialis annua","Ulmus/Zelkova","Indeterminable undiff.","Asteroideae","Fraxinus excelsior-type","Olea","Platanus","Corylus","Cupressaceae","Brassicaceae","Secale","Rumex acetosella","Sambucus racemosa","Ostrya/Carpinus orientalis","Poaceae (>37 µm)","Betula","Ranunculus acris-type","Oleaceae","Fabaceae","Rubiaceae","Rumex acetosa","Anthoceros","Abies","Viburnum","Scabiosa","Polypodium vulgare","Plantago major","Liliaceae","Hedera","Centaurea jacea","Trifolium","Potentilla","Persicaria maculosa","Sphagnum","Buxus","Ailanthus","Polygonum aviculare/Bistorta officinalis-type","Thelypteris palustris","Cornus sanguinea","Fraxinus ornus","Caryophyllaceae","Plantago","Typha (tetrad)","Filipendula","Solanum","Convolvulus","Acer","Cladium","Myriophyllum alterniflorum","Ligustrum","Hippophaë","Rumex subg. Emex","Taxus","Ephedra fragilis","Thalictrum","Populus","Zea mays","Euphorbia","Myriophyllum verticillatum","Rhus","Cedrus","Polygonum sensu lato undiff.","Centaurea cyanus","Equisetum","Stellaria","Phillyrea","Knautia","Rhamnus","Succisa","Celtis","Pinus subg. Strobus","Lamium","Echium","Isoëtes","Ophioglossum","Humulus","Symphytum","Myrica","Sanguisorba officinalis","Riccia","Calligonum","Cathaya-type","Ilex","Polemonium","Ephedra distachya","Picea","Scleranthus","Menyanthes","Cannabaceae","Lythrum","Campanula","Plantago media","Phacelia","Silene","Tamarix","Daphne"
NA,NA,NA,5.13,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,20,1,18,4,31,20,1,NA,6,NA,14,NA,8,42,11,NA,76,2,21471.005859375,2,NA,NA,1,NA,NA,1,1,NA,1,NA,5,1,5,13,4,NA,6,23,14,4,NA,1,NA,NA,NA,2,3,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15.13,4,4,4,NA,NA,NA,1,1,NA,NA,NA,9,3,9,2,14,7,27,11,NA,NA,NA,NA,23,NA,10,24,6,2,43,1,13238,2,NA,NA,1,2,NA,NA,1,1,1,1,5,NA,2,7,NA,6,11,12,25,1,NA,2,NA,1,3,2,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,17.13,NA,3,2,NA,1,NA,1,NA,1,NA,NA,3,2,5,2,10,3,15,7,1,2,2,NA,6,1,3,18,7,4,21,9,7436,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,2,4,2,4,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,28.12,1,3,11,NA,1,NA,1,4,NA,NA,NA,8,5,NA,6,16,13,26,16,3,NA,NA,6,21,NA,18,48,14,5,64,1,9759,7,NA,NA,2,6,NA,1,NA,NA,1,2,NA,3,6,12,1,6,8,8,22,1,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,9.38,2,2,4,NA,NA,NA,1,NA,NA,NA,NA,6,3,4,3,12,3,37,12,1,NA,NA,2,15,NA,16,41,10,1,71,NA,16776,4,NA,1,1,NA,NA,NA,2,NA,1,1,15,1,6,8,NA,3,8,17,14,2,NA,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30.13,2,10,4,1,NA,NA,1,3,NA,NA,NA,4,4,NA,10,13,7,35,17,NA,NA,NA,4,24,NA,15,29,8,7,63,1,23724,7,NA,NA,2,1,1,1,NA,1,3,3,4,NA,10,3,2,3,8,10,24,5,NA,3,NA,NA,3,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,8.63,2,4,3,NA,NA,NA,NA,3,1,NA,NA,3,5,1,7,31,9,45,17,NA,NA,2,1,11,NA,12,44,11,1,86,NA,28807,3,1,NA,1,2,NA,NA,NA,NA,NA,3,9,NA,9,5,5,6,7,21,22,4,NA,NA,NA,2,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,6.88,1,2,1,NA,NA,1,3,NA,NA,NA,NA,13,9,2,2,20,9,46,21,NA,NA,NA,NA,17,1,5,62,4,1,82,NA,24405.869140625,4,NA,NA,NA,4,NA,NA,NA,1,NA,2,1,1,2,6,7,NA,14,33,24,5,NA,5,NA,1,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,3.13,6,8,NA,NA,1,NA,NA,1,NA,NA,NA,6,7,29,NA,24,6,26,19,NA,NA,NA,1,14,NA,14,41,6,1,90,3,21172.27734375,3,NA,NA,4,5,4,NA,1,NA,2,2,NA,NA,9,7,3,NA,7,18,8,1,1,NA,2,NA,1,1,NA,8,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,27.13,5,4,7,NA,NA,2,NA,8,NA,NA,NA,10,6,2,12,38,10,32,16,1,NA,NA,3,30,NA,18,53,6,3,64,NA,13408,9,NA,1,2,3,NA,NA,NA,1,NA,NA,3,1,9,7,2,8,7,10,51,1,1,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
