"age_NA","ageolder_BP","ageyounger_BP","depth","Cyperaceae","Ericaceae","Cichorioideae","Rhododendron","Ranunculaceae","Lamiaceae","Rumex undiff.","Urticaceae/Moraceae","Cistus","Sagina","Unknown (trilete, non-psilate)","Salix","Quercus ilex","Castanea","Plantago lanceolata","Alnus","Juglans","Quercus (deciduous)","Carpinus betulus-type","Indeterminable","Asplenium","Unknown (monolete, non-psilate)","Pteridium aquilinum-type","Fagus","Dryopteris filix-mas","Amaranthaceae","Poaceae","Unknown","Unknown (trilete, psilate)","Pinus","Unknown (monolete, psilate)","Pollen concentration","Artemisia","Boraginaceae","Vitis","Pistacia","Potamogeton","Pterocarya","Poterium sanguisorba","Tilia","Apiaceae","Rosaceae","Typha/Sparganium","Mercurialis annua","Ulmus/Zelkova","Indeterminable undiff.","Asteroideae","Fraxinus excelsior-type","Olea","Platanus","Corylus","Cupressaceae","Brassicaceae","Secale","Rumex acetosella","Sambucus racemosa","Ostrya/Carpinus orientalis","Poaceae (>37 µm)","Betula","Ranunculus acris-type","Oleaceae","Fabaceae","Rubiaceae","Rumex acetosa","Anthoceros","Abies","Viburnum","Scabiosa","Polypodium vulgare","Plantago major","Liliaceae","Hedera","Centaurea jacea","Trifolium","Potentilla","Persicaria maculosa","Sphagnum","Buxus","Ailanthus","Polygonum aviculare/Bistorta officinalis-type","Thelypteris palustris","Cornus sanguinea","Fraxinus ornus","Caryophyllaceae","Plantago","Typha (tetrad)","Filipendula","Solanum","Convolvulus","Acer","Cladium","Myriophyllum alterniflorum","Ligustrum","Hippophaë","Rumex subg. Emex","Taxus","Ephedra fragilis","Thalictrum","Populus","Zea mays","Euphorbia","Myriophyllum verticillatum","Rhus","Cedrus","Polygonum sensu lato undiff.","Centaurea cyanus","Equisetum","Stellaria","Phillyrea","Knautia","Rhamnus","Succisa","Celtis","Pinus subg. Strobus","Lamium","Echium","Isoëtes","Ophioglossum","Humulus","Symphytum","Myrica","Sanguisorba officinalis","Riccia","Calligonum","Cathaya-type","Ilex","Polemonium","Ephedra distachya","Picea","Scleranthus","Menyanthes","Cannabaceae","Lythrum","Campanula","Plantago media","Phacelia","Silene","Tamarix","Daphne"
NA,NA,NA,21.13,3,NA,65,NA,1,1,NA,NA,NA,NA,NA,5,NA,4,8,5,8,11,3,1,NA,1,NA,4,1,13,27,16,16,93,2,4413,3,NA,1,NA,2,NA,NA,NA,NA,1,NA,8,NA,5,21,1,4,2,1,9,1,NA,1,1,NA,2,NA,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,5.63,2,2,NA,1,NA,NA,NA,3,NA,NA,NA,5,3,12,4,14,3,36,15,1,NA,NA,NA,14,1,10,35,5,NA,88,2,20617.259765625,5,NA,NA,2,1,NA,2,2,NA,2,NA,3,NA,1,5,4,NA,5,16,12,NA,NA,1,NA,1,1,1,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4.13,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,6,10,14,1,19,4,30,13,NA,NA,5,NA,12,2,8,50,14,NA,77,4,28507.02734375,4,NA,1,NA,4,NA,1,NA,4,NA,NA,2,1,2,11,1,NA,15,17,16,2,NA,1,1,NA,2,2,2,7,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,26.13,10,5,4,1,1,NA,1,3,1,NA,NA,9,8,NA,8,22,13,30,22,NA,NA,NA,4,25,NA,12,37,13,4,92,NA,14798,5,NA,1,NA,4,NA,NA,NA,1,1,2,2,NA,9,11,2,6,16,12,27,NA,NA,1,NA,NA,4,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,7.88,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,1,30,5,42,11,1,NA,NA,3,17,NA,17,55,11,1,75,1,40134.484375,5,NA,1,2,4,NA,1,NA,1,NA,2,2,2,7,9,4,NA,7,21,18,1,NA,1,1,1,2,2,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2.88,2,3,NA,1,NA,1,NA,1,1,NA,NA,4,2,9,7,21,3,16,19,NA,NA,NA,1,13,3,7,44,7,NA,73,NA,21715,5,NA,1,1,6,1,NA,1,NA,1,NA,2,1,2,7,4,2,11,11,12,NA,NA,NA,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4.88,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,4,4,15,7,22,6,26,25,NA,NA,1,1,15,NA,5,53,12,NA,85,3,28085.21875,1,NA,NA,1,4,NA,1,1,1,1,NA,1,1,3,6,6,NA,2,16,28,NA,NA,2,NA,1,2,NA,NA,5,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,3.63,3,2,NA,NA,NA,NA,NA,1,NA,NA,NA,8,8,13,3,32,4,30,24,NA,1,2,1,18,3,6,40,5,1,86,2,23099.74609375,1,NA,2,1,2,1,NA,NA,NA,2,3,1,1,4,8,6,NA,7,13,13,1,1,3,NA,NA,2,NA,NA,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20.13,2,1,18,NA,NA,NA,NA,1,NA,NA,NA,2,2,2,5,5,3,10,2,5,NA,NA,NA,3,2,8,12,2,7,67,1,4001,NA,NA,NA,1,1,NA,NA,1,2,1,NA,2,NA,12,7,1,2,NA,3,5,1,NA,NA,NA,1,1,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,25.13,6,6,2,1,NA,2,4,3,NA,NA,NA,9,4,3,5,30,20,29,14,NA,NA,NA,4,33,1,17,36,10,1,86,3,14378,2,NA,2,1,3,1,1,NA,NA,NA,1,4,NA,6,7,2,12,17,6,70,2,NA,1,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1.13,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7,8,10,2,43,15,37,24,NA,NA,NA,1,13,NA,16,61,5,NA,76,3,27640,6,NA,1,6,1,1,NA,1,1,NA,2,4,1,7,16,7,3,7,33,23,NA,NA,NA,NA,1,3,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2.38,2,3,1,1,1,NA,NA,1,NA,NA,NA,11,6,8,7,24,5,39,24,NA,NA,6,NA,17,2,8,32,7,1,91,2,21152.42578125,3,NA,NA,NA,1,NA,2,NA,4,1,2,1,2,2,8,5,NA,3,28,15,2,NA,2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,6.13,2,5,NA,NA,3,NA,1,4,1,NA,NA,11,7,16,5,29,5,37,21,NA,NA,4,NA,12,1,10,46,8,3,90,1,22879.60546875,NA,NA,1,2,2,NA,NA,2,NA,NA,2,4,NA,3,5,2,NA,10,14,20,2,NA,1,1,1,NA,NA,1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,34.12,5,3,2,1,NA,NA,2,3,NA,1,NA,7,5,2,8,14,8,20,18,NA,1,NA,1,32,1,15,29,10,2,72,10,10140,7,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,1,3,5,1,4,3,9,19,NA,NA,3,NA,NA,4,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,5.88,1,4,NA,1,1,NA,1,NA,NA,NA,NA,4,6,19,3,18,6,36,30,NA,NA,5,1,15,2,14,54,12,1,109,1,22522.423828125,4,NA,1,3,2,NA,1,1,NA,NA,2,2,NA,2,7,4,NA,6,18,24,NA,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,18.13,3,1,1,1,1,NA,2,2,NA,NA,NA,4,4,13,9,15,8,20,16,3,NA,9,5,12,15,19,35,15,6,86,13,3934,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,8,2,3,8,11,12,1,NA,1,1,1,1,1,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,16.13,3,4,2,1,1,NA,1,1,NA,NA,NA,NA,5,3,4,14,9,25,24,1,NA,1,NA,24,2,13,38,12,2,71,4,10778,4,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1,2,9,2,2,4,13,7,2,NA,3,NA,NA,2,1,2,1,1,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14.25,2,6,3,NA,1,NA,NA,2,NA,NA,NA,6,7,5,10,20,8,31,15,2,NA,NA,1,24,NA,13,42,14,1,95,2,16679,9,NA,NA,2,1,NA,1,NA,1,1,1,1,1,7,6,1,4,12,8,38,2,NA,1,NA,NA,2,2,NA,5,NA,2,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,32.13,5,3,3,NA,NA,NA,3,4,NA,NA,NA,5,3,2,5,23,17,38,22,NA,NA,NA,3,19,NA,7,23,12,5,47,4,-1,8,NA,NA,2,NA,NA,1,NA,2,NA,1,5,1,1,8,4,2,3,9,25,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,24.13,1,11,4,NA,NA,NA,2,3,NA,NA,NA,15,3,3,7,33,9,31,14,NA,1,NA,1,20,NA,10,62,6,NA,78,5,18931,8,NA,2,2,6,NA,1,NA,NA,1,2,6,5,7,9,8,9,16,13,34,NA,1,2,NA,NA,3,1,2,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,7.13,1,5,1,NA,NA,1,NA,4,NA,NA,NA,5,1,6,3,23,3,33,32,NA,NA,1,1,10,NA,6,58,5,NA,94,1,36725,2,NA,NA,1,3,1,1,2,2,NA,1,NA,NA,4,8,9,3,8,30,25,NA,NA,1,NA,1,13,NA,1,2,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,8.13,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,6,2,2,28,5,37,18,NA,NA,NA,1,14,NA,8,63,3,1,95,2,35712,3,NA,NA,3,1,1,1,1,1,NA,3,3,1,6,6,8,3,13,26,24,NA,NA,1,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,38.13,11,9,2,NA,1,NA,2,5,NA,NA,NA,6,NA,3,12,25,15,53,16,NA,NA,2,9,35,NA,16,55,9,3,69,NA,17551,11,NA,NA,3,NA,NA,NA,NA,NA,1,2,5,5,2,4,4,6,2,6,26,2,2,1,NA,2,1,2,3,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,33.12,3,11,4,NA,NA,NA,2,4,NA,NA,NA,4,5,9,1,11,15,23,17,1,2,NA,10,23,NA,12,38,17,2,78,8,15978.4560546875,1,NA,1,NA,NA,NA,NA,2,NA,1,2,NA,3,8,7,NA,5,8,8,34,5,1,2,NA,NA,1,4,2,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,9.13,8,2,2,NA,1,NA,3,3,1,NA,NA,17,7,9,4,24,9,48,12,1,NA,NA,NA,16,NA,14,71,16,2,74,2,18173.068359375,5,1,NA,2,2,NA,1,NA,1,NA,3,5,NA,8,13,5,NA,12,23,29,4,NA,3,2,NA,5,NA,1,NA,2,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,29.13,4,4,12,NA,1,3,1,2,1,NA,1,7,2,3,8,11,16,28,12,3,NA,1,4,28,NA,12,30,19,9,96,1,8901,5,NA,NA,1,2,NA,NA,NA,NA,1,2,3,3,7,17,NA,7,6,9,16,3,NA,1,NA,NA,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,31.12,2,5,14,NA,NA,NA,1,1,NA,NA,NA,8,3,3,6,22,5,29,19,2,1,NA,6,23,NA,15,40,6,6,66,3,15525,3,1,2,3,4,1,1,NA,1,NA,1,3,4,3,3,4,3,9,7,40,2,1,3,NA,1,2,2,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1
